'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/08/2022,1.0,22.4, ,9.6,6.0,99,71,5.84,6.81
SHEFFIELD SCHOOL FARM,02/08/2022,1.3,9.2, ,12.9,5.3,99,63,4.88,7.89
SHEFFIELD SCHOOL FARM,03/08/2022,0.8,33.6, ,10.7,7.8,99,79,6.14,2.14
SHEFFIELD SCHOOL FARM,04/08/2022,0.9,32.4, ,13.2,7.6,100,76,3.50,7.54
SHEFFIELD SCHOOL FARM,05/08/2022,1.2,16.0, ,12.8,7.7,99,71,5.07,7.78
SHEFFIELD SCHOOL FARM,06/08/2022,0.9,2.2, ,11.6,1.7,99,71,2.57,8.37
SHEFFIELD SCHOOL FARM,07/08/2022,1.1,0.2, ,10.0,0.5,93,59,2.57,10.25
SHEFFIELD SCHOOL FARM,08/08/2022,0.8,2.2, ,10.3,1.7,99,59,1.29,3.42
SHEFFIELD SCHOOL FARM,09/08/2022,0.9,0.2, ,12.1,0.5,99,54,1.11,10.85
SHEFFIELD SCHOOL FARM,10/08/2022,1.0,0.2, ,9.6,1.6,99,61,2.50,7.73
SHEFFIELD SCHOOL FARM,11/08/2022,0.6,0.0, ,9.2,4.8,99,87,2.47,3.48
SHEFFIELD SCHOOL FARM,12/08/2022,0.8,35.6, ,12.1,6.5,99,77,1.38,6.37
SHEFFIELD SCHOOL FARM,13/08/2022,1.2,3.0, ,13.3,3.1,99,61,2.06,11.39
SHEFFIELD SCHOOL FARM,14/08/2022,1.9,0.6, ,14.9,6.4,93,58,5.72,7.78
SHEFFIELD SCHOOL FARM,15/08/2022,1.0,8.4, ,12.1,8.5,99,76,3.51,5.50
SHEFFIELD SCHOOL FARM,16/08/2022,1.6,3.0, ,15.5,6.0,93,52,2.79,9.66
SHEFFIELD SCHOOL FARM,17/08/2022,0.8,0.0, ,11.7,3.7,99,78,2.21,5.80
SHEFFIELD SCHOOL FARM,18/08/2022,1.2,21.8, ,12.0,6.3,99,71,7.64,3.59
SHEFFIELD SCHOOL FARM,19/08/2022,1.3,7.6, ,11.5,3.0,98,67,3.94,9.53
SHEFFIELD SCHOOL FARM,20/08/2022,1.6,2.2, ,9.9,5.2,99,44,3.64,11.83
SHEFFIELD SCHOOL FARM,21/08/2022,1.0,0.2, ,9.4,-1.1,99,71,3.42,9.13
SHEFFIELD SCHOOL FARM,22/08/2022,1.0,18.8, ,7.8,3.2,100,72,5.52,4.64
SHEFFIELD SCHOOL FARM,23/08/2022,1.6,9.6, ,8.5,0.8,90,51,4.10,12.04
SHEFFIELD SCHOOL FARM,24/08/2022,1.4,0.0, ,12.9,2.7,98,68,4.01,10.49
SHEFFIELD SCHOOL FARM,25/08/2022,1.7,0.0, ,16.6,5.8,91,52,1.83,13.26
SHEFFIELD SCHOOL FARM,26/08/2022,1.2,0.0, ,12.5,3.5,100,81,1.65,12.61
SHEFFIELD SCHOOL FARM,27/08/2022,0.8,0.6, ,10.3,6.2,100,83,1.54,5.73
SHEFFIELD SCHOOL FARM,28/08/2022,1.3,0.8, ,14.8,7.1,100,67,2.14,8.40
SHEFFIELD SCHOOL FARM,29/08/2022,1.1,0.2, ,15.1,8.6,99,74,2.26,5.94
SHEFFIELD SCHOOL FARM,30/08/2022,1.5,2.0, ,15.8,9.0,99,62,3.19,6.27
SHEFFIELD SCHOOL FARM,31/08/2022,1.8,0.2, ,14.7,5.7,99,63,4.53,11.93
Totals:,,36.3,233.2, ,,,,,, 
