'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/09/2022,1.4,0.2, ,12.4,8.0,100,69,3.60,9.93
SHEFFIELD SCHOOL FARM,02/09/2022,1.8,2.8, ,11.8,1.5,90,51,2.88,14.25
SHEFFIELD SCHOOL FARM,03/09/2022,1.7,0.0, ,13.9,2.7,99,46,1.37,14.86
SHEFFIELD SCHOOL FARM,04/09/2022,1.5,0.0, ,13.1,0.8,99,52,1.34,13.31
SHEFFIELD SCHOOL FARM,05/09/2022,1.9,0.2, ,14.0,1.7,99,54,2.91,14.84
SHEFFIELD SCHOOL FARM,06/09/2022,1.6,0.4, ,12.2,2.4,98,59,2.42,13.31
SHEFFIELD SCHOOL FARM,07/09/2022,1.3,0.0, ,11.6,3.6,99,66,2.61,8.44
SHEFFIELD SCHOOL FARM,08/09/2022,1.2,1.2, ,14.1,7.2,99,77,4.95,4.46
SHEFFIELD SCHOOL FARM,09/09/2022,1.8,27.6, ,16.5,9.6,100,65,3.08,11.22
SHEFFIELD SCHOOL FARM,10/09/2022,1.5,2.6, ,14.1,8.3,100,63,3.18,6.41
SHEFFIELD SCHOOL FARM,11/09/2022,2.3,4.8, ,12.5,5.2,85,57,6.15,13.73
SHEFFIELD SCHOOL FARM,12/09/2022,2.1,0.0, ,9.5,2.7,80,53,4.36,14.83
SHEFFIELD SCHOOL FARM,13/09/2022,1.9,0.0, ,11.5,-1.2,86,36,1.35,16.77
SHEFFIELD SCHOOL FARM,14/09/2022,1.7,0.2, ,11.3,0.3,89,52,2.68,10.03
SHEFFIELD SCHOOL FARM,15/09/2022,0.9,0.8, ,11.9,3.9,100,80,2.20,4.70
SHEFFIELD SCHOOL FARM,16/09/2022,1.5,3.4, ,14.5,7.2,99,77,2.85,9.90
SHEFFIELD SCHOOL FARM,17/09/2022,0.8,16.6, ,10.4,6.2,100,91,3.03,5.58
SHEFFIELD SCHOOL FARM,18/09/2022,1.9,19.2, ,13.6,4.3,100,64,3.65,13.33
SHEFFIELD SCHOOL FARM,19/09/2022,2.5,1.0, ,13.7,4.3,94,49,3.71,17.74
SHEFFIELD SCHOOL FARM,20/09/2022,1.4,0.0, ,12.5,3.3,99,73,2.65,10.22
SHEFFIELD SCHOOL FARM,21/09/2022,2.3,0.0, ,19.4,7.3,99,54,1.11,15.69
SHEFFIELD SCHOOL FARM,22/09/2022,2.1,0.0, ,18.4,7.0,99,57,1.44,13.65
SHEFFIELD SCHOOL FARM,23/09/2022,2.4,0.2, ,17.2,7.7,100,54,2.85,14.91
SHEFFIELD SCHOOL FARM,24/09/2022,1.8,5.0, ,11.7,5.8,99,65,5.10,11.34
SHEFFIELD SCHOOL FARM,25/09/2022,1.3,0.4, ,12.2,3.5,100,78,1.99,9.98
SHEFFIELD SCHOOL FARM,26/09/2022,1.4,1.0, ,12.9,4.5,100,67,1.34,8.86
SHEFFIELD SCHOOL FARM,27/09/2022,1.7,5.6, ,15.4,7.7,100,62,1.22,10.43
SHEFFIELD SCHOOL FARM,28/09/2022,2.2,0.0, ,17.7,8.7,100,56,1.39,14.63
SHEFFIELD SCHOOL FARM,29/09/2022,2.4,3.6, ,14.4,8.4,100,59,5.23,14.83
SHEFFIELD SCHOOL FARM,30/09/2022,3.1,0.2, ,13.5,6.3,80,46,4.50,19.31
Totals:,,53.4,97, ,,,,,, 
