'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/10/2022,2.5,0.0, ,14.4,2.9,96,49,1.42,19.97
SHEFFIELD SCHOOL FARM,02/10/2022,2.5,0.0, ,15.1,2.9,99,56,2.50,19.27
SHEFFIELD SCHOOL FARM,03/10/2022,2.7,0.0, ,15.0,4.2,90,42,2.36,17.95
SHEFFIELD SCHOOL FARM,04/10/2022,3.0,0.0, ,14.5,2.6,87,45,3.56,20.31
SHEFFIELD SCHOOL FARM,05/10/2022,2.3,0.0, ,11.7,1.3,77,58,5.21,12.79
SHEFFIELD SCHOOL FARM,06/10/2022,1.4,0.0, ,12.5,6.8,100,70,5.48,4.65
SHEFFIELD SCHOOL FARM,07/10/2022,1.7,75.0, ,14.8,8.4,100,73,4.11,9.24
SHEFFIELD SCHOOL FARM,08/10/2022,2.6,1.0, ,12.5,4.4,91,53,4.39,18.47
SHEFFIELD SCHOOL FARM,09/10/2022,2.7,0.0, ,12.9,0.6,85,47,2.66,21.22
SHEFFIELD SCHOOL FARM,10/10/2022,2.6,0.0, ,14.6,2.6,100,58,3.06,19.62
SHEFFIELD SCHOOL FARM,11/10/2022,2.4,0.0, ,15.7,6.9,100,56,2.98,14.75
SHEFFIELD SCHOOL FARM,12/10/2022,1.5,0.0, ,16.0,9.4,100,73,5.01,5.99
SHEFFIELD SCHOOL FARM,13/10/2022,0.4,104.2, ,13.1,12.3,100,98,8.29,1.57
SHEFFIELD SCHOOL FARM,14/10/2022,1.7,112.8, ,13.6,5.9,100,73,3.25,11.30
SHEFFIELD SCHOOL FARM,15/10/2022,3.0, , ,15.7,5.3,96,53,4.12,19.25
SHEFFIELD SCHOOL FARM,16/10/2022,3.1,0.4, ,13.6,3.8,82,46,3.55,21.41
SHEFFIELD SCHOOL FARM,17/10/2022,3.4,0.0, ,16.4,3.6,92,42,2.90,22.83
SHEFFIELD SCHOOL FARM,18/10/2022,2.5,0.0, ,14.4,7.8,99,65,2.65,18.45
SHEFFIELD SCHOOL FARM,19/10/2022,3.8,0.4, ,19.1,4.8,99,43,2.92,24.27
SHEFFIELD SCHOOL FARM,20/10/2022,3.5,0.0, ,18.6,6.1,99,52,2.45,24.03
SHEFFIELD SCHOOL FARM,21/10/2022,0.9,0.0, ,15.8,8.0,100,88,3.86,3.86
SHEFFIELD SCHOOL FARM,22/10/2022,2.4,63.8, ,19.6,11.3,100,62,2.31,11.95
SHEFFIELD SCHOOL FARM,23/10/2022,1.6,16.8, ,11.9,7.9,100,69,6.76,7.49
SHEFFIELD SCHOOL FARM,24/10/2022,3.1,1.2, ,13.4,7.5,80,60,10.15,16.71
SHEFFIELD SCHOOL FARM,25/10/2022,1.7,0.2, ,17.0,10.4,98,77,6.13,7.08
SHEFFIELD SCHOOL FARM,26/10/2022,2.1,12.6, ,18.3,11.7,100,64,3.50,9.37
SHEFFIELD SCHOOL FARM,27/10/2022,1.5,4.4, ,15.3,11.4,100,86,2.61,8.77
SHEFFIELD SCHOOL FARM,28/10/2022,2.2,2.2, ,15.3,10.2,99,65,4.03,11.22
SHEFFIELD SCHOOL FARM,29/10/2022,3.6,0.8, ,13.5,6.4,77,58,5.84,25.77
SHEFFIELD SCHOOL FARM,30/10/2022,3.4,0.0, ,15.6,3.8,98,54,3.09,26.05
SHEFFIELD SCHOOL FARM,31/10/2022,2.4,8.6, ,15.2,7.7,100,64,6.92,13.08
Totals:,,74.2,404.4, ,,,,,, 
