'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/11/2022,3.3,3.8, ,13.4,4.6,79,49,3.96,21.80
SHEFFIELD SCHOOL FARM,02/11/2022,2.8,7.0, ,12.0,1.7,82,56,4.21,20.56
SHEFFIELD SCHOOL FARM,03/11/2022,3.8,1.6, ,16.1,3.7,80,52,4.72,25.83
SHEFFIELD SCHOOL FARM,04/11/2022,3.9,0.8, ,17.4,5.0,93,47,2.29,27.42
SHEFFIELD SCHOOL FARM,05/11/2022,3.4,0.2, ,17.3,5.4,99,65,1.93,25.74
SHEFFIELD SCHOOL FARM,06/11/2022,3.9,0.2, ,19.4,8.7,100,59,2.61,26.48
SHEFFIELD SCHOOL FARM,07/11/2022,4.1,0.2, ,20.5,8.8,100,58,1.93,27.22
SHEFFIELD SCHOOL FARM,08/11/2022,4.6,0.0, ,22.1,7.5,99,41,2.15,28.07
SHEFFIELD SCHOOL FARM,09/11/2022,4.7,0.0, ,22.7,8.7,90,43,2.28,28.16
SHEFFIELD SCHOOL FARM,10/11/2022,1.8,0.0, ,19.0,13.7,100,76,2.49,8.47
SHEFFIELD SCHOOL FARM,11/11/2022,2.7,0.4, ,19.9,14.2,100,74,2.86,15.31
SHEFFIELD SCHOOL FARM,12/11/2022, ,1.0, ,16.6,10.3,99,70,3.18, 
SHEFFIELD SCHOOL FARM,13/11/2022,1.1,0.2, ,12.9,7.9,100,82,5.00,4.03
SHEFFIELD SCHOOL FARM,14/11/2022,3.0,0.2, ,17.1,8.2,100,55,4.79,15.56
SHEFFIELD SCHOOL FARM,15/11/2022, , , , ,4.2,75,53,4.75,18.51
SHEFFIELD SCHOOL FARM,16/11/2022,2.9, , ,14.6,1.8,81,46,2.38,17.82
SHEFFIELD SCHOOL FARM,17/11/2022,4.0,0.0, ,17.4,2.5,91,49,1.93,29.02
SHEFFIELD SCHOOL FARM,18/11/2022,3.6,0.0, ,18.4,7.3,95,53,2.49,22.96
SHEFFIELD SCHOOL FARM,19/11/2022,2.2,0.0, ,16.1,6.9,99,64,3.96,11.10
SHEFFIELD SCHOOL FARM,20/11/2022,3.6,37.6, ,15.7,9.8,100,51,7.04,22.79
SHEFFIELD SCHOOL FARM,21/11/2022,3.5,1.4, ,12.2,3.6,87,51,6.55,25.84
SHEFFIELD SCHOOL FARM,22/11/2022,3.9,0.4, ,15.3,2.0,93,52,8.81,28.82
SHEFFIELD SCHOOL FARM,23/11/2022,4.6,0.0, ,15.9,7.5,77,37,7.82,22.58
SHEFFIELD SCHOOL FARM,24/11/2022,4.7,0.0, ,19.3,9.6,74,51,5.92,25.01
SHEFFIELD SCHOOL FARM,25/11/2022,3.4,0.0, ,17.1,7.5,76,51,4.03,16.81
SHEFFIELD SCHOOL FARM,26/11/2022,3.0,0.0, ,17.8,4.4,100,56,1.97,19.24
SHEFFIELD SCHOOL FARM,27/11/2022,3.8,14.4, ,16.9,9.7,100,47,5.61,22.38
SHEFFIELD SCHOOL FARM,28/11/2022,3.5,0.4, ,16.4,3.0,95,56,5.70,23.02
SHEFFIELD SCHOOL FARM,29/11/2022,4.3,1.6, ,16.1,5.9,80,45,5.23,26.20
SHEFFIELD SCHOOL FARM,30/11/2022,4.4,0.0, ,18.4,5.7,91,54,4.45,30.43
Totals:,,98.5,71.4, ,,,,,, 
