'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/12/2022,4.3,0.0, ,19.1,5.3,89,50,2.58,28.00
SHEFFIELD SCHOOL FARM,02/12/2022,3.0,0.0, ,17.7,9.5,99,60,1.62,18.04
SHEFFIELD SCHOOL FARM,03/12/2022,4.5,0.0, ,20.3,7.6,100,60,2.26,30.73
SHEFFIELD SCHOOL FARM,04/12/2022,4.4,0.2, ,24.9,10.3,100,38,1.59,23.44
SHEFFIELD SCHOOL FARM,05/12/2022,4.3,0.4, ,19.9,10.5,98,53,5.10,25.46
SHEFFIELD SCHOOL FARM,06/12/2022,4.2,0.0, ,18.1,2.3,84,44,2.58,27.63
SHEFFIELD SCHOOL FARM,07/12/2022,4.6,0.0, ,17.8,3.9,92,44,4.18,30.50
SHEFFIELD SCHOOL FARM,08/12/2022,5.0,0.0, ,15.8,6.7,68,40,5.44,31.54
SHEFFIELD SCHOOL FARM,09/12/2022,3.9,0.0, ,18.4,3.8,88,44,2.39,24.19
SHEFFIELD SCHOOL FARM,10/12/2022,3.5,0.0, ,17.0,7.2,95,50,2.75,21.88
SHEFFIELD SCHOOL FARM,11/12/2022,1.1,0.0, ,15.6,7.6,99,85,2.52,3.96
SHEFFIELD SCHOOL FARM,12/12/2022,4.3,9.2, ,18.3,11.3,100,49,4.94,26.56
SHEFFIELD SCHOOL FARM,13/12/2022,2.7,0.0, ,14.2,8.1,99,62,4.52,16.68
SHEFFIELD SCHOOL FARM,14/12/2022,4.2,7.8, ,17.4,5.3,100,44,4.01,26.86
SHEFFIELD SCHOOL FARM,15/12/2022,4.8,0.0, ,18.1,4.7,76,45,3.52,31.08
SHEFFIELD SCHOOL FARM,16/12/2022,4.3,0.0, ,19.1,5.0,82,49,2.11,27.97
SHEFFIELD SCHOOL FARM,17/12/2022,4.2,0.0, ,19.0,7.1,93,53,3.14,26.90
SHEFFIELD SCHOOL FARM,18/12/2022,5.4,0.0, ,21.4,5.5,94,28,2.81,32.14
SHEFFIELD SCHOOL FARM,19/12/2022,4.4,0.0, ,19.8,6.5,99,61,2.39,30.36
SHEFFIELD SCHOOL FARM,20/12/2022,2.7,0.2, ,17.4,10.5,100,61,2.14,15.37
SHEFFIELD SCHOOL FARM,21/12/2022,3.4,0.0, ,17.2,10.8,88,59,2.30,19.70
SHEFFIELD SCHOOL FARM,22/12/2022,3.5,0.0, ,19.6,9.9,90,51,1.89,19.13
SHEFFIELD SCHOOL FARM,23/12/2022,5.1,0.0, ,22.4,9.0,98,53,2.68,32.08
SHEFFIELD SCHOOL FARM,24/12/2022,5.1,0.0, ,20.8,11.9,99,50,4.80,31.17
SHEFFIELD SCHOOL FARM,25/12/2022,4.9,0.0, ,21.0,9.2,99,57,3.33,32.14
SHEFFIELD SCHOOL FARM,26/12/2022,6.1,0.0, ,27.7,11.7,100,26,2.09,31.47
SHEFFIELD SCHOOL FARM,27/12/2022,6.0,0.0, ,28.8,11.5,96,39,1.60,32.03
SHEFFIELD SCHOOL FARM,28/12/2022,4.3,0.4, ,20.2,17.0,89,45,5.51,17.54
SHEFFIELD SCHOOL FARM,29/12/2022,3.2,0.4, ,17.9,5.1,78,52,2.00,18.03
SHEFFIELD SCHOOL FARM,30/12/2022,2.6,0.0, ,19.4,8.7,97,54,4.65,7.64
SHEFFIELD SCHOOL FARM,31/12/2022,4.0,1.2, ,23.2,13.4,87,57,3.69,18.39
Totals:,,128,19.8, ,,,,,, 
