'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/01/2023,2.1,0.0, ,21.5,14.6,99,78,2.49,10.05
SHEFFIELD SCHOOL FARM,02/01/2023,4.4,0.0, ,25.1,14.6,100,58,2.60,22.65
SHEFFIELD SCHOOL FARM,03/01/2023,2.6,0.0, ,19.6,12.4,99,55,3.16,10.00
SHEFFIELD SCHOOL FARM,04/01/2023,3.4,18.6, ,20.3,8.8,99,55,2.38,18.97
SHEFFIELD SCHOOL FARM,05/01/2023,3.3,1.4, ,19.4,10.7,99,65,2.45,19.45
SHEFFIELD SCHOOL FARM,06/01/2023,3.1,11.8, ,19.5,10.4,99,62,2.78,17.17
SHEFFIELD SCHOOL FARM,07/01/2023,2.5,0.0, ,17.5,11.1,82,62,2.54,11.25
SHEFFIELD SCHOOL FARM,08/01/2023,4.1,0.0, ,20.6,12.7,90,55,2.49,22.72
SHEFFIELD SCHOOL FARM,09/01/2023,5.0,0.0, ,24.1,9.2,100,55,2.67,29.86
SHEFFIELD SCHOOL FARM,10/01/2023,4.1,0.0, ,21.6,14.0,89,59,3.12,22.35
SHEFFIELD SCHOOL FARM,11/01/2023,4.9,0.0, ,21.2,13.7,96,50,2.44,28.87
SHEFFIELD SCHOOL FARM,12/01/2023,5.0,0.0, ,23.3,11.6,98,53,2.09,29.63
SHEFFIELD SCHOOL FARM,13/01/2023,5.1,0.0, ,24.8,15.4,97,55,2.05,28.74
SHEFFIELD SCHOOL FARM,14/01/2023,2.3,0.0, ,23.1,14.2,99,64,2.82,8.17
SHEFFIELD SCHOOL FARM,15/01/2023,6.2,0.0, ,24.3,16.0,100,25,3.73,30.85
SHEFFIELD SCHOOL FARM,16/01/2023,4.3,0.0, ,20.5,11.1,85,46,3.91,21.72
SHEFFIELD SCHOOL FARM,17/01/2023,3.2,0.0, ,24.9,12.5,100,64,2.92,14.64
SHEFFIELD SCHOOL FARM,18/01/2023,4.9,7.8, ,20.6,13.2,100,44,5.99,26.33
SHEFFIELD SCHOOL FARM,19/01/2023,4.9,0.0, ,20.5,8.8,70,36,2.55,27.75
SHEFFIELD SCHOOL FARM,20/01/2023,3.9,0.0, ,20.4,8.6,81,49,1.88,22.66
SHEFFIELD SCHOOL FARM,21/01/2023,3.3,0.0, ,20.7,8.4,93,51,1.72,18.43
SHEFFIELD SCHOOL FARM,22/01/2023,4.1,0.0, ,22.8,9.5,99,51,1.94,23.69
SHEFFIELD SCHOOL FARM,23/01/2023, ,0.0, , ,12.9,95,48,2.33,18.57
SHEFFIELD SCHOOL FARM,24/01/2023, , , , , , , , ,27.59
SHEFFIELD SCHOOL FARM,25/01/2023, , , , , ,100,50,2.42,21.73
SHEFFIELD SCHOOL FARM,26/01/2023, , , ,21.9, ,81,30,2.90,25.82
SHEFFIELD SCHOOL FARM,27/01/2023,3.7,0.0, ,21.5,11.2,85,55,2.72,19.16
SHEFFIELD SCHOOL FARM,28/01/2023,2.7,0.0, ,22.5,14.2,100,63,1.88,13.29
SHEFFIELD SCHOOL FARM,29/01/2023,4.4,8.6, ,23.4,11.7,99,45,1.80,24.81
SHEFFIELD SCHOOL FARM,30/01/2023,3.9,1.8, ,22.6,11.8,93,50,1.85,21.76
SHEFFIELD SCHOOL FARM,31/01/2023, ,0.0, ,22.1,11.4, , , ,23.63
Totals:,,101.4,50, ,,,,,, 
