'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for February 2023,,,,,,,,,,
Issued at 04:31 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/02/2023, ,0.0, ,19.3,11.0, , , ,26.11
SHEFFIELD SCHOOL FARM,02/02/2023,1.3,0.0, ,12.4,6.7,99,68,2.53,5.26
SHEFFIELD SCHOOL FARM,03/02/2023,3.2,19.2, ,16.5,3.1,100,51,1.71,22.33
SHEFFIELD SCHOOL FARM,04/02/2023,2.9,0.0, ,19.0,8.9,95,52,3.14,13.41
SHEFFIELD SCHOOL FARM,05/02/2023,5.4,0.0, ,24.5,10.2,72,37,2.96,27.61
SHEFFIELD SCHOOL FARM,06/02/2023,5.1,0.0, ,21.8,10.1,78,39,3.74,27.32
SHEFFIELD SCHOOL FARM,07/02/2023,4.6,0.0, ,22.4,9.0,90,37,1.93,27.21
SHEFFIELD SCHOOL FARM,08/02/2023,2.5,0.0, ,20.2,9.1,99,61,1.96,13.34
SHEFFIELD SCHOOL FARM,09/02/2023,1.9,0.0, ,19.0,12.4,100,60,1.37,8.10
SHEFFIELD SCHOOL FARM,10/02/2023,4.0,5.0, ,25.4,12.9,100,37,1.67,20.27
SHEFFIELD SCHOOL FARM,11/02/2023,4.6,0.0, ,25.1,10.9,99,44,2.21,25.89
SHEFFIELD SCHOOL FARM,12/02/2023,4.7,0.8, ,20.8,15.3,100,35,3.80,25.53
SHEFFIELD SCHOOL FARM,13/02/2023,4.2,0.2, ,21.7,6.2,80,34,2.46,22.99
SHEFFIELD SCHOOL FARM,14/02/2023,3.9,0.0, ,21.5,6.0,97,43,1.50,25.38
SHEFFIELD SCHOOL FARM,15/02/2023,3.7,0.0, ,22.4,10.0,100,42,1.31,21.91
SHEFFIELD SCHOOL FARM,16/02/2023,2.2,0.0, ,22.9,8.7,100,50,0.74,11.07
SHEFFIELD SCHOOL FARM,17/02/2023,4.8,0.0, ,28.4,12.2,99,39,2.05,24.62
SHEFFIELD SCHOOL FARM,18/02/2023,4.1,0.2, ,22.9,10.7,83,44,2.67,21.13
SHEFFIELD SCHOOL FARM,19/02/2023,4.3,0.0, ,23.4,9.7,99,45,3.01,24.13
SHEFFIELD SCHOOL FARM,20/02/2023,3.9,0.0, ,24.5,10.0,97,38,2.74,16.95
SHEFFIELD SCHOOL FARM,21/02/2023,4.4,0.0, ,22.1,8.2,78,22,2.03,24.18
SHEFFIELD SCHOOL FARM,22/02/2023,4.1,0.0, ,20.3,5.7,83,34,2.74,23.71
SHEFFIELD SCHOOL FARM,23/02/2023,3.1,0.0, ,22.1,9.1,84,51,2.25,14.59
SHEFFIELD SCHOOL FARM,24/02/2023,3.9,0.0, ,24.5,12.8,97,44,2.00,20.96
SHEFFIELD SCHOOL FARM,25/02/2023,2.6,0.0, ,24.6,11.9,100,55,2.25,10.31
SHEFFIELD SCHOOL FARM,26/02/2023,2.7,7.6, ,22.8,13.5,100,56,1.14,14.81
SHEFFIELD SCHOOL FARM,27/02/2023,3.4,2.0, ,23.1,10.5,100,55,1.84,20.48
SHEFFIELD SCHOOL FARM,28/02/2023,1.5,1.4, ,18.3,13.1,100,77,2.05,7.15
Totals:,,97,36.4, ,,,,,, 
