'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY (BRUMBYS CREEK) Tasmania for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY (BRUMBYS CREEK),01/01/2023,3.5,0.0, ,25.3,11.9,97,60,3.03,15.76
CRESSY (BRUMBYS CREEK),02/01/2023,5.1,0.0, ,27.9,14.6,98,56,4.61,23.88
CRESSY (BRUMBYS CREEK),03/01/2023,3.9,0.0, ,18.8,14.4,74,49,5.26,13.45
CRESSY (BRUMBYS CREEK),04/01/2023,4.1,1.4, ,21.5,10.5,98,44,3.38,20.84
CRESSY (BRUMBYS CREEK),05/01/2023,4.9,0.2, ,23.1,8.1,97,36,3.12,25.63
CRESSY (BRUMBYS CREEK),06/01/2023,5.9,0.0, ,23.5,12.0,78,36,4.50,28.18
CRESSY (BRUMBYS CREEK),07/01/2023,4.2,0.0, ,22.6,9.8,87,48,2.97,20.67
CRESSY (BRUMBYS CREEK),08/01/2023,5.1,0.0, ,24.1,10.4,93,46,4.67,24.59
CRESSY (BRUMBYS CREEK),09/01/2023,6.4,0.0, ,29.9,9.2,100,35,3.47,29.14
CRESSY (BRUMBYS CREEK),10/01/2023,5.3,0.0, ,25.7,13.9,81,41,3.70,23.21
CRESSY (BRUMBYS CREEK),11/01/2023,6.3,0.0, ,26.5,12.9,82,31,3.56,29.47
CRESSY (BRUMBYS CREEK),12/01/2023,6.0,0.0, ,27.8,9.4,98,35,3.04,30.15
CRESSY (BRUMBYS CREEK),13/01/2023,6.5,0.0, ,29.6,16.7,92,35,3.14,29.14
CRESSY (BRUMBYS CREEK),14/01/2023,5.2,0.0, ,27.5,13.7,98,50,3.60,24.97
CRESSY (BRUMBYS CREEK),15/01/2023,6.6,0.0, ,25.4,15.3,99,25,4.91,29.83
CRESSY (BRUMBYS CREEK),16/01/2023,5.4,0.0, ,24.4,9.5,73,36,4.30,22.06
CRESSY (BRUMBYS CREEK),17/01/2023,4.8,0.0, ,27.6,12.9,83,46,3.48,19.17
CRESSY (BRUMBYS CREEK),18/01/2023,6.1,4.6, ,26.4,15.9,100,30,5.21,24.67
CRESSY (BRUMBYS CREEK),19/01/2023,5.7,0.2, ,20.9,9.3,68,30,4.59,27.52
CRESSY (BRUMBYS CREEK),20/01/2023,4.8,0.0, ,23.6,7.4,92,33,2.45,24.99
CRESSY (BRUMBYS CREEK),21/01/2023,4.9,0.0, ,23.9,6.0,100,37,2.81,26.52
CRESSY (BRUMBYS CREEK),22/01/2023,3.7,0.0, ,24.4,12.6,99,40,1.78,17.32
CRESSY (BRUMBYS CREEK),23/01/2023,4.3,7.2, ,25.1,11.0,100,43,2.26,21.54
CRESSY (BRUMBYS CREEK),24/01/2023,5.3,0.2, ,27.0,10.6,100,28,2.15,26.79
CRESSY (BRUMBYS CREEK),25/01/2023,4.9,0.0, ,25.4,11.0,100,44,4.23,22.71
CRESSY (BRUMBYS CREEK),26/01/2023,5.2,0.0, ,23.1,10.4,92,27,3.79,24.38
CRESSY (BRUMBYS CREEK),27/01/2023,4.6,0.0, ,24.4,10.5,88,45,3.94,20.09
CRESSY (BRUMBYS CREEK),28/01/2023,4.3,0.0, ,25.8,14.3,93,54,5.42,16.34
CRESSY (BRUMBYS CREEK),29/01/2023,3.9,2.4, ,24.5,14.3,95,43,3.53,14.79
CRESSY (BRUMBYS CREEK),30/01/2023,5.1,1.4, ,25.3,14.2,81,37,3.18,23.00
CRESSY (BRUMBYS CREEK),31/01/2023,5.2,0.0, ,25.8,12.4,99,39,4.00,23.97
Totals:,,157.2,17.6, ,,,,,, 
