'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY (BRUMBYS CREEK) Tasmania for February 2023,,,,,,,,,,
Issued at 04:31 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY (BRUMBYS CREEK),01/02/2023,4.6,0.0, ,22.2,8.5,100,27,3.40,21.21
CRESSY (BRUMBYS CREEK),02/02/2023,2.6,0.4, ,17.4,7.2,98,58,5.57,10.24
CRESSY (BRUMBYS CREEK),03/02/2023,4.3,6.0, ,19.4,5.2,100,42,3.97,26.33
CRESSY (BRUMBYS CREEK),04/02/2023,2.7,0.8, ,20.2,7.9,94,50,2.83,10.57
CRESSY (BRUMBYS CREEK),05/02/2023,5.3,1.6, ,26.2,7.6,92,33,2.61,27.25
CRESSY (BRUMBYS CREEK),06/02/2023,5.4,0.2, ,26.5,7.4,100,29,3.09,26.05
CRESSY (BRUMBYS CREEK),07/02/2023,4.9,0.0, ,25.1,5.5,98,28,2.19,26.75
CRESSY (BRUMBYS CREEK),08/02/2023,3.9,0.0, ,22.5,12.9,95,40,3.55,16.50
CRESSY (BRUMBYS CREEK),09/02/2023,3.3,1.4, ,22.1,11.7,96,44,2.78,14.38
CRESSY (BRUMBYS CREEK),10/02/2023,5.1,2.6, ,26.9,13.7,96,38,3.76,21.59
CRESSY (BRUMBYS CREEK),11/02/2023,6.4,0.0, ,29.0,14.1,89,31,4.60,25.44
CRESSY (BRUMBYS CREEK),12/02/2023,4.8,0.0, ,24.6,15.3,95,30,3.38,20.80
CRESSY (BRUMBYS CREEK),13/02/2023,4.0,0.0, ,23.5,4.2,94,31,2.52,18.42
CRESSY (BRUMBYS CREEK),14/02/2023,4.8,0.0, ,24.8,4.3,97,30,2.67,25.27
CRESSY (BRUMBYS CREEK),15/02/2023,4.9,0.0, ,25.6,10.7,99,36,3.85,21.83
CRESSY (BRUMBYS CREEK),16/02/2023,2.7,0.0, ,24.8,7.4,100,42,1.74,9.75
CRESSY (BRUMBYS CREEK),17/02/2023,6.4,0.0, ,31.9,9.8,100,30,4.19,23.49
CRESSY (BRUMBYS CREEK),18/02/2023,5.5,0.0, ,27.6,11.7,93,31,3.81,22.80
CRESSY (BRUMBYS CREEK),19/02/2023,5.1,0.0, ,25.4,8.2,95,44,5.51,23.25
CRESSY (BRUMBYS CREEK),20/02/2023,5.2,0.0, ,26.7,8.0,98,34,4.43,20.42
CRESSY (BRUMBYS CREEK),21/02/2023,5.8,0.0, ,22.1,12.1,68,21,5.23,23.23
CRESSY (BRUMBYS CREEK),22/02/2023,4.6,0.0, ,22.7,5.7,87,30,3.20,23.39
CRESSY (BRUMBYS CREEK),23/02/2023,4.6,0.0, ,25.6,6.9,94,35,3.77,19.18
CRESSY (BRUMBYS CREEK),24/02/2023,5.5,0.0, ,27.5,13.3,92,36,4.60,22.20
CRESSY (BRUMBYS CREEK),25/02/2023,5.5,0.0, ,29.7,14.2,96,38,5.02,18.54
CRESSY (BRUMBYS CREEK),26/02/2023,3.1,9.0, ,24.0,14.9,98,57,3.12,14.14
CRESSY (BRUMBYS CREEK),27/02/2023,3.9,2.2, ,24.2,12.1,94,43,2.62,19.51
CRESSY (BRUMBYS CREEK),28/02/2023,1.7,0.6, ,19.0,12.7,96,71,2.66,6.83
Totals:,,126.6,24.8, ,,,,,, 
