'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/02/2020,2.9,1.2, ,26.1,19.1,97,70,6.32,8.86
CRESSY RESEARCH STATION,02/02/2020,5.6,1.8, ,22.1,7.5,91,33,7.17,25.11
CRESSY RESEARCH STATION,03/02/2020,4.7,0.0, ,18.0,7.8,98,27,6.26,23.48
CRESSY RESEARCH STATION,04/02/2020,5.0,0.6, ,22.1,1.9,90,28,3.34,27.78
CRESSY RESEARCH STATION,05/02/2020,5.7,0.0, ,25.8,5.3,95,26,3.63,26.88
CRESSY RESEARCH STATION,06/02/2020,5.3,0.0, ,25.7,13.4,82,37,3.65,23.96
CRESSY RESEARCH STATION,07/02/2020,6.8,0.0, ,29.1,10.4,91,28,5.20,25.27
CRESSY RESEARCH STATION,08/02/2020,6.0,0.0, ,23.7,13.0,81,44,8.10,26.48
CRESSY RESEARCH STATION,09/02/2020,5.8,0.0, ,22.9,12.3,79,39,6.81,25.20
CRESSY RESEARCH STATION,10/02/2020,3.2,0.0, ,21.7,11.3,88,51,5.30,7.95
CRESSY RESEARCH STATION,11/02/2020,3.7,1.4, ,26.8,16.8,89,53,5.20,8.97
CRESSY RESEARCH STATION,12/02/2020,6.4,0.0, ,27.6,15.2,89,45,7.96,26.10
CRESSY RESEARCH STATION,13/02/2020,6.6,0.0, ,25.9,12.6,79,38,7.66,25.99
CRESSY RESEARCH STATION,14/02/2020,3.3,1.2, ,26.0,14.8,97,54,3.56,11.77
CRESSY RESEARCH STATION,15/02/2020,4.3,0.2, ,22.8,16.5,96,40,6.43,13.53
CRESSY RESEARCH STATION,16/02/2020,6.5,0.6, ,23.0,9.6,72,27,7.65,25.80
CRESSY RESEARCH STATION,17/02/2020,5.1,0.0, ,23.2,4.0,85,25,3.46,25.54
CRESSY RESEARCH STATION,18/02/2020,4.1,0.0, ,23.8,9.4,89,35,3.95,13.78
CRESSY RESEARCH STATION,19/02/2020,3.9,19.2, ,19.9,10.3,96,38,6.93,12.29
CRESSY RESEARCH STATION,20/02/2020,4.5,1.4, ,22.7,5.9,90,36,3.25,23.83
CRESSY RESEARCH STATION,21/02/2020,3.9,0.0, ,19.7,8.8,74,34,3.73,15.87
CRESSY RESEARCH STATION,22/02/2020,4.7,0.0, ,22.6,3.8,94,37,4.26,24.34
CRESSY RESEARCH STATION,23/02/2020,4.7,0.0, ,25.8,9.5,94,36,3.69,19.87
CRESSY RESEARCH STATION,24/02/2020,3.4,0.0, ,23.5,12.8,94,44,2.79,14.43
CRESSY RESEARCH STATION,25/02/2020,4.8,0.0, ,26.3,10.1,99,41,4.99,19.40
CRESSY RESEARCH STATION,26/02/2020,3.7,2.2, ,17.2,10.5,90,34,5.39,15.06
CRESSY RESEARCH STATION,27/02/2020,4.4,3.0, ,20.5,7.5,77,45,8.94,13.45
CRESSY RESEARCH STATION,28/02/2020,5.1,0.0, ,22.2,10.6,75,32,4.95,22.30
CRESSY RESEARCH STATION,29/02/2020,5.0,0.0, ,25.0,8.3,95,41,5.61,22.22
Totals:,,139.1,32.8, ,,,,,, 
