'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/03/2020,2.3,0.0, ,20.2,9.1,99,59,5.20,5.50
CRESSY RESEARCH STATION,02/03/2020,4.4,8.8, ,19.5,12.0,96,31,4.98,22.44
CRESSY RESEARCH STATION,03/03/2020,4.3,0.0, ,22.9,4.8,92,30,3.17,22.28
CRESSY RESEARCH STATION,04/03/2020,2.9,0.0, ,21.9,10.2,90,43,2.39,12.65
CRESSY RESEARCH STATION,05/03/2020,1.2,12.8, ,18.8,13.4,99,73,3.74,1.15
CRESSY RESEARCH STATION,06/03/2020,5.1,48.2, ,24.3,14.3,98,34,6.09,21.63
CRESSY RESEARCH STATION,07/03/2020,3.7,0.0, ,18.3,7.6,82,45,5.89,17.23
CRESSY RESEARCH STATION,08/03/2020,3.4,0.0, ,17.1,6.0,90,40,4.78,18.06
CRESSY RESEARCH STATION,09/03/2020,2.5,0.0, ,18.7,5.0,95,46,2.22,12.56
CRESSY RESEARCH STATION,10/03/2020,3.6,0.4, ,21.3,7.9,95,40,2.79,20.19
CRESSY RESEARCH STATION,11/03/2020,3.5,0.2, ,22.3,5.8,98,42,2.71,20.43
CRESSY RESEARCH STATION,12/03/2020,4.3,0.0, ,26.5,8.6,99,38,3.50,19.14
CRESSY RESEARCH STATION,13/03/2020,2.5,0.0, ,18.7,13.7,93,50,5.60,3.54
CRESSY RESEARCH STATION,14/03/2020,3.1,4.6, ,17.5,6.3,87,44,3.89,16.56
CRESSY RESEARCH STATION,15/03/2020,2.9,0.0, ,20.6,4.2,98,40,1.54,19.24
CRESSY RESEARCH STATION,16/03/2020,3.4,0.0, ,20.9,9.5,90,40,3.10,17.45
CRESSY RESEARCH STATION,17/03/2020,2.9,0.0, ,21.3,7.1,96,53,4.28,12.76
CRESSY RESEARCH STATION,18/03/2020,1.9,0.0, ,20.0,11.8,96,65,5.48,2.85
CRESSY RESEARCH STATION,19/03/2020,0.9,0.0, ,16.2,9.7,100,85,1.44,3.45
CRESSY RESEARCH STATION,20/03/2020,2.8,14.4, ,20.2,11.4,100,54,6.01,10.60
CRESSY RESEARCH STATION,21/03/2020,2.6,0.0, ,19.8,6.8,95,54,3.38,13.60
CRESSY RESEARCH STATION,22/03/2020,3.2,0.0, ,19.3,9.8,93,35,3.76,13.83
CRESSY RESEARCH STATION,23/03/2020,2.5,0.0, ,18.7,2.5,94,42,1.70,17.79
CRESSY RESEARCH STATION,24/03/2020,2.7,0.0, ,19.4,2.0,100,47,2.45,17.57
CRESSY RESEARCH STATION,25/03/2020,2.8,0.0, ,21.2,5.1,100,37,2.37,14.56
CRESSY RESEARCH STATION,26/03/2020,3.1,0.0, ,19.2,1.0,96,37,3.59,17.10
CRESSY RESEARCH STATION,27/03/2020,2.5,0.0, ,21.0,6.9,96,44,1.73,15.92
CRESSY RESEARCH STATION,28/03/2020,2.8,0.0, ,23.6,6.0,100,46,2.21,14.86
CRESSY RESEARCH STATION,29/03/2020,2.0,0.0, ,21.9,9.5,98,63,3.26,7.75
CRESSY RESEARCH STATION,30/03/2020,2.5,12.0, ,17.9,11.7,93,59,5.59,10.98
CRESSY RESEARCH STATION,31/03/2020,2.6,0.2, ,19.7,5.8,94,53,3.85,14.15
Totals:,,90.9,101.6, ,,,,,, 
