'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/04/2020,2.4,0.0, ,21.0,8.2,100,51,2.45,13.08
CRESSY RESEARCH STATION,02/04/2020,0.7,8.6, ,15.8,10.1,100,87,2.94,1.80
CRESSY RESEARCH STATION,03/04/2020,1.8,22.0, ,18.4,11.0,100,70,4.10,9.88
CRESSY RESEARCH STATION,04/04/2020,2.3,16.4, ,16.4,12.1,99,48,5.48,6.87
CRESSY RESEARCH STATION,05/04/2020,2.2,5.8, ,13.0,4.0,94,41,4.62,9.21
CRESSY RESEARCH STATION,06/04/2020,2.4,0.6, ,17.4,4.4,86,45,2.81,14.80
CRESSY RESEARCH STATION,07/04/2020,1.8,0.0, ,17.1,1.2,95,53,1.52,14.41
CRESSY RESEARCH STATION,08/04/2020,2.3,0.0, ,16.5,5.1,97,47,3.30,14.41
CRESSY RESEARCH STATION,09/04/2020,2.0,0.0, ,17.6,0.5,100,58,3.23,14.16
CRESSY RESEARCH STATION,10/04/2020,2.0,0.0, ,18.3,7.5,94,70,7.24,8.38
CRESSY RESEARCH STATION,11/04/2020,2.5,3.2, ,15.3,9.6,96,46,5.94,12.40
CRESSY RESEARCH STATION,12/04/2020,2.5,0.0, ,18.9,5.1,83,44,3.30,12.28
CRESSY RESEARCH STATION,13/04/2020,1.4,0.0, ,15.8,2.9,99,58,1.79,9.28
CRESSY RESEARCH STATION,14/04/2020,1.9,0.0, ,17.9,7.3,98,62,3.98,10.92
CRESSY RESEARCH STATION,15/04/2020,0.9,0.2, ,15.8,11.7,96,84,3.52,2.23
CRESSY RESEARCH STATION,16/04/2020,3.0,7.4, ,18.1,12.4,98,43,7.13,11.90
CRESSY RESEARCH STATION,17/04/2020,2.8,2.0, ,14.9,7.3,89,40,6.63,12.65
CRESSY RESEARCH STATION,18/04/2020,2.6,0.0, ,15.8,7.9,80,40,4.48,10.79
CRESSY RESEARCH STATION,19/04/2020,1.6,0.0, ,16.7,4.3,91,50,1.60,12.17
CRESSY RESEARCH STATION,20/04/2020,2.4,9.6, ,17.2,8.5,98,44,5.72,4.62
CRESSY RESEARCH STATION,21/04/2020,1.5,2.8, ,14.5,5.7,98,66,5.36,7.26
CRESSY RESEARCH STATION,22/04/2020,2.6,3.8, ,16.8,8.3,97,39,5.07,11.90
CRESSY RESEARCH STATION,23/04/2020,1.6,0.0, ,15.5,2.8,97,67,5.19,8.55
CRESSY RESEARCH STATION,24/04/2020,2.4,1.4, ,16.6,9.4,96,53,7.65,10.59
CRESSY RESEARCH STATION,25/04/2020,1.5,0.0, ,16.8,9.4,97,73,7.09,5.68
CRESSY RESEARCH STATION,26/04/2020,3.0,0.0, ,16.5,12.3,94,33,6.89,10.69
CRESSY RESEARCH STATION,27/04/2020,2.3,0.0, ,17.0,6.6,88,61,7.60,8.94
CRESSY RESEARCH STATION,28/04/2020,1.7,0.0, ,16.3,10.2,93,65,5.92,5.82
CRESSY RESEARCH STATION,29/04/2020,0.7,0.0, ,15.2,8.3,98,85,2.10,2.89
CRESSY RESEARCH STATION,30/04/2020,1.1,13.6, ,13.6,8.9,98,74,3.35,6.63
Totals:,,59.9,97.4, ,,,,,, 
