'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/05/2020,1.2,0.8, ,13.3,5.7,100,64,3.49,7.99
CRESSY RESEARCH STATION,02/05/2020,2.6,0.0, ,14.5,6.2,80,52,8.53,9.73
CRESSY RESEARCH STATION,03/05/2020,1.6,0.0, ,13.4,4.1,92,43,2.97,6.74
CRESSY RESEARCH STATION,04/05/2020,1.2,0.0, ,17.3,2.5,97,47,1.21,10.20
CRESSY RESEARCH STATION,05/05/2020,1.0,0.0, ,15.4,1.5,100,69,2.22,5.26
CRESSY RESEARCH STATION,06/05/2020,1.4,0.0, ,14.9,6.0,95,70,5.97,5.78
CRESSY RESEARCH STATION,07/05/2020,2.2,0.0, ,18.8,10.0,97,52,5.67,7.83
CRESSY RESEARCH STATION,08/05/2020,1.6,6.4, ,15.4,10.2,97,67,6.79,8.38
CRESSY RESEARCH STATION,09/05/2020,1.1,11.0, ,13.3,9.9,97,71,4.63,4.34
CRESSY RESEARCH STATION,10/05/2020,1.6,0.4, ,13.7,2.3,97,39,3.11,9.26
CRESSY RESEARCH STATION,11/05/2020,1.0,0.0, ,14.3,1.5,99,70,3.48,4.82
CRESSY RESEARCH STATION,12/05/2020,0.9,0.0, ,12.8,5.7,93,85,7.87,3.88
CRESSY RESEARCH STATION,13/05/2020,1.6,1.4, ,13.1,3.9,93,41,3.56,9.06
CRESSY RESEARCH STATION,14/05/2020,0.7,0.0, ,14.3,-0.5,98,64,1.11,7.38
CRESSY RESEARCH STATION,15/05/2020,0.7,0.2, ,14.3,4.0,100,75,1.75,6.52
CRESSY RESEARCH STATION,16/05/2020,1.4,0.0, ,13.4,6.5,94,65,6.10,7.79
CRESSY RESEARCH STATION,17/05/2020,0.8,0.0, ,16.1,1.3,100,70,1.54,8.60
CRESSY RESEARCH STATION,18/05/2020,1.1,0.6, ,14.9,4.7,100,61,2.67,5.88
CRESSY RESEARCH STATION,19/05/2020,1.0,0.0, ,14.9,8.0,99,74,4.08,4.11
CRESSY RESEARCH STATION,20/05/2020,1.7,9.0, ,14.7,10.5,97,54,5.89,5.55
CRESSY RESEARCH STATION,21/05/2020,1.0,0.4, ,13.3,2.7,98,52,2.31,8.27
CRESSY RESEARCH STATION,22/05/2020,0.8,0.2, ,13.3,-0.9,98,53,1.43,8.38
CRESSY RESEARCH STATION,23/05/2020,1.1,0.0, ,14.3,-1.8,99,60,2.93,7.80
CRESSY RESEARCH STATION,24/05/2020,1.3,0.0, ,12.2,1.7,89,64,5.18,7.99
CRESSY RESEARCH STATION,25/05/2020,0.7,0.0, ,9.8,-0.4,98,68,2.48,8.05
CRESSY RESEARCH STATION,26/05/2020,0.5,0.0, ,9.7,0.4,99,78,1.10,3.91
CRESSY RESEARCH STATION,27/05/2020,0.7,0.2, ,14.4,3.1,97,78,2.27,4.89
CRESSY RESEARCH STATION,28/05/2020,1.1,0.8, ,14.8,8.5,99,72,5.44,7.98
CRESSY RESEARCH STATION,29/05/2020,1.0,0.0, ,15.0,7.1,98,76,5.37,5.72
CRESSY RESEARCH STATION,30/05/2020,1.5,0.0, ,15.0,10.1,92,67,6.70,5.29
CRESSY RESEARCH STATION,31/05/2020,1.1,4.0, ,12.3,8.7,93,75,7.55,7.14
Totals:,,37.2,35.4, ,,,,,, 
