'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/06/2020,0.5,2.6, ,12.4,5.9,100,84,2.66,4.69
CRESSY RESEARCH STATION,02/06/2020,1.3,1.2, ,13.7,1.2,100,53,3.92,6.14
CRESSY RESEARCH STATION,03/06/2020,1.5,0.0, ,11.1,3.8,88,48,4.88,7.51
CRESSY RESEARCH STATION,04/06/2020,0.5,0.0, ,11.8,-1.8,98,60,1.09,7.48
CRESSY RESEARCH STATION,05/06/2020,0.5,0.2, ,9.9,-1.4,100,79,1.81,5.03
CRESSY RESEARCH STATION,06/06/2020,0.6,0.2, ,10.3,-0.8,99,64,1.82,6.48
CRESSY RESEARCH STATION,07/06/2020,0.3,0.0, ,10.6,-4.0,98,57,0.60,7.52
CRESSY RESEARCH STATION,08/06/2020,0.3,0.0, ,8.2,-3.3,100,70,0.66,7.23
CRESSY RESEARCH STATION,09/06/2020,0.3,0.0, ,7.8,-2.5,100,83,0.80,6.05
CRESSY RESEARCH STATION,10/06/2020,0.8,0.4, ,11.3,-1.7,100,73,4.92,5.76
CRESSY RESEARCH STATION,11/06/2020,0.9,0.0, ,11.6,6.6,97,69,4.45,4.99
CRESSY RESEARCH STATION,12/06/2020,0.7,2.2, ,9.1,5.6,99,68,2.49,2.75
CRESSY RESEARCH STATION,13/06/2020,0.4,3.0, ,13.0,2.6,100,76,1.13,5.70
CRESSY RESEARCH STATION,14/06/2020,1.1,1.8, ,12.9,3.2,100,64,4.82,5.69
CRESSY RESEARCH STATION,15/06/2020,1.3,2.0, ,13.9,9.7,90,78,9.95,6.53
CRESSY RESEARCH STATION,16/06/2020,2.4,0.8, ,13.3,10.1,87,43,8.84,7.01
CRESSY RESEARCH STATION,17/06/2020,0.9,0.0, ,11.1,1.2,96,51,2.73,7.37
CRESSY RESEARCH STATION,18/06/2020,0.5,0.0, ,10.7,-2.4,100,78,2.37,3.59
CRESSY RESEARCH STATION,19/06/2020,0.7,0.2, ,14.2,-0.2,99,76,3.13,4.79
CRESSY RESEARCH STATION,20/06/2020,0.4,0.0, ,10.2,5.5,100,89,1.96,3.10
CRESSY RESEARCH STATION,21/06/2020,0.4,2.6, ,13.2,5.6,100,74,1.06,5.61
CRESSY RESEARCH STATION,22/06/2020,0.4,4.2, ,12.9,6.3,100,88,1.51,3.36
CRESSY RESEARCH STATION,23/06/2020,1.3,0.8, ,15.7,8.2,100,65,6.58,5.74
CRESSY RESEARCH STATION,24/06/2020,1.0,0.6, ,14.6,11.0,97,72,5.70,6.85
CRESSY RESEARCH STATION,25/06/2020,0.7,1.2, ,13.8,8.5,100,77,3.95,4.83
CRESSY RESEARCH STATION,26/06/2020,1.1,0.6, ,12.4,3.2,93,46,2.98,7.17
CRESSY RESEARCH STATION,27/06/2020,0.4,0.0, ,11.2,-2.2,99,64,0.87,7.25
CRESSY RESEARCH STATION,28/06/2020,0.2,0.0, ,3.7,-1.9,100,99,0.55,4.83
CRESSY RESEARCH STATION,29/06/2020,0.3,0.4, ,9.1,-1.0,100,88,0.64,4.36
CRESSY RESEARCH STATION,30/06/2020,0.6,0.0, ,12.9,2.5,100,73,1.85,5.13
Totals:,,22.3,25, ,,,,,, 
