'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/07/2020,0.7,0.0, ,13.6,3.3,100,72,2.39,5.64
CRESSY RESEARCH STATION,02/07/2020,1.1,19.6, ,11.9,4.2,100,63,6.09,6.58
CRESSY RESEARCH STATION,03/07/2020,1.0,0.0, ,10.0,3.3,90,60,3.65,5.75
CRESSY RESEARCH STATION,04/07/2020,1.1,0.0, ,13.5,1.7,93,56,3.29,6.33
CRESSY RESEARCH STATION,05/07/2020,1.1,0.0, ,16.6,5.4,90,51,2.25,6.65
CRESSY RESEARCH STATION,06/07/2020,0.8,0.0, ,13.1,0.6,95,63,2.58,6.49
CRESSY RESEARCH STATION,07/07/2020,0.7,0.0, ,8.6,0.8,98,63,2.90,7.85
CRESSY RESEARCH STATION,08/07/2020,0.3,0.0, ,6.3,-3.2,100,81,0.73,5.30
CRESSY RESEARCH STATION,09/07/2020,0.3,1.0, ,9.2,-0.9,100,93,1.12,4.82
CRESSY RESEARCH STATION,10/07/2020,0.5,0.0, ,12.7,3.4,100,67,1.02,6.10
CRESSY RESEARCH STATION,11/07/2020,0.3,0.0, ,10.5,0.3,100,83,0.64,6.60
CRESSY RESEARCH STATION,12/07/2020,0.8,0.2, ,12.3,1.5,100,66,2.87,7.47
CRESSY RESEARCH STATION,13/07/2020,0.9,0.0, ,11.2,-0.1,100,60,3.38,7.63
CRESSY RESEARCH STATION,14/07/2020,1.1,0.0, ,11.0,1.3,94,63,4.39,6.71
CRESSY RESEARCH STATION,15/07/2020,1.1,0.0, ,10.7,3.2,86,65,4.41,7.16
CRESSY RESEARCH STATION,16/07/2020,0.9,0.0, ,11.9,0.4,99,64,2.94,7.81
CRESSY RESEARCH STATION,17/07/2020,0.5,0.0, ,11.6,-3.1,100,65,1.08,8.44
CRESSY RESEARCH STATION,18/07/2020,0.5,0.0, ,10.1,-1.1,100,87,4.26,4.32
CRESSY RESEARCH STATION,19/07/2020,1.0,0.2, ,12.6,6.7,96,76,7.05,5.66
CRESSY RESEARCH STATION,20/07/2020,2.1,6.4, ,12.0,3.0,83,38,6.03,8.47
CRESSY RESEARCH STATION,21/07/2020,1.2,0.0, ,14.1,1.4,99,56,3.14,8.48
CRESSY RESEARCH STATION,22/07/2020,0.5,0.0, ,12.2,-3.4,100,59,0.81,8.59
CRESSY RESEARCH STATION,23/07/2020,0.7,0.0, ,12.2,-3.4,100,52,1.21,8.93
CRESSY RESEARCH STATION,24/07/2020,0.4,0.4, ,8.2,-1.0,100,87,1.55,5.92
CRESSY RESEARCH STATION,25/07/2020,0.7,0.0, ,12.0,-1.0,100,57,1.08,8.83
CRESSY RESEARCH STATION,26/07/2020,0.7,0.0, ,12.3,-2.8,100,62,1.42,8.54
CRESSY RESEARCH STATION,27/07/2020,1.1,3.2, ,12.1,0.3,100,65,3.77,6.69
CRESSY RESEARCH STATION,28/07/2020,1.2,0.0, ,13.0,4.3,98,64,4.34,9.02
CRESSY RESEARCH STATION,29/07/2020,1.0,0.0, ,13.2,-0.3,100,63,2.75,9.12
CRESSY RESEARCH STATION,30/07/2020,1.2,0.0, ,12.6,0.5,98,47,2.32,9.15
CRESSY RESEARCH STATION,31/07/2020,0.7,0.0, ,13.4,-2.6,100,72,1.12,8.58
Totals:,,26.2,31, ,,,,,, 
