'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/08/2020,1.0,0.0, ,13.2,0.2,100,77,5.66,5.59
CRESSY RESEARCH STATION,02/08/2020,1.7,0.0, ,12.9,7.6,94,59,7.00,9.31
CRESSY RESEARCH STATION,03/08/2020,1.8,3.2, ,10.4,6.2,100,42,6.46,10.01
CRESSY RESEARCH STATION,04/08/2020,1.3,0.0, ,8.6,-0.2,100,44,3.35,9.35
CRESSY RESEARCH STATION,05/08/2020,1.6,18.8, ,9.8,0.9,100,51,6.57,9.94
CRESSY RESEARCH STATION,06/08/2020,1.4,0.0, ,11.1,3.4,97,50,3.79,10.46
CRESSY RESEARCH STATION,07/08/2020,1.3,0.0, ,10.8,-3.3,100,57,3.96,10.58
CRESSY RESEARCH STATION,08/08/2020,1.2,0.0, ,11.2,1.5,99,60,3.66,8.67
CRESSY RESEARCH STATION,09/08/2020,0.9,0.2, ,12.3,-3.2,100,58,1.15,10.83
CRESSY RESEARCH STATION,10/08/2020,0.8,0.2, ,9.8,-3.4,100,71,1.59,9.73
CRESSY RESEARCH STATION,11/08/2020,1.1,0.0, ,12.2,-1.6,100,61,2.56,10.19
CRESSY RESEARCH STATION,12/08/2020,0.7,0.0, ,11.1,2.8,100,71,1.17,4.93
CRESSY RESEARCH STATION,13/08/2020,0.8,0.0, ,12.2,6.1,100,78,1.67,4.90
CRESSY RESEARCH STATION,14/08/2020,0.8,1.2, ,14.3,7.8,100,81,2.39,4.88
CRESSY RESEARCH STATION,15/08/2020,1.0,13.2, ,14.4,4.9,100,79,3.71,6.01
CRESSY RESEARCH STATION,16/08/2020,1.7,5.2, ,14.6,7.8,97,64,5.65,9.07
CRESSY RESEARCH STATION,17/08/2020,1.4,0.6, ,17.1,9.4,100,62,2.04,10.58
CRESSY RESEARCH STATION,18/08/2020,1.4,0.0, ,13.6,4.6,100,63,4.11,8.45
CRESSY RESEARCH STATION,19/08/2020,1.4,1.8, ,12.2,6.3,100,64,4.38,10.55
CRESSY RESEARCH STATION,20/08/2020,1.9,1.2, ,12.9,1.7,100,47,4.88,10.71
CRESSY RESEARCH STATION,21/08/2020,1.1,0.0, ,9.1,2.2,98,74,5.24,8.06
CRESSY RESEARCH STATION,22/08/2020,1.4,0.0, ,11.5,-1.4,100,58,3.75,9.57
CRESSY RESEARCH STATION,23/08/2020,1.7,1.0, ,12.8,2.0,95,55,4.09,9.61
CRESSY RESEARCH STATION,24/08/2020,1.5,0.0, ,13.2,-1.0,91,44,1.89,11.48
CRESSY RESEARCH STATION,25/08/2020,1.6,0.0, ,12.8,-2.7,99,50,2.36,12.91
CRESSY RESEARCH STATION,26/08/2020,1.8,0.0, ,14.1,2.4,96,54,3.69,10.83
CRESSY RESEARCH STATION,27/08/2020,2.3,0.0, ,14.0,5.0,94,51,7.92,7.39
CRESSY RESEARCH STATION,28/08/2020,3.4,4.2, ,16.2,5.9,72,36,6.33,12.27
CRESSY RESEARCH STATION,29/08/2020,2.0,0.0, ,15.7,3.4,97,66,6.86,13.25
CRESSY RESEARCH STATION,30/08/2020,2.0,0.0, ,14.8,7.4,98,66,9.78,10.41
CRESSY RESEARCH STATION,31/08/2020,2.0,0.2, ,12.8,2.6,91,43,3.26,13.17
Totals:,,46,51, ,,,,,, 
