'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/09/2020,1.6,0.0, ,12.0,-2.8,98,63,4.22,11.99
CRESSY RESEARCH STATION,02/09/2020,2.6,0.0, ,16.2,1.9,97,46,5.84,10.21
CRESSY RESEARCH STATION,03/09/2020,1.6,2.0, ,14.5,5.9,100,69,7.61,7.19
CRESSY RESEARCH STATION,04/09/2020,2.5,2.4, ,14.3,5.7,95,52,7.95,13.46
CRESSY RESEARCH STATION,05/09/2020,2.7,2.0, ,16.6,5.6,97,42,4.87,14.49
CRESSY RESEARCH STATION,06/09/2020,1.7,0.0, ,13.4,-0.6,100,64,4.74,11.40
CRESSY RESEARCH STATION,07/09/2020,2.8,0.0, ,17.4,5.9,96,53,7.06,13.63
CRESSY RESEARCH STATION,08/09/2020,2.8,0.0, ,17.5,8.0,95,40,5.23,8.49
CRESSY RESEARCH STATION,09/09/2020,2.0,1.8, ,15.9,-0.3,98,47,1.71,15.29
CRESSY RESEARCH STATION,10/09/2020,1.8,0.0, ,13.6,3.5,100,58,3.01,12.29
CRESSY RESEARCH STATION,11/09/2020,1.8,0.0, ,15.7,6.4,100,67,6.81,8.00
CRESSY RESEARCH STATION,12/09/2020,1.3,1.0, ,11.4,9.0,100,71,4.03,7.30
CRESSY RESEARCH STATION,13/09/2020,2.7,0.4, ,14.6,5.6,100,47,6.70,15.26
CRESSY RESEARCH STATION,14/09/2020,3.2,0.0, ,15.6,6.2,89,35,5.74,14.60
CRESSY RESEARCH STATION,15/09/2020,3.3,0.0, ,16.7,6.1,85,49,7.14,16.96
CRESSY RESEARCH STATION,16/09/2020,2.4,0.0, ,15.6,6.2,100,60,8.10,14.44
CRESSY RESEARCH STATION,17/09/2020,2.5,0.0, ,13.2,5.6,100,40,3.62,16.27
CRESSY RESEARCH STATION,18/09/2020,2.3,0.0, ,15.4,0.7,100,45,2.09,17.64
CRESSY RESEARCH STATION,19/09/2020,1.3,0.0, ,15.4,0.8,100,73,1.57,8.52
CRESSY RESEARCH STATION,20/09/2020,1.6,0.0, ,18.5,6.8,100,74,3.64,8.01
CRESSY RESEARCH STATION,21/09/2020,2.3,3.2, ,15.6,11.1,100,61,5.85,13.92
CRESSY RESEARCH STATION,22/09/2020,1.5,7.0, ,13.5,8.4,100,78,8.06,10.36
CRESSY RESEARCH STATION,23/09/2020,2.7,4.0, ,16.2,7.1,91,51,5.45,12.24
CRESSY RESEARCH STATION,24/09/2020,2.3,0.2, ,14.5,-0.6,100,49,2.89,16.02
CRESSY RESEARCH STATION,25/09/2020,0.8,1.6, ,10.4,2.5,100,89,2.31,4.84
CRESSY RESEARCH STATION,26/09/2020,2.6,10.8, ,13.6,2.8,100,45,4.44,16.89
CRESSY RESEARCH STATION,27/09/2020,2.6,0.4, ,14.4,2.2,89,44,2.91,17.78
CRESSY RESEARCH STATION,28/09/2020,2.8,0.0, ,16.6,-0.5,97,40,2.47,19.80
CRESSY RESEARCH STATION,29/09/2020,1.9,0.0, ,14.5,-0.2,100,59,3.26,11.76
CRESSY RESEARCH STATION,30/09/2020,1.3,0.0, ,14.7,7.9,100,78,4.58,5.42
Totals:,,65.3,36.8, ,,,,,, 
