'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/10/2020,3.4,2.0, ,16.0,5.3,97,41,6.60,17.81
CRESSY RESEARCH STATION,02/10/2020,4.0,0.0, ,19.9,9.4,95,46,8.28,18.25
CRESSY RESEARCH STATION,03/10/2020,3.3,0.0, ,21.9,10.5,96,59,6.09,15.05
CRESSY RESEARCH STATION,04/10/2020,2.2,5.2, ,18.4,11.8,100,77,2.65,14.12
CRESSY RESEARCH STATION,05/10/2020,1.7,19.8, ,13.1,5.8,100,67,4.50,9.01
CRESSY RESEARCH STATION,06/10/2020,3.0,3.0, ,15.3,4.3,96,48,2.96,21.46
CRESSY RESEARCH STATION,07/10/2020,3.0,0.0, ,17.6,0.4,100,50,2.94,20.52
CRESSY RESEARCH STATION,08/10/2020,1.1,1.6, ,13.9,7.8,100,80,5.30,3.75
CRESSY RESEARCH STATION,09/10/2020,2.1,31.6, ,17.0,8.0,100,68,2.61,12.55
CRESSY RESEARCH STATION,10/10/2020,3.0,0.8, ,18.3,10.6,96,46,3.32,15.53
CRESSY RESEARCH STATION,11/10/2020,3.0,0.2, ,17.5,3.1,100,50,2.84,20.01
CRESSY RESEARCH STATION,12/10/2020,2.9,0.0, ,16.0,1.7,100,58,5.13,20.53
CRESSY RESEARCH STATION,13/10/2020,3.6,0.0, ,15.9,5.7,99,37,4.78,22.57
CRESSY RESEARCH STATION,14/10/2020,3.2,0.0, ,16.9,1.8,100,43,3.24,21.29
CRESSY RESEARCH STATION,15/10/2020,2.1,1.2, ,14.9,8.9,100,59,6.26,7.83
CRESSY RESEARCH STATION,16/10/2020,3.1,2.6, ,14.0,0.8,96,43,3.20,23.30
CRESSY RESEARCH STATION,17/10/2020,0.9,2.6, ,10.0,1.9,100,81,4.78,3.10
CRESSY RESEARCH STATION,18/10/2020,3.2,16.6, ,17.3,6.3,100,47,3.04,19.73
CRESSY RESEARCH STATION,19/10/2020,3.2,0.2, ,17.8,0.7,100,49,1.84,23.80
CRESSY RESEARCH STATION,20/10/2020,3.2,0.0, ,17.4,6.9,100,61,3.80,23.12
CRESSY RESEARCH STATION,21/10/2020,3.4,0.0, ,18.2,9.4,98,51,2.45,21.73
CRESSY RESEARCH STATION,22/10/2020,3.1,0.0, ,19.1,9.1,100,53,3.52,17.56
CRESSY RESEARCH STATION,23/10/2020,1.4,0.0, ,14.3,7.0,100,82,3.70,8.10
CRESSY RESEARCH STATION,24/10/2020,3.3,5.2, ,18.1,11.2,100,37,3.35,16.35
CRESSY RESEARCH STATION,25/10/2020,3.5,0.0, ,13.8,3.9,91,44,5.97,24.31
CRESSY RESEARCH STATION,26/10/2020,3.8,0.0, ,16.4,3.6,91,47,5.25,25.18
CRESSY RESEARCH STATION,27/10/2020,3.0,0.0, ,15.3,7.7,80,60,6.16,15.24
CRESSY RESEARCH STATION,28/10/2020,3.5,0.0, ,17.7,7.8,89,59,5.05,22.08
CRESSY RESEARCH STATION,29/10/2020, ,0.0, , ,6.0,100,50,2.64,24.74
CRESSY RESEARCH STATION,30/10/2020,3.6, , ,20.1,3.3,100,26,2.47,17.21
CRESSY RESEARCH STATION,31/10/2020,4.2,0.6, ,20.7,10.7,100,53,4.12,25.31
Totals:,,88,93.2, ,,,,,, 
