'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/11/2020,3.9,0.2, ,21.9,6.8,100,44,3.08,20.75
CRESSY RESEARCH STATION,02/11/2020,4.3,0.0, ,21.3,8.3,100,51,4.62,25.45
CRESSY RESEARCH STATION,03/11/2020,4.8,0.0, ,24.4,12.7,92,46,5.16,21.16
CRESSY RESEARCH STATION,04/11/2020,5.6,0.0, ,23.1,12.7,92,29,5.73,24.15
CRESSY RESEARCH STATION,05/11/2020,4.4,0.0, ,19.7,5.6,93,36,2.98,26.48
CRESSY RESEARCH STATION,06/11/2020,3.7,0.0, ,19.2,2.2,99,45,4.87,18.78
CRESSY RESEARCH STATION,07/11/2020,3.6,0.0, ,16.8,1.3,86,40,2.76,23.13
CRESSY RESEARCH STATION,08/11/2020,4.0,0.0, ,20.1,0.1,100,47,3.04,26.90
CRESSY RESEARCH STATION,09/11/2020,4.3,0.0, ,20.3,0.0,100,49,4.19,28.25
CRESSY RESEARCH STATION,10/11/2020,5.6,0.0, ,25.2,10.7,92,45,5.17,27.69
CRESSY RESEARCH STATION,11/11/2020,5.3,0.0, ,28.3,5.8,100,37,3.04,24.25
CRESSY RESEARCH STATION,12/11/2020,4.1,3.8, ,21.3,15.5,100,56,7.43,20.89
CRESSY RESEARCH STATION,13/11/2020,4.7,0.2, ,20.7,11.0,95,48,7.02,24.88
CRESSY RESEARCH STATION,14/11/2020,4.4,0.0, ,20.1,5.2,98,41,5.28,22.85
CRESSY RESEARCH STATION,15/11/2020,3.2,0.0, ,20.6,9.0,96,53,3.32,15.41
CRESSY RESEARCH STATION,16/11/2020,5.1,1.2, ,22.8,9.4,100,40,6.48,23.09
CRESSY RESEARCH STATION,17/11/2020,5.5,0.2, ,21.6,7.5,94,28,4.55,28.37
CRESSY RESEARCH STATION,18/11/2020,4.4,0.0, ,21.9,2.1,100,50,4.33,25.66
CRESSY RESEARCH STATION,19/11/2020,4.9,0.0, ,26.3,10.3,99,32,2.83,21.50
CRESSY RESEARCH STATION,20/11/2020,6.6,0.0, ,26.2,8.2,98,22,4.87,28.14
CRESSY RESEARCH STATION,21/11/2020,5.4,0.0, ,23.9,8.4,86,40,3.80,28.64
CRESSY RESEARCH STATION,22/11/2020,3.2,0.0, ,23.7,12.5,95,57,2.41,14.26
CRESSY RESEARCH STATION,23/11/2020,5.3,0.0, ,26.6,11.6,90,37,3.74,21.94
CRESSY RESEARCH STATION,24/11/2020,3.4,1.6, ,22.2,12.0,100,53,3.71,14.74
CRESSY RESEARCH STATION,25/11/2020,3.5,0.4, ,21.2,10.2,100,67,7.08,20.49
CRESSY RESEARCH STATION,26/11/2020,5.8,0.0, ,23.6,6.7,97,26,3.51,30.64
CRESSY RESEARCH STATION,27/11/2020,4.6,0.0, ,22.0,4.3,100,44,5.99,21.25
CRESSY RESEARCH STATION,28/11/2020,1.6,0.4, ,16.8,12.3,99,78,2.61,7.53
CRESSY RESEARCH STATION,29/11/2020,4.0,13.6, ,20.1,10.8,100,42,4.19,19.99
CRESSY RESEARCH STATION,30/11/2020,4.6,0.4, ,22.9,1.1,100,46,3.88,26.28
Totals:,,133.8,22, ,,,,,, 
