'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/12/2020,4.1,0.0, ,20.1,13.0,93,44,8.30,13.30
CRESSY RESEARCH STATION,02/12/2020,5.7,0.6, ,19.8,6.1,89,25,6.06,29.35
CRESSY RESEARCH STATION,03/12/2020,4.2,0.2, ,20.1,-0.7,100,43,4.57,23.72
CRESSY RESEARCH STATION,04/12/2020,5.5,0.0, ,22.5,7.7,88,31,5.48,24.07
CRESSY RESEARCH STATION,05/12/2020,2.3,0.0, ,17.2,6.1,100,62,4.20,10.19
CRESSY RESEARCH STATION,06/12/2020,4.9,18.4, ,17.1,10.4,93,39,8.83,28.51
CRESSY RESEARCH STATION,07/12/2020,4.3,0.2, ,19.2,6.5,93,35,5.02,19.89
CRESSY RESEARCH STATION,08/12/2020,4.7,1.0, ,19.6,0.9,91,36,5.23,24.79
CRESSY RESEARCH STATION,09/12/2020,6.5,0.0, ,23.8,10.7,95,33,7.21,30.98
CRESSY RESEARCH STATION,10/12/2020,5.7,0.0, ,20.8,5.5,87,25,4.51,30.67
CRESSY RESEARCH STATION,11/12/2020,5.2,0.0, ,23.4,2.4,95,31,2.62,30.03
CRESSY RESEARCH STATION,12/12/2020,5.4,0.0, ,25.2,2.8,100,40,2.64,31.00
CRESSY RESEARCH STATION,13/12/2020,5.3,0.0, ,24.5,5.1,100,41,3.38,29.05
CRESSY RESEARCH STATION,14/12/2020,6.0,0.0, ,28.4,10.1,94,46,4.65,27.74
CRESSY RESEARCH STATION,15/12/2020,7.3,0.0, ,32.0,15.6,93,41,6.72,25.26
CRESSY RESEARCH STATION,16/12/2020,4.1,0.0, ,19.1,11.7,94,46,8.24,16.68
CRESSY RESEARCH STATION,17/12/2020,3.3,6.4, ,22.5,9.9,95,55,3.88,13.12
CRESSY RESEARCH STATION,18/12/2020,4.4,4.0, ,22.8,13.1,100,31,3.83,17.56
CRESSY RESEARCH STATION,19/12/2020,5.1,0.2, ,21.9,3.1,99,25,3.23,27.37
CRESSY RESEARCH STATION,20/12/2020,3.7,11.0, ,20.1,7.6,93,47,3.81,17.63
CRESSY RESEARCH STATION,21/12/2020,4.1,1.8, ,22.6,6.3,95,39,2.47,20.53
CRESSY RESEARCH STATION,22/12/2020,1.8,13.6, ,18.2,12.3,97,75,4.46,6.50
CRESSY RESEARCH STATION,23/12/2020,5.7,7.0, ,24.8,13.1,97,29,3.80,26.01
CRESSY RESEARCH STATION,24/12/2020,4.8,0.0, ,20.9,3.5,97,30,3.66,24.67
CRESSY RESEARCH STATION,25/12/2020,5.5,0.0, ,21.3,4.4,87,27,3.68,30.50
CRESSY RESEARCH STATION,26/12/2020,3.1,0.0, ,21.5,3.4,99,39,2.63,11.81
CRESSY RESEARCH STATION,27/12/2020,3.2,0.0, ,24.4,12.4,95,56,4.51,9.74
CRESSY RESEARCH STATION,28/12/2020,4.5,8.2, ,18.5,3.3,96,39,4.37,26.89
CRESSY RESEARCH STATION,29/12/2020,5.0,0.2, ,22.4,2.9,95,49,5.12,29.62
CRESSY RESEARCH STATION,30/12/2020,5.2,0.0, ,25.7,10.2,99,41,2.64,26.98
CRESSY RESEARCH STATION,31/12/2020,5.3,0.0, ,22.1,12.1,90,52,7.20,28.65
Totals:,,145.9,72.8, ,,,,,, 
