'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/01/2021,5.7,0.0, ,24.4,12.0,83,42,4.88,27.00
CRESSY RESEARCH STATION,02/01/2021,5.1,0.0, ,25.9,10.0,91,38,2.84,24.41
CRESSY RESEARCH STATION,03/01/2021,3.3,0.0, ,21.8,11.3,94,38,3.94,8.70
CRESSY RESEARCH STATION,04/01/2021,3.9,9.6, ,21.4,12.6,95,58,6.00,18.48
CRESSY RESEARCH STATION,05/01/2021,5.3,0.4, ,23.5,11.3,83,37,4.69,22.75
CRESSY RESEARCH STATION,06/01/2021,5.5,0.0, ,25.1,10.4,94,33,4.69,22.17
CRESSY RESEARCH STATION,07/01/2021,5.7,0.0, ,25.5,4.7,94,40,3.51,30.47
CRESSY RESEARCH STATION,08/01/2021,5.0,0.0, ,26.3,14.4,90,49,4.70,20.69
CRESSY RESEARCH STATION,09/01/2021,6.3,0.0, ,27.1,14.6,96,42,5.27,29.63
CRESSY RESEARCH STATION,10/01/2021,6.0,0.0, ,28.4,7.6,99,43,3.35,30.17
CRESSY RESEARCH STATION,11/01/2021,7.6,0.0, ,32.3,11.0,97,25,4.11,29.59
CRESSY RESEARCH STATION,12/01/2021,6.9,2.0, ,26.9,15.4,93,28,4.96,30.64
CRESSY RESEARCH STATION,13/01/2021,3.3,0.2, ,22.2,10.0,91,50,2.99,14.10
CRESSY RESEARCH STATION,14/01/2021,5.5,3.8, ,24.6,10.2,95,34,4.09,26.09
CRESSY RESEARCH STATION,15/01/2021,1.6,1.0, ,14.7,3.2,95,69,2.02,7.49
CRESSY RESEARCH STATION,16/01/2021,4.8,6.6, ,20.5,8.4,87,36,4.69,23.24
CRESSY RESEARCH STATION,17/01/2021,4.4,0.0, ,20.4,8.7,84,44,6.92,16.19
CRESSY RESEARCH STATION,18/01/2021,6.3,0.0, ,24.2,11.8,84,31,8.62,20.00
CRESSY RESEARCH STATION,19/01/2021,6.1,0.0, ,20.4,6.5,60,23,5.32,28.82
CRESSY RESEARCH STATION,20/01/2021,6.1,0.0, ,26.0,1.1,94,22,3.49,29.43
CRESSY RESEARCH STATION,21/01/2021,6.7,0.0, ,27.4,4.1,98,20,4.81,26.12
CRESSY RESEARCH STATION,22/01/2021,6.3,0.0, ,27.4,11.7,92,25,5.64,20.21
CRESSY RESEARCH STATION,23/01/2021,6.2,0.0, ,29.1,7.4,93,32,3.59,26.88
CRESSY RESEARCH STATION,24/01/2021,6.2,0.0, ,30.4,9.0,100,28,3.83,23.34
CRESSY RESEARCH STATION,25/01/2021,5.1,0.0, ,31.8,11.7,96,31,3.87,11.59
CRESSY RESEARCH STATION,26/01/2021,6.3,8.8, ,26.5,16.3,98,26,4.54,26.91
CRESSY RESEARCH STATION,27/01/2021,5.8,0.0, ,20.3,8.5,73,34,6.83,28.07
CRESSY RESEARCH STATION,28/01/2021,5.4,0.0, ,20.1,10.4,74,38,6.33,26.50
CRESSY RESEARCH STATION,29/01/2021,2.2,0.0, ,20.6,6.9,99,47,3.03,4.33
CRESSY RESEARCH STATION,30/01/2021,5.7,14.8, ,28.2,13.8,100,36,4.13,23.50
CRESSY RESEARCH STATION,31/01/2021,4.5,0.0, ,23.6,11.5,85,47,4.26,19.48
Totals:,,164.8,47.2, ,,,,,, 
