'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/02/2021,2.8,0.0, ,23.1,11.8,98,52,2.87,10.47
CRESSY RESEARCH STATION,02/02/2021,5.4,0.0, ,24.5,5.4,94,30,3.41,28.02
CRESSY RESEARCH STATION,03/02/2021,5.3,0.0, ,22.4,6.6,93,33,6.45,21.66
CRESSY RESEARCH STATION,04/02/2021,4.3,0.6, ,25.9,12.1,94,49,3.59,18.93
CRESSY RESEARCH STATION,05/02/2021,2.5,0.0, ,26.9,12.7,99,60,3.04,6.70
CRESSY RESEARCH STATION,06/02/2021,4.4,54.4, ,22.2,16.8,100,47,6.73,18.93
CRESSY RESEARCH STATION,07/02/2021,5.6,1.0, ,23.8,12.4,97,33,4.87,26.86
CRESSY RESEARCH STATION,08/02/2021,5.2,0.0, ,23.3,9.2,81,33,3.92,24.25
CRESSY RESEARCH STATION,09/02/2021,5.1,0.0, ,20.5,6.3,85,34,5.44,26.66
CRESSY RESEARCH STATION,10/02/2021,4.8,0.0, ,22.3,7.2,87,35,3.35,25.80
CRESSY RESEARCH STATION,11/02/2021,3.3,0.0, ,22.2,10.3,96,52,4.26,13.27
CRESSY RESEARCH STATION,12/02/2021,5.4,18.6, ,23.1,15.1,98,44,8.55,26.44
CRESSY RESEARCH STATION,13/02/2021,4.5,0.0, ,23.9,9.6,90,39,2.74,23.31
CRESSY RESEARCH STATION,14/02/2021,5.1,0.0, ,25.3,10.7,93,45,4.37,25.69
CRESSY RESEARCH STATION,15/02/2021,4.3,0.0, ,23.9,13.9,83,52,4.84,17.55
CRESSY RESEARCH STATION,16/02/2021,4.6,0.0, ,25.0,12.5,94,40,2.72,23.82
CRESSY RESEARCH STATION,17/02/2021,4.1,0.0, ,24.4,8.1,98,48,3.36,21.08
CRESSY RESEARCH STATION,18/02/2021,4.9,0.0, ,25.4,8.7,97,47,4.30,24.85
CRESSY RESEARCH STATION,19/02/2021,5.1,0.0, ,27.7,14.0,87,48,5.46,18.70
CRESSY RESEARCH STATION,20/02/2021,6.3,0.0, ,30.5,15.6,92,35,5.43,22.06
CRESSY RESEARCH STATION,21/02/2021,5.0,0.0, ,27.2,10.7,99,39,3.42,23.16
CRESSY RESEARCH STATION,22/02/2021,4.7,0.0, ,23.2,10.3,93,30,4.26,19.73
CRESSY RESEARCH STATION,23/02/2021,4.1,0.0, ,21.7,1.7,91,27,2.85,20.52
CRESSY RESEARCH STATION,24/02/2021,4.5,0.0, ,21.7,2.8,95,35,4.10,23.83
CRESSY RESEARCH STATION,25/02/2021,3.7,0.0, ,19.4,9.8,88,38,5.63,11.10
CRESSY RESEARCH STATION,26/02/2021,4.4,2.4, ,22.9,6.3,86,37,4.04,20.68
CRESSY RESEARCH STATION,27/02/2021,3.3,0.0, ,22.1,5.6,99,45,2.75,16.60
CRESSY RESEARCH STATION,28/02/2021,4.2,0.0, ,25.5,7.8,98,41,3.06,20.65
Totals:,,126.9,77, ,,,,,, 
