'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/03/2021,4.7,0.0, ,24.1,12.4,94,35,5.87,15.80
CRESSY RESEARCH STATION,02/03/2021,4.6,0.0, ,19.6,9.6,76,28,4.72,19.98
CRESSY RESEARCH STATION,03/03/2021,3.7,0.0, ,20.8,3.0,88,35,3.38,16.96
CRESSY RESEARCH STATION,04/03/2021,6.5,0.0, ,25.6,8.3,77,26,7.41,20.11
CRESSY RESEARCH STATION,05/03/2021,4.7,0.0, ,20.0,7.8,64,31,5.00,20.27
CRESSY RESEARCH STATION,06/03/2021,4.0,0.0, ,21.9,4.6,83,34,3.09,20.75
CRESSY RESEARCH STATION,07/03/2021,3.3,0.0, ,20.6,7.4,94,49,4.42,15.25
CRESSY RESEARCH STATION,08/03/2021,2.5,0.0, ,22.0,11.7,95,54,2.04,11.16
CRESSY RESEARCH STATION,09/03/2021,3.5,0.0, ,23.6,6.6,100,29,2.73,13.26
CRESSY RESEARCH STATION,10/03/2021,3.8,0.2, ,22.6,2.3,96,43,4.00,19.08
CRESSY RESEARCH STATION,11/03/2021,4.5,0.0, ,29.9,8.9,98,38,2.96,19.10
CRESSY RESEARCH STATION,12/03/2021,4.1,0.0, ,27.2,7.7,100,46,3.88,17.41
CRESSY RESEARCH STATION,13/03/2021,2.5,0.0, ,21.0,13.8,95,56,5.82,3.81
CRESSY RESEARCH STATION,14/03/2021,3.6,3.4, ,18.3,3.3,88,36,4.66,18.02
CRESSY RESEARCH STATION,15/03/2021,6.2,0.0, ,27.3,8.7,87,24,6.20,19.20
CRESSY RESEARCH STATION,16/03/2021,3.9,0.0, ,23.3,10.4,79,40,3.51,17.73
CRESSY RESEARCH STATION,17/03/2021,3.2,0.0, ,22.3,10.8,89,40,2.58,15.77
CRESSY RESEARCH STATION,18/03/2021,2.5,0.0, ,22.7,10.8,87,46,2.21,9.41
CRESSY RESEARCH STATION,19/03/2021,3.8,0.0, ,25.0,10.2,88,34,2.61,17.62
CRESSY RESEARCH STATION,20/03/2021,4.2,0.0, ,24.1,8.4,95,21,3.52,16.87
CRESSY RESEARCH STATION,21/03/2021,4.0,0.0, ,25.6,9.3,88,33,3.21,16.45
CRESSY RESEARCH STATION,22/03/2021,3.6,0.0, ,25.9,8.5,96,36,2.95,13.91
CRESSY RESEARCH STATION,23/03/2021,4.2,0.0, ,25.8,11.2,89,35,4.72,11.41
CRESSY RESEARCH STATION,24/03/2021,1.9,4.4, ,18.6,15.4,93,71,8.00,2.60
CRESSY RESEARCH STATION,25/03/2021,3.2,8.0, ,23.4,14.7,91,46,5.09,7.14
CRESSY RESEARCH STATION,26/03/2021,3.0,0.0, ,20.6,6.5,96,50,4.76,12.70
CRESSY RESEARCH STATION,27/03/2021,3.6,13.8, ,20.2,10.9,97,30,5.14,10.94
CRESSY RESEARCH STATION,28/03/2021,3.0,0.0, ,20.4,5.3,99,43,4.39,12.69
CRESSY RESEARCH STATION,29/03/2021,2.9,0.0, ,17.5,5.9,77,37,3.47,12.01
CRESSY RESEARCH STATION,30/03/2021,2.6,0.0, ,23.2,6.2,95,30,1.35,15.96
CRESSY RESEARCH STATION,31/03/2021,2.9,0.0, ,24.1,6.1,98,43,2.34,14.77
Totals:,,114.7,29.8, ,,,,,, 
