'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/04/2021,3.4,0.0, ,25.1,9.2,100,41,3.81,13.02
CRESSY RESEARCH STATION,02/04/2021,2.5,0.0, ,21.6,11.9,93,62,4.60,9.86
CRESSY RESEARCH STATION,03/04/2021,5.0,0.0, ,27.9,10.3,98,36,6.42,15.28
CRESSY RESEARCH STATION,04/04/2021,3.7,0.0, ,23.9,10.2,90,31,3.68,14.87
CRESSY RESEARCH STATION,05/04/2021,2.6,0.0, ,22.9,2.5,96,36,1.78,14.88
CRESSY RESEARCH STATION,06/04/2021,2.7,0.0, ,23.7,5.2,100,39,2.12,14.02
CRESSY RESEARCH STATION,07/04/2021,2.9,0.0, ,23.8,7.8,100,41,2.78,13.43
CRESSY RESEARCH STATION,08/04/2021,3.0,0.2, ,22.1,6.5,100,53,6.27,10.95
CRESSY RESEARCH STATION,09/04/2021,2.6,2.2, ,17.5,8.4,92,34,3.35,11.63
CRESSY RESEARCH STATION,10/04/2021,3.1,0.0, ,17.4,2.9,94,36,5.84,11.03
CRESSY RESEARCH STATION,11/04/2021,2.6,0.0, ,14.9,3.2,83,39,4.97,10.22
CRESSY RESEARCH STATION,12/04/2021,1.9,0.0, ,16.8,7.1,89,45,2.64,6.94
CRESSY RESEARCH STATION,13/04/2021,1.6,0.0, ,16.0,1.8,99,64,4.17,5.93
CRESSY RESEARCH STATION,14/04/2021,3.3,5.4, ,18.7,7.6,97,45,8.91,11.26
CRESSY RESEARCH STATION,15/04/2021,3.7,0.0, ,17.5,9.0,82,30,7.03,10.28
CRESSY RESEARCH STATION,16/04/2021,2.2,0.0, ,16.0,-0.3,94,39,3.27,12.79
CRESSY RESEARCH STATION,17/04/2021,2.4,0.0, ,19.2,-1.4,99,49,4.21,10.62
CRESSY RESEARCH STATION,18/04/2021,2.8,0.0, ,20.4,1.7,100,41,4.17,12.01
CRESSY RESEARCH STATION,19/04/2021,3.0,0.0, ,18.7,5.3,94,46,6.89,11.02
CRESSY RESEARCH STATION,20/04/2021,1.6,0.2, ,12.6,12.0,92,62,5.74,2.52
CRESSY RESEARCH STATION,21/04/2021,1.8,3.4, ,13.0,-2.1,98,51,4.35,11.16
CRESSY RESEARCH STATION,22/04/2021,2.8,0.0, ,17.3,3.7,90,45,6.63,10.02
CRESSY RESEARCH STATION,23/04/2021,2.8,0.0, ,17.4,7.5,85,39,5.34,7.33
CRESSY RESEARCH STATION,24/04/2021,3.0,0.0, ,19.3,5.7,88,35,4.86,7.67
CRESSY RESEARCH STATION,25/04/2021,2.1,0.0, ,18.4,0.7,96,38,2.89,7.85
CRESSY RESEARCH STATION,26/04/2021,2.3,0.0, ,20.6,8.1,89,36,2.71,8.80
CRESSY RESEARCH STATION,27/04/2021,1.4,0.0, ,18.7,-1.1,98,43,1.22,10.96
CRESSY RESEARCH STATION,28/04/2021,1.5,0.0, ,17.8,2.1,100,52,2.16,9.77
CRESSY RESEARCH STATION,29/04/2021,1.3,0.0, ,18.6,3.8,100,57,1.77,7.65
CRESSY RESEARCH STATION,30/04/2021,1.6,0.0, ,18.2,6.8,97,64,3.54,7.98
Totals:,,77.2,11.4, ,,,,,, 
