'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/05/2021,1.5,0.2, ,21.7,3.3,100,42,1.28,10.20
CRESSY RESEARCH STATION,02/05/2021,1.3,0.2, ,20.4,4.1,100,52,1.47,8.06
CRESSY RESEARCH STATION,03/05/2021,1.2,1.8, ,17.9,9.4,100,73,4.08,4.87
CRESSY RESEARCH STATION,04/05/2021,1.4,3.0, ,15.8,1.6,97,45,1.86,10.18
CRESSY RESEARCH STATION,05/05/2021,1.1,0.0, ,17.0,-0.6,100,53,1.37,10.00
CRESSY RESEARCH STATION,06/05/2021,1.4,0.0, ,18.9,2.1,100,50,1.95,9.00
CRESSY RESEARCH STATION,07/05/2021,1.0,0.0, ,18.7,6.5,100,74,2.32,2.98
CRESSY RESEARCH STATION,08/05/2021,2.4,1.0, ,19.3,10.7,100,44,5.16,9.58
CRESSY RESEARCH STATION,09/05/2021,1.7,0.0, ,14.7,-0.9,100,59,6.45,5.38
CRESSY RESEARCH STATION,10/05/2021,1.6,6.6, ,14.7,9.1,100,65,8.41,3.43
CRESSY RESEARCH STATION,11/05/2021, ,3.6, , ,2.2,85,48,5.62,9.01
CRESSY RESEARCH STATION,12/05/2021,0.9, , ,14.4,3.9,98,54,1.36,6.75
CRESSY RESEARCH STATION,13/05/2021,1.5,1.4, ,13.4,7.8,100,55,5.14,3.52
CRESSY RESEARCH STATION,14/05/2021,1.7,0.6, ,13.0,3.0,96,44,4.21,8.55
CRESSY RESEARCH STATION,15/05/2021,1.7,0.0, ,12.6,1.6,90,40,4.00,8.88
CRESSY RESEARCH STATION,16/05/2021,2.2,0.0, ,14.6,1.6,97,36,5.03,7.79
CRESSY RESEARCH STATION,17/05/2021,1.6,0.2, ,14.1,3.8,92,38,3.27,8.64
CRESSY RESEARCH STATION,18/05/2021,1.2,0.0, ,16.3,-2.9,99,57,2.70,8.72
CRESSY RESEARCH STATION,19/05/2021,1.5,0.0, ,15.3,1.9,97,64,6.33,5.62
CRESSY RESEARCH STATION,20/05/2021,2.6,0.4, ,15.6,10.5,92,30,6.28,7.89
CRESSY RESEARCH STATION,21/05/2021,1.3,0.0, ,14.1,-0.5,96,53,3.11,8.44
CRESSY RESEARCH STATION,22/05/2021,0.9,0.0, ,13.8,-0.4,100,75,4.01,4.06
CRESSY RESEARCH STATION,23/05/2021,0.6,0.0, ,14.3,2.0,100,68,0.81,6.04
CRESSY RESEARCH STATION,24/05/2021,0.6,0.4, ,15.5,1.2,100,81,1.44,4.19
CRESSY RESEARCH STATION,25/05/2021,1.2,0.0, ,15.1,2.8,99,69,5.08,2.67
CRESSY RESEARCH STATION,26/05/2021,1.8,17.8, ,14.0,7.8,100,44,5.23,5.44
CRESSY RESEARCH STATION,27/05/2021,1.8,0.2, ,13.5,3.8,95,39,4.58,7.73
CRESSY RESEARCH STATION,28/05/2021,1.4,0.0, ,10.6,4.7,78,45,3.64,7.37
CRESSY RESEARCH STATION,29/05/2021,0.8,0.0, ,10.3,-2.5,96,55,2.11,7.94
CRESSY RESEARCH STATION,30/05/2021,0.4,0.0, ,12.3,-3.1,100,58,0.61,7.59
CRESSY RESEARCH STATION,31/05/2021,0.6,0.0, ,10.7,-3.2,100,70,2.50,7.56
Totals:,,40.9,37.4, ,,,,,, 
