'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/06/2021,1.0,0.4, ,13.2,-2.6,95,74,5.00,4.07
CRESSY RESEARCH STATION,02/06/2021,0.8,0.0, ,13.9,4.3,100,70,2.75,6.84
CRESSY RESEARCH STATION,03/06/2021,1.0,0.0, ,15.0,4.1,100,72,4.76,6.71
CRESSY RESEARCH STATION,04/06/2021,1.5,0.0, ,11.0,6.7,96,37,4.33,6.74
CRESSY RESEARCH STATION,05/06/2021,1.5,0.0, ,11.4,-1.0,100,53,5.58,2.38
CRESSY RESEARCH STATION,06/06/2021,0.7,3.8, ,12.9,-0.8,100,69,2.35,5.08
CRESSY RESEARCH STATION,07/06/2021,1.5,4.4, ,15.2,1.0,100,68,9.54,4.12
CRESSY RESEARCH STATION,08/06/2021,0.9,5.4, ,11.1,9.7,98,68,4.17,3.81
CRESSY RESEARCH STATION,09/06/2021,1.4,3.2, ,13.3,7.3,97,63,8.04,6.40
CRESSY RESEARCH STATION,10/06/2021,2.0,0.0, ,15.0,9.7,88,65,10.97,3.94
CRESSY RESEARCH STATION,11/06/2021,1.6,0.6, ,16.3,10.9,94,66,7.18,5.22
CRESSY RESEARCH STATION,12/06/2021,1.2,0.2, ,17.3,12.0,98,65,4.08,5.89
CRESSY RESEARCH STATION,13/06/2021,1.1,0.0, ,16.4,9.0,98,60,3.16,6.09
CRESSY RESEARCH STATION,14/06/2021,0.4,0.0, ,14.3,6.1,98,67,0.48,4.91
CRESSY RESEARCH STATION,15/06/2021,0.4,0.0, ,13.7,8.9,100,74,0.79,4.64
CRESSY RESEARCH STATION,16/06/2021,0.6,0.0, ,12.7,6.2,100,76,2.78,4.12
CRESSY RESEARCH STATION,17/06/2021,0.8,3.6, ,13.4,5.8,100,69,3.25,6.33
CRESSY RESEARCH STATION,18/06/2021,1.2,3.6, ,13.5,7.4,93,68,5.72,6.81
CRESSY RESEARCH STATION,19/06/2021,0.8,0.0, ,12.9,4.7,97,64,2.89,7.41
CRESSY RESEARCH STATION,20/06/2021,0.2,0.4, ,6.2,-0.6,100,97,0.39,5.03
CRESSY RESEARCH STATION,21/06/2021,0.3,0.2, ,8.9,0.2,100,89,0.54,4.26
CRESSY RESEARCH STATION,22/06/2021,0.3,0.6, ,10.5,4.2,100,86,1.01,4.99
CRESSY RESEARCH STATION,23/06/2021,0.4,0.0, ,11.3,3.6,100,93,1.12,3.23
CRESSY RESEARCH STATION,24/06/2021,0.7,3.6, ,13.9,4.9,100,73,3.10,5.83
CRESSY RESEARCH STATION,25/06/2021,0.5,3.6, ,13.2,3.2,100,73,1.61,7.30
CRESSY RESEARCH STATION,26/06/2021,0.9,0.0, ,11.6,1.7,100,62,3.36,6.20
CRESSY RESEARCH STATION,27/06/2021,0.8,0.0, ,13.0,2.3,100,54,2.46,7.50
CRESSY RESEARCH STATION,28/06/2021,0.3,0.0, ,11.5,-1.9,100,70,0.72,7.51
CRESSY RESEARCH STATION,29/06/2021,0.5,0.0, ,11.2,0.3,100,69,1.53,4.51
CRESSY RESEARCH STATION,30/06/2021,0.7,0.0, ,13.8,1.7,100,67,2.38,7.21
Totals:,,26,33.6, ,,,,,, 
