'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/07/2021,1.1,0.8, ,14.8,2.8,100,66,4.39,5.95
CRESSY RESEARCH STATION,02/07/2021,0.7,0.4, ,13.3,6.7,100,79,3.93,4.93
CRESSY RESEARCH STATION,03/07/2021,0.7,18.0, ,11.1,7.3,100,69,2.96,6.63
CRESSY RESEARCH STATION,04/07/2021,0.5,1.6, ,9.8,1.8,100,74,2.80,6.86
CRESSY RESEARCH STATION,05/07/2021,0.8,0.0, ,12.5,1.2,100,54,2.25,7.77
CRESSY RESEARCH STATION,06/07/2021,0.7,0.0, ,13.4,0.8,100,58,1.74,6.92
CRESSY RESEARCH STATION,07/07/2021,0.4,0.0, ,9.8,-2.9,100,55,1.04,7.75
CRESSY RESEARCH STATION,08/07/2021,0.6,0.0, ,9.0,-1.6,100,55,1.62,7.57
CRESSY RESEARCH STATION,09/07/2021,0.6,0.0, ,10.7,-3.0,100,57,1.81,7.94
CRESSY RESEARCH STATION,10/07/2021,0.3,0.2, ,12.3,-2.8,100,59,0.51,8.00
CRESSY RESEARCH STATION,11/07/2021,0.3,0.0, ,11.0,-3.0,100,77,0.76,7.38
CRESSY RESEARCH STATION,12/07/2021,0.5,1.8, ,11.8,-2.1,100,76,1.60,5.79
CRESSY RESEARCH STATION,13/07/2021,0.8,1.6, ,12.5,3.8,100,76,4.80,7.70
CRESSY RESEARCH STATION,14/07/2021,0.5,1.0, ,11.7,7.8,100,89,2.16,2.94
CRESSY RESEARCH STATION,15/07/2021,0.4,10.0, ,12.5,7.9,100,94,2.27,3.14
CRESSY RESEARCH STATION,16/07/2021,0.6,16.6, ,11.6,7.4,100,82,3.37,4.07
CRESSY RESEARCH STATION,17/07/2021,0.4,7.8, ,10.6,4.0,100,81,1.09,6.05
CRESSY RESEARCH STATION,18/07/2021,1.3,0.2, ,14.2,2.7,100,48,3.39,8.16
CRESSY RESEARCH STATION,19/07/2021,0.7,0.0, ,12.2,1.3,100,77,3.86,6.77
CRESSY RESEARCH STATION,20/07/2021,1.3,0.2, ,10.5,4.2,99,53,5.26,5.22
CRESSY RESEARCH STATION,21/07/2021,1.2,0.0, ,13.2,0.6,90,56,3.46,8.72
CRESSY RESEARCH STATION,22/07/2021,0.7,0.0, ,11.4,-0.5,100,77,3.20,6.80
CRESSY RESEARCH STATION,23/07/2021,0.7,0.8, ,10.4,2.4,99,80,4.13,5.39
CRESSY RESEARCH STATION,24/07/2021,0.9,0.8, ,11.2,5.2,100,77,6.25,5.78
CRESSY RESEARCH STATION,25/07/2021,1.1,6.8, ,7.7,3.3,98,62,6.38,7.61
CRESSY RESEARCH STATION,26/07/2021,0.9,0.0, ,11.9,0.8,99,78,5.40,7.07
CRESSY RESEARCH STATION,27/07/2021,1.3,0.2, ,13.7,6.1,97,70,6.78,7.65
CRESSY RESEARCH STATION,28/07/2021,1.4,12.2, ,11.9,8.4,95,69,8.92,4.34
CRESSY RESEARCH STATION,29/07/2021,1.6,3.4, ,12.9,4.4,95,54,5.54,7.66
CRESSY RESEARCH STATION,30/07/2021,1.3,0.2, ,12.4,4.2,98,66,5.81,7.25
CRESSY RESEARCH STATION,31/07/2021,0.9,3.4, ,13.1,7.4,98,80,6.30,5.86
Totals:,,25.2,88, ,,,,,, 
