'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/08/2021,1.5,8.4, ,12.0,4.8,95,52,4.80,9.66
CRESSY RESEARCH STATION,02/08/2021,0.5,0.6, ,9.5,-1.0,100,90,1.88,5.77
CRESSY RESEARCH STATION,03/08/2021,0.7,2.8, ,11.9,1.9,100,72,1.55,7.18
CRESSY RESEARCH STATION,04/08/2021,1.7,0.0, ,14.2,2.1,100,44,3.67,6.60
CRESSY RESEARCH STATION,05/08/2021,1.7,0.0, ,13.3,5.4,80,54,4.23,7.33
CRESSY RESEARCH STATION,06/08/2021,2.5,0.0, ,17.0,6.1,87,43,5.65,10.30
CRESSY RESEARCH STATION,07/08/2021,1.7,0.0, ,13.6,4.8,97,48,4.48,8.27
CRESSY RESEARCH STATION,08/08/2021,0.9,0.4, ,10.3,-2.8,98,68,2.75,8.25
CRESSY RESEARCH STATION,09/08/2021,1.0,0.0, ,11.7,-0.4,100,73,4.31,6.87
CRESSY RESEARCH STATION,10/08/2021,1.6,0.0, ,14.5,6.2,96,66,6.22,9.09
CRESSY RESEARCH STATION,11/08/2021,1.1,7.4, ,11.4,8.5,98,75,7.93,3.99
CRESSY RESEARCH STATION,12/08/2021,2.3,12.0, ,14.7,6.3,88,50,6.82,10.98
CRESSY RESEARCH STATION,13/08/2021,2.0,0.0, ,14.3,6.1,93,60,7.47,10.66
CRESSY RESEARCH STATION,14/08/2021,1.5,0.0, ,14.3,1.8,92,69,5.68,9.20
CRESSY RESEARCH STATION,15/08/2021,2.3,0.2, ,13.5,5.9,90,56,10.73,7.30
CRESSY RESEARCH STATION,16/08/2021,2.2,1.4, ,11.0,3.4,85,44,6.83,11.77
CRESSY RESEARCH STATION,17/08/2021,1.5,0.0, ,13.6,2.1,95,44,2.02,11.90
CRESSY RESEARCH STATION,18/08/2021,1.3,0.0, ,13.8,-2.5,100,63,2.59,10.83
CRESSY RESEARCH STATION,19/08/2021,1.2,0.0, ,14.1,0.3,100,62,1.82,9.70
CRESSY RESEARCH STATION,20/08/2021,0.9,0.0, ,12.0,5.2,100,82,5.42,5.54
CRESSY RESEARCH STATION,21/08/2021,2.4,8.6, ,14.5,6.6,98,49,7.65,12.05
CRESSY RESEARCH STATION,22/08/2021,1.7,1.0, ,14.3,9.3,99,68,8.31,8.83
CRESSY RESEARCH STATION,23/08/2021,2.2,5.0, ,14.6,8.9,100,43,4.83,10.75
CRESSY RESEARCH STATION,24/08/2021,1.6,0.0, ,12.9,-1.0,94,47,2.39,12.31
CRESSY RESEARCH STATION,25/08/2021,2.2,0.0, ,11.3,4.3,86,49,6.37,11.97
CRESSY RESEARCH STATION,26/08/2021,1.5,0.0, ,10.1,3.7,89,61,4.81,7.15
CRESSY RESEARCH STATION,27/08/2021,1.4,0.0, ,9.6,5.9,90,62,4.19,6.23
CRESSY RESEARCH STATION,28/08/2021,1.2,0.0, ,13.0,0.3,100,55,1.25,9.53
CRESSY RESEARCH STATION,29/08/2021,0.7,0.0, ,9.9,5.1,100,79,0.87,3.74
CRESSY RESEARCH STATION,30/08/2021,1.4,5.0, ,13.8,5.2,100,71,5.00,9.36
CRESSY RESEARCH STATION,31/08/2021,1.5,0.2, ,13.2,8.2,96,74,8.63,6.77
Totals:,,47.9,53, ,,,,,, 
