'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/09/2021,2.4,3.6, ,15.4,5.2,93,53,5.58,13.93
CRESSY RESEARCH STATION,02/09/2021,3.4,0.0, ,21.9,6.8,98,39,4.94,14.52
CRESSY RESEARCH STATION,03/09/2021,1.2,0.0, ,14.6,10.3,100,69,3.18,3.57
CRESSY RESEARCH STATION,04/09/2021,2.1,9.8, ,14.1,5.6,100,51,4.21,14.90
CRESSY RESEARCH STATION,05/09/2021,2.0,0.0, ,14.4,2.3,100,46,2.84,14.33
CRESSY RESEARCH STATION,06/09/2021,3.3,0.0, ,14.8,6.3,79,38,6.67,15.01
CRESSY RESEARCH STATION,07/09/2021,3.1,0.0, ,14.7,8.6,80,37,5.51,15.39
CRESSY RESEARCH STATION,08/09/2021,3.1,0.0, ,16.5,3.7,84,52,8.69,15.52
CRESSY RESEARCH STATION,09/09/2021,3.0,0.0, ,17.3,9.9,86,56,9.45,10.90
CRESSY RESEARCH STATION,10/09/2021,2.4,0.2, ,12.4,4.6,81,47,5.25,12.03
CRESSY RESEARCH STATION,11/09/2021,2.6,0.2, ,16.6,6.4,89,55,6.97,8.93
CRESSY RESEARCH STATION,12/09/2021,3.0,0.0, ,13.6,4.6,89,33,5.46,15.91
CRESSY RESEARCH STATION,13/09/2021,2.3,0.0, ,12.4,0.7,91,45,4.34,15.52
CRESSY RESEARCH STATION,14/09/2021,2.2,0.0, ,14.3,-1.3,100,45,2.83,16.56
CRESSY RESEARCH STATION,15/09/2021,1.4,0.0, ,13.7,5.9,100,59,1.55,8.84
CRESSY RESEARCH STATION,16/09/2021,2.4,0.0, ,15.2,5.2,99,40,2.55,15.46
CRESSY RESEARCH STATION,17/09/2021,1.5,0.0, ,13.2,-1.2,100,61,2.00,10.15
CRESSY RESEARCH STATION,18/09/2021,2.4,4.8, ,13.4,6.4,100,52,7.48,12.66
CRESSY RESEARCH STATION,19/09/2021,2.5,0.0, ,15.3,5.1,97,56,9.27,9.71
CRESSY RESEARCH STATION,20/09/2021,3.0,5.8, ,13.0,5.8,89,39,6.59,15.13
CRESSY RESEARCH STATION,21/09/2021,2.5,0.0, ,14.4,2.1,88,43,3.30,15.70
CRESSY RESEARCH STATION,22/09/2021,3.0,0.0, ,20.7,2.6,100,55,4.03,18.54
CRESSY RESEARCH STATION,23/09/2021,3.7,0.0, ,17.6,8.5,84,47,9.07,13.65
CRESSY RESEARCH STATION,24/09/2021,3.1,0.0, ,13.0,7.5,94,42,8.68,17.25
CRESSY RESEARCH STATION,25/09/2021,2.5,0.2, ,11.3,-1.1,88,40,3.51,18.00
CRESSY RESEARCH STATION,26/09/2021,2.5,0.0, ,13.9,-3.1,96,42,2.80,19.33
CRESSY RESEARCH STATION,27/09/2021,2.6,0.0, ,14.8,1.3,97,51,4.81,16.07
CRESSY RESEARCH STATION,28/09/2021,2.7,0.0, ,17.0,2.5,100,44,2.99,15.84
CRESSY RESEARCH STATION,29/09/2021,2.8,0.0, ,16.2,4.1,96,60,5.37,19.84
CRESSY RESEARCH STATION,30/09/2021,2.3,0.0, ,14.4,7.9,78,69,7.62,7.71
Totals:,,77,24.6, ,,,,,, 
