'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/10/2021,2.7,0.4, ,19.6,11.0,90,68,6.36,13.17
CRESSY RESEARCH STATION,02/10/2021,2.7,3.0, ,19.1,12.3,100,62,5.14,14.82
CRESSY RESEARCH STATION,03/10/2021,2.4,0.0, ,19.4,4.7,100,58,1.77,15.31
CRESSY RESEARCH STATION,04/10/2021,2.4,1.2, ,15.7,9.2,100,58,6.23,12.53
CRESSY RESEARCH STATION,05/10/2021,2.7,2.4, ,18.2,8.6,100,48,2.96,14.40
CRESSY RESEARCH STATION,06/10/2021,3.3,0.2, ,17.4,5.6,96,52,5.55,20.02
CRESSY RESEARCH STATION,07/10/2021,3.3,20.8, ,14.4,7.2,100,37,5.35,20.17
CRESSY RESEARCH STATION,08/10/2021,2.2,0.0, ,15.5,5.0,95,68,6.94,13.12
CRESSY RESEARCH STATION,09/10/2021,3.3,0.0, ,17.6,9.2,94,57,8.19,17.43
CRESSY RESEARCH STATION,10/10/2021,3.5,7.2, ,14.8,3.5,87,34,3.99,21.70
CRESSY RESEARCH STATION,11/10/2021,2.8,0.0, ,14.7,-0.8,100,40,2.49,20.98
CRESSY RESEARCH STATION,12/10/2021,2.2,0.0, ,14.8,5.9,98,53,1.95,14.28
CRESSY RESEARCH STATION,13/10/2021,2.2,0.0, ,15.8,5.2,98,56,2.63,12.19
CRESSY RESEARCH STATION,14/10/2021,1.3,1.0, ,14.4,9.9,100,81,5.25,6.72
CRESSY RESEARCH STATION,15/10/2021,2.7,17.8, ,16.8,11.0,100,63,5.36,16.73
CRESSY RESEARCH STATION,16/10/2021,3.4,0.0, ,16.9,8.6,100,45,5.92,18.58
CRESSY RESEARCH STATION,17/10/2021,3.6,0.0, ,18.0,3.6,94,48,4.54,23.18
CRESSY RESEARCH STATION,18/10/2021,3.2,0.0, ,16.4,6.8,95,55,6.08,19.68
CRESSY RESEARCH STATION,19/10/2021,3.2,10.4, ,13.6,6.2,87,54,6.44,22.56
CRESSY RESEARCH STATION,20/10/2021,3.0,0.0, ,16.0,0.2,96,52,2.43,22.06
CRESSY RESEARCH STATION,21/10/2021,2.9,0.0, ,20.7,2.4,100,58,2.98,16.82
CRESSY RESEARCH STATION,22/10/2021,1.7,0.4, ,18.2,13.1,100,77,3.02,8.62
CRESSY RESEARCH STATION,23/10/2021,1.1,5.2, ,13.8,12.2,100,88,3.73,5.47
CRESSY RESEARCH STATION,24/10/2021,3.0,41.0, ,14.9,8.5,100,54,5.57,19.15
CRESSY RESEARCH STATION,25/10/2021,2.2,0.0, ,12.2,6.9,87,62,5.66,10.89
CRESSY RESEARCH STATION,26/10/2021,3.5,0.0, ,16.5,6.4,92,52,2.51,25.36
CRESSY RESEARCH STATION,27/10/2021,3.5,0.0, ,18.1,2.9,100,56,4.35,24.65
CRESSY RESEARCH STATION,28/10/2021,3.9,0.0, ,22.2,8.6,100,52,5.83,18.52
CRESSY RESEARCH STATION,29/10/2021,2.3,18.0, ,11.0,8.7,100,43,8.07,5.73
CRESSY RESEARCH STATION,30/10/2021,3.8,10.4, ,15.7,3.6,79,39,3.72,23.80
CRESSY RESEARCH STATION,31/10/2021,4.2,0.2, ,18.6,3.7,94,47,6.27,25.03
Totals:,,88.2,139.6, ,,,,,, 
