'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/11/2021,3.7,0.0, ,18.7,4.3,98,53,3.41,24.72
CRESSY RESEARCH STATION,02/11/2021,3.8,0.0, ,20.8,5.9,100,52,3.07,23.86
CRESSY RESEARCH STATION,03/11/2021,1.5,0.0, ,18.5,9.9,100,78,2.67,6.42
CRESSY RESEARCH STATION,04/11/2021,4.5,6.6, ,20.8,11.3,100,51,5.14,27.31
CRESSY RESEARCH STATION,05/11/2021,3.5,0.0, ,21.2,4.7,99,52,2.78,20.27
CRESSY RESEARCH STATION,06/11/2021,1.8,0.0, ,19.6,11.1,100,75,3.66,7.20
CRESSY RESEARCH STATION,07/11/2021,3.7,4.4, ,19.0,9.2,100,56,4.76,22.54
CRESSY RESEARCH STATION,08/11/2021,4.2,0.0, ,19.3,8.7,94,47,2.56,27.03
CRESSY RESEARCH STATION,09/11/2021,3.9,0.0, ,18.9,8.1,100,51,3.91,24.29
CRESSY RESEARCH STATION,10/11/2021,2.3,1.2, ,15.0,7.5,100,64,3.71,13.03
CRESSY RESEARCH STATION,11/11/2021,4.1,2.6, ,18.9,5.2,94,45,4.08,24.14
CRESSY RESEARCH STATION,12/11/2021,2.6,0.0, ,14.5,6.0,98,55,5.76,13.57
CRESSY RESEARCH STATION,13/11/2021,2.5,0.0, ,14.9,7.3,97,59,3.50,14.58
CRESSY RESEARCH STATION,14/11/2021,3.3,1.2, ,14.3,3.1,100,42,6.37,17.91
CRESSY RESEARCH STATION,15/11/2021,3.6,0.6, ,12.0,1.4,92,42,6.10,28.70
CRESSY RESEARCH STATION,16/11/2021,3.6,0.0, ,18.0,2.5,86,43,2.85,21.77
CRESSY RESEARCH STATION,17/11/2021,4.1,0.0, ,19.5,0.9,100,48,3.12,28.09
CRESSY RESEARCH STATION,18/11/2021,1.7,0.0, ,14.6,8.4,99,73,4.12,8.76
CRESSY RESEARCH STATION,19/11/2021,4.6,8.0, ,20.0,7.5,91,43,3.48,28.22
CRESSY RESEARCH STATION,20/11/2021,4.1,0.2, ,19.8,5.5,100,45,3.36,24.95
CRESSY RESEARCH STATION,21/11/2021,3.8,0.0, ,19.2,8.1,92,52,3.90,21.38
CRESSY RESEARCH STATION,22/11/2021,4.6,0.0, ,21.2,9.6,99,49,3.86,27.58
CRESSY RESEARCH STATION,23/11/2021,4.3,0.2, ,22.4,8.2,96,52,4.05,23.69
CRESSY RESEARCH STATION,24/11/2021,3.8,0.0, ,24.2,11.6,99,56,3.14,18.90
CRESSY RESEARCH STATION,25/11/2021,5.0,0.0, ,24.4,13.8,98,37,4.71,20.23
CRESSY RESEARCH STATION,26/11/2021,4.5,0.2, ,17.5,7.4,93,43,6.27,26.88
CRESSY RESEARCH STATION,27/11/2021,4.7,0.0, ,20.1,1.1,98,35,3.02,30.43
CRESSY RESEARCH STATION,28/11/2021,4.7,0.0, ,21.3,3.1,99,45,3.02,30.52
CRESSY RESEARCH STATION,29/11/2021,5.4,0.0, ,23.3,2.7,100,30,3.19,30.74
CRESSY RESEARCH STATION,30/11/2021,5.1,0.0, ,23.0,3.7,100,49,4.48,30.72
Totals:,,113,25.2, ,,,,,, 
