'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/12/2021,5.7,0.0, ,27.2,9.4,95,38,3.78,25.83
CRESSY RESEARCH STATION,02/12/2021,6.1,0.0, ,28.9,9.6,97,40,4.52,25.96
CRESSY RESEARCH STATION,03/12/2021,5.4,1.8, ,22.6,7.8,99,39,4.11,30.45
CRESSY RESEARCH STATION,04/12/2021,5.3,0.0, ,17.8,7.8,82,30,6.05,28.19
CRESSY RESEARCH STATION,05/12/2021,3.9,0.0, ,19.4,0.5,94,44,3.55,22.63
CRESSY RESEARCH STATION,06/12/2021,2.0,0.0, ,18.4,3.5,98,61,3.46,6.39
CRESSY RESEARCH STATION,07/12/2021,2.7,0.4, ,18.7,13.1,100,45,4.31,7.58
CRESSY RESEARCH STATION,08/12/2021,4.6,0.0, ,19.7,5.0,96,30,3.85,24.45
CRESSY RESEARCH STATION,09/12/2021,5.3,0.2, ,22.1,4.4,96,33,3.67,29.96
CRESSY RESEARCH STATION,10/12/2021,4.8,0.0, ,22.1,10.7,88,42,4.51,22.16
CRESSY RESEARCH STATION,11/12/2021,4.3,0.0, ,19.3,7.4,91,47,5.94,22.46
CRESSY RESEARCH STATION,12/12/2021,5.5,0.0, ,21.6,7.5,79,34,3.84,29.77
CRESSY RESEARCH STATION,13/12/2021,5.5,0.0, ,23.4,11.4,80,44,5.32,25.88
CRESSY RESEARCH STATION,14/12/2021,5.9,0.0, ,27.1,10.0,90,31,2.76,28.73
CRESSY RESEARCH STATION,15/12/2021,6.3,0.0, ,26.9,13.6,92,32,4.35,27.15
CRESSY RESEARCH STATION,16/12/2021,5.7,0.0, ,24.5,5.6,100,28,2.99,30.36
CRESSY RESEARCH STATION,17/12/2021,5.6,0.2, ,24.6,4.8,98,37,4.17,28.35
CRESSY RESEARCH STATION,18/12/2021,8.1,0.0, ,30.1,12.8,85,18,5.39,27.87
CRESSY RESEARCH STATION,19/12/2021,4.3,0.0, ,20.2,10.6,91,42,7.25,15.71
CRESSY RESEARCH STATION,20/12/2021,6.2,3.0, ,22.6,8.0,79,36,10.02,22.21
CRESSY RESEARCH STATION,21/12/2021,6.9,0.0, ,23.6,9.7,82,32,7.79,30.89
CRESSY RESEARCH STATION,22/12/2021,6.0,0.0, ,22.9,8.2,80,23,4.49,26.75
CRESSY RESEARCH STATION,23/12/2021,5.2,0.0, ,23.9,8.3,84,31,4.19,21.06
CRESSY RESEARCH STATION,24/12/2021,5.4,0.0, ,25.4,7.2,92,39,4.80,22.99
CRESSY RESEARCH STATION,25/12/2021,7.3,0.0, ,27.0,12.2,91,26,5.90,30.62
CRESSY RESEARCH STATION,26/12/2021,5.8,0.0, ,22.3,5.0,87,23,4.13,29.18
CRESSY RESEARCH STATION,27/12/2021,6.1,0.0, ,23.2,5.3,81,23,3.94,30.34
CRESSY RESEARCH STATION,28/12/2021,6.0,0.0, ,25.8,3.6,95,32,3.58,30.31
CRESSY RESEARCH STATION,29/12/2021,6.1,0.0, ,26.3,8.1,96,31,4.27,27.97
CRESSY RESEARCH STATION,30/12/2021,6.9,0.0, ,28.5,6.4,99,32,5.88,27.37
CRESSY RESEARCH STATION,31/12/2021,9.4,0.0, ,33.4,10.4,95,21,6.78,29.77
Totals:,,174.3,5.6, ,,,,,, 
