'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/01/2022,8.2,0.0, ,35.1,9.4,92,23,4.72,23.98
CRESSY RESEARCH STATION,02/01/2022,7.1,0.0, ,29.9,16.1,77,33,6.59,19.79
CRESSY RESEARCH STATION,03/01/2022,6.2,0.0, ,27.2,13.1,85,31,4.76,22.89
CRESSY RESEARCH STATION,04/01/2022,4.5,0.4, ,24.5,12.8,98,39,4.67,15.80
CRESSY RESEARCH STATION,05/01/2022,3.9,0.0, ,19.5,12.1,80,45,6.62,11.36
CRESSY RESEARCH STATION,06/01/2022,1.8,2.4, ,18.4,12.1,95,69,6.34,2.79
CRESSY RESEARCH STATION,07/01/2022,2.6,28.0, ,24.6,13.5,100,73,3.77,11.17
CRESSY RESEARCH STATION,08/01/2022,4.1,34.6, ,24.5,14.6,100,53,4.73,17.36
CRESSY RESEARCH STATION,09/01/2022,2.8,0.0, ,20.3,12.6,100,69,4.37,14.13
CRESSY RESEARCH STATION,10/01/2022,4.6,0.4, ,25.2,13.7,100,49,5.59,18.99
CRESSY RESEARCH STATION,11/01/2022,6.6,0.2, ,26.3,13.6,82,32,4.90,28.75
CRESSY RESEARCH STATION,12/01/2022,5.7,0.0, ,23.2,12.9,82,44,5.90,27.14
CRESSY RESEARCH STATION,13/01/2022,4.5,0.0, ,24.3,10.0,86,40,2.73,21.20
CRESSY RESEARCH STATION,14/01/2022,3.3,0.0, ,23.9,12.6,87,52,2.56,12.83
CRESSY RESEARCH STATION,15/01/2022,5.5,0.0, ,28.3,14.5,97,51,4.10,25.88
CRESSY RESEARCH STATION,16/01/2022,6.1,0.0, ,28.0,12.7,95,40,4.58,27.41
CRESSY RESEARCH STATION,17/01/2022,7.0,0.0, ,28.6,13.7,96,32,5.58,29.09
CRESSY RESEARCH STATION,18/01/2022,5.4,0.0, ,24.9,13.8,80,35,4.30,21.21
CRESSY RESEARCH STATION,19/01/2022,6.5,0.0, ,24.1,10.1,82,31,6.04,29.12
CRESSY RESEARCH STATION,20/01/2022,6.5,0.0, ,27.9,5.9,98,20,3.47,28.86
CRESSY RESEARCH STATION,21/01/2022,6.2,0.0, ,28.3,6.9,99,24,2.99,29.22
CRESSY RESEARCH STATION,22/01/2022,6.5,0.0, ,28.7,8.8,100,27,3.76,29.00
CRESSY RESEARCH STATION,23/01/2022,6.0,0.0, ,28.0,8.3,100,32,4.05,25.48
CRESSY RESEARCH STATION,24/01/2022,6.5,0.0, ,29.2,15.4,87,31,3.97,26.96
CRESSY RESEARCH STATION,25/01/2022,5.5,0.0, ,29.6,14.4,93,37,2.91,23.64
CRESSY RESEARCH STATION,26/01/2022,2.8,0.0, ,22.2,15.3,91,59,3.93,8.65
CRESSY RESEARCH STATION,27/01/2022,2.4,0.0, ,23.4,11.0,97,64,2.91,8.70
CRESSY RESEARCH STATION,28/01/2022,2.3,8.0, ,25.3,17.4,95,71,3.98,6.60
CRESSY RESEARCH STATION,29/01/2022,5.8,1.4, ,26.1,16.5,95,47,6.42,26.61
CRESSY RESEARCH STATION,30/01/2022,6.9,0.0, ,28.5,14.0,86,28,4.82,27.87
CRESSY RESEARCH STATION,31/01/2022,5.9,0.0, ,29.0,9.8,98,43,4.08,27.66
Totals:,,159.7,75.4, ,,,,,, 
