'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/02/2022,6.6,0.6, ,27.8,18.0,99,32,6.79,24.39
CRESSY RESEARCH STATION,02/02/2022,4.9,0.2, ,21.4,7.6,69,27,3.68,21.14
CRESSY RESEARCH STATION,03/02/2022,5.1,0.0, ,22.5,7.3,83,27,5.22,17.63
CRESSY RESEARCH STATION,04/02/2022,5.8,0.0, ,24.8,6.9,89,26,4.10,27.56
CRESSY RESEARCH STATION,05/02/2022,4.8,0.0, ,25.4,6.8,98,32,2.56,23.69
CRESSY RESEARCH STATION,06/02/2022,6.2,0.0, ,26.2,12.5,80,24,3.91,27.04
CRESSY RESEARCH STATION,07/02/2022,5.3,0.0, ,26.0,10.2,87,33,2.69,26.59
CRESSY RESEARCH STATION,08/02/2022,5.1,0.0, ,26.9,9.4,91,38,4.14,20.00
CRESSY RESEARCH STATION,09/02/2022,4.2,0.0, ,24.8,7.5,98,46,4.41,17.18
CRESSY RESEARCH STATION,10/02/2022,5.2,0.0, ,27.4,13.6,97,28,2.80,23.09
CRESSY RESEARCH STATION,11/02/2022,6.0,0.0, ,25.1,8.6,81,24,4.34,25.82
CRESSY RESEARCH STATION,12/02/2022,6.0,0.0, ,24.3,11.5,76,28,4.89,25.62
CRESSY RESEARCH STATION,13/02/2022,3.5,0.0, ,23.8,10.3,87,53,4.96,10.60
CRESSY RESEARCH STATION,14/02/2022,4.3,0.0, ,28.8,8.8,98,38,2.82,15.69
CRESSY RESEARCH STATION,15/02/2022,5.5,0.0, ,28.7,11.0,97,31,3.11,24.34
CRESSY RESEARCH STATION,16/02/2022,2.4,0.0, ,21.4,16.5,98,61,4.81,6.94
CRESSY RESEARCH STATION,17/02/2022,6.5,0.6, ,25.2,12.9,90,29,8.03,23.61
CRESSY RESEARCH STATION,18/02/2022,5.7,0.2, ,21.8,13.1,75,28,6.40,21.39
CRESSY RESEARCH STATION,19/02/2022,4.9,0.0, ,24.1,2.2,93,35,4.50,22.56
CRESSY RESEARCH STATION,20/02/2022,4.1,0.0, ,22.1,10.0,93,48,7.17,15.67
CRESSY RESEARCH STATION,21/02/2022,5.4,0.0, ,21.9,8.1,78,29,5.70,22.46
CRESSY RESEARCH STATION,22/02/2022,4.5,0.0, ,23.1,5.7,80,33,3.31,20.98
CRESSY RESEARCH STATION,23/02/2022,3.4,0.0, ,26.8,9.8,94,56,3.47,12.85
CRESSY RESEARCH STATION,24/02/2022,5.9,0.8, ,30.5,15.0,99,29,4.79,19.19
CRESSY RESEARCH STATION,25/02/2022,5.2,0.4, ,23.0,13.6,87,44,7.34,22.76
CRESSY RESEARCH STATION,26/02/2022,4.6,0.0, ,23.0,11.1,78,40,5.19,17.38
CRESSY RESEARCH STATION,27/02/2022,3.2,0.8, ,24.9,13.8,94,55,4.21,10.36
CRESSY RESEARCH STATION,28/02/2022,3.5,11.4, ,24.6,15.2,94,58,6.42,10.89
Totals:,,137.8,15, ,,,,,, 
