'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/03/2022,3.8,11.6, ,26.1,17.2,96,50,5.81,10.24
CRESSY RESEARCH STATION,02/03/2022,3.8,0.0, ,26.4,14.2,90,44,3.63,12.24
CRESSY RESEARCH STATION,03/03/2022,3.8,0.0, ,26.7,12.5,99,40,2.30,17.80
CRESSY RESEARCH STATION,04/03/2022,3.0,0.0, ,25.7,10.5,100,49,2.27,12.73
CRESSY RESEARCH STATION,05/03/2022,3.6,0.4, ,26.9,15.0,100,52,2.47,16.80
CRESSY RESEARCH STATION,06/03/2022,4.7,2.0, ,19.1,11.9,88,36,8.88,19.70
CRESSY RESEARCH STATION,07/03/2022,3.8,0.0, ,21.6,4.8,94,36,2.85,21.40
CRESSY RESEARCH STATION,08/03/2022,4.1,0.0, ,20.5,5.3,98,32,5.05,17.36
CRESSY RESEARCH STATION,09/03/2022,4.3,0.0, ,20.3,4.3,87,34,5.08,20.70
CRESSY RESEARCH STATION,10/03/2022,3.5,0.0, ,21.4,2.7,97,33,3.11,16.18
CRESSY RESEARCH STATION,11/03/2022,3.6,0.0, ,22.5,4.1,97,36,2.62,19.62
CRESSY RESEARCH STATION,12/03/2022,3.8,0.0, ,23.8,9.1,97,33,2.49,19.95
CRESSY RESEARCH STATION,13/03/2022,4.1,0.0, ,26.0,9.4,96,42,3.29,18.95
CRESSY RESEARCH STATION,14/03/2022,3.0,0.0, ,21.3,13.2,91,56,6.25,8.81
CRESSY RESEARCH STATION,15/03/2022,2.8,8.0, ,22.1,15.2,88,48,3.46,8.83
CRESSY RESEARCH STATION,16/03/2022,1.5,0.0, ,20.4,13.0,96,67,1.90,4.81
CRESSY RESEARCH STATION,17/03/2022,2.5,0.0, ,24.6,13.6,100,60,3.25,9.07
CRESSY RESEARCH STATION,18/03/2022,4.1,0.0, ,21.2,13.1,100,35,5.53,18.78
CRESSY RESEARCH STATION,19/03/2022,3.8,0.0, ,23.4,4.8,95,29,2.98,18.64
CRESSY RESEARCH STATION,20/03/2022,3.3,0.0, ,24.4,9.8,87,46,3.48,11.84
CRESSY RESEARCH STATION,21/03/2022,3.0,0.0, ,23.0,12.1,90,54,4.06,11.00
CRESSY RESEARCH STATION,22/03/2022,1.4,0.0, ,18.8,13.5,96,74,4.71,2.75
CRESSY RESEARCH STATION,23/03/2022,3.5,2.2, ,19.0,8.6,85,34,4.29,15.46
CRESSY RESEARCH STATION,24/03/2022,3.2,0.0, ,21.5,2.6,98,42,3.24,16.54
CRESSY RESEARCH STATION,25/03/2022,2.8,0.0, ,24.1,3.9,100,36,1.42,17.31
CRESSY RESEARCH STATION,26/03/2022,3.3,0.0, ,24.1,5.5,100,36,2.45,17.02
CRESSY RESEARCH STATION,27/03/2022,3.5,0.0, ,24.7,9.8,93,46,4.71,11.57
CRESSY RESEARCH STATION,28/03/2022,2.5,0.0, ,24.1,13.3,98,53,3.57,7.82
CRESSY RESEARCH STATION,29/03/2022,3.3,1.6, ,23.4,13.9,95,46,4.01,13.53
CRESSY RESEARCH STATION,30/03/2022,3.8,0.0, ,22.9,9.8,100,36,5.10,13.70
CRESSY RESEARCH STATION,31/03/2022,3.1,0.0, ,16.4,6.0,81,40,5.75,10.71
Totals:,,104.3,25.8, ,,,,,, 
