'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/04/2022,3.0,0.0, ,17.9,9.1,79,51,6.41,8.17
CRESSY RESEARCH STATION,02/04/2022,3.6,0.0, ,18.4,10.9,85,48,8.51,14.92
CRESSY RESEARCH STATION,03/04/2022,3.0,0.0, ,18.5,10.9,80,55,7.39,8.40
CRESSY RESEARCH STATION,04/04/2022,3.1,0.0, ,25.7,10.5,93,43,2.68,14.40
CRESSY RESEARCH STATION,05/04/2022,2.3,0.0, ,16.2,10.5,84,56,5.03,6.85
CRESSY RESEARCH STATION,06/04/2022,3.2,0.0, ,18.8,6.7,83,35,4.11,14.45
CRESSY RESEARCH STATION,07/04/2022,2.6,0.0, ,21.0,1.5,97,32,2.08,14.38
CRESSY RESEARCH STATION,08/04/2022,2.3,0.0, ,23.5,2.8,99,41,1.48,14.11
CRESSY RESEARCH STATION,09/04/2022,2.3,0.0, ,23.2,4.8,100,54,3.08,9.58
CRESSY RESEARCH STATION,10/04/2022,2.7,0.0, ,24.1,13.3,100,60,6.22,8.84
CRESSY RESEARCH STATION,11/04/2022,2.5,0.0, ,18.5,6.6,90,32,2.72,11.18
CRESSY RESEARCH STATION,12/04/2022,2.0,0.2, ,18.8,0.7,94,42,2.10,9.84
CRESSY RESEARCH STATION,13/04/2022,2.1,0.0, ,21.8,3.4,100,39,1.49,13.02
CRESSY RESEARCH STATION,14/04/2022,2.1,0.0, ,19.9,5.7,100,53,3.36,8.52
CRESSY RESEARCH STATION,15/04/2022,1.2,0.0, ,16.2,9.6,100,74,4.48,3.45
CRESSY RESEARCH STATION,16/04/2022,1.7,0.6, ,20.0,9.0,100,63,3.05,7.84
CRESSY RESEARCH STATION,17/04/2022,3.5,0.0, ,23.6,12.9,98,44,6.39,10.80
CRESSY RESEARCH STATION,18/04/2022,1.4,4.4, ,15.7,13.3,99,68,4.14,5.94
CRESSY RESEARCH STATION,19/04/2022,0.8,2.6, ,15.4,11.1,100,86,1.89,4.36
CRESSY RESEARCH STATION,20/04/2022,2.5,3.0, ,19.4,6.5,100,42,4.09,10.82
CRESSY RESEARCH STATION,21/04/2022,2.2,0.0, ,16.0,7.2,77,35,2.81,10.24
CRESSY RESEARCH STATION,22/04/2022,1.7,0.0, ,16.0,1.0,96,44,2.06,11.71
CRESSY RESEARCH STATION,23/04/2022,1.5,0.0, ,18.3,2.1,100,42,1.23,11.76
CRESSY RESEARCH STATION,24/04/2022,1.4,0.0, ,20.1,1.5,100,42,1.00,11.61
CRESSY RESEARCH STATION,25/04/2022,0.9,0.0, ,15.9,5.5,100,67,0.83,5.56
CRESSY RESEARCH STATION,26/04/2022,1.5,0.0, ,19.8,8.8,100,41,1.37,9.97
CRESSY RESEARCH STATION,27/04/2022,1.3,0.0, ,16.6,9.1,100,62,2.48,5.12
CRESSY RESEARCH STATION,28/04/2022,1.1,5.4, ,19.9,12.0,100,80,2.27,5.99
CRESSY RESEARCH STATION,29/04/2022,1.1,0.0, ,18.7,14.5,100,81,5.62,4.26
CRESSY RESEARCH STATION,30/04/2022,2.2,16.2, ,16.5,11.1,100,48,5.98,8.80
Totals:,,62.8,32.4, ,,,,,, 
