'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/05/2022,1.7,0.0, ,18.2,10.0,98,71,6.83,7.71
CRESSY RESEARCH STATION,02/05/2022,2.2,0.0, ,19.2,11.5,96,59,6.42,10.03
CRESSY RESEARCH STATION,03/05/2022,1.6,2.2, ,17.7,13.8,96,71,7.40,4.52
CRESSY RESEARCH STATION,04/05/2022,1.4,2.8, ,14.3,11.8,94,70,5.86,5.64
CRESSY RESEARCH STATION,05/05/2022,1.6,0.0, ,14.3,2.2,98,53,4.22,9.96
CRESSY RESEARCH STATION,06/05/2022, ,2.6, , ,7.0,100,70,2.56,4.39
CRESSY RESEARCH STATION,07/05/2022,1.6, , ,14.5,4.1,100,53,4.43,3.02
CRESSY RESEARCH STATION,08/05/2022,1.7,0.0, ,18.0,6.9,86,42,2.38,9.67
CRESSY RESEARCH STATION,09/05/2022,1.0,0.0, ,15.5,2.0,98,53,1.43,7.23
CRESSY RESEARCH STATION,10/05/2022,1.1,0.0, ,15.2,0.7,100,56,1.81,9.02
CRESSY RESEARCH STATION,11/05/2022,0.7,0.0, ,16.6,2.2,100,70,0.69,7.38
CRESSY RESEARCH STATION,12/05/2022,0.9,0.0, ,16.6,6.6,100,75,2.57,5.00
CRESSY RESEARCH STATION,13/05/2022,1.4,0.2, ,18.8,5.2,100,59,2.76,9.10
CRESSY RESEARCH STATION,14/05/2022,0.5,2.0, ,16.7,9.8,100,94,4.69,3.33
CRESSY RESEARCH STATION,15/05/2022,1.1,1.8, ,15.9,11.1,100,78,8.00,5.85
CRESSY RESEARCH STATION,16/05/2022,2.3,8.4, ,12.7,7.5,89,49,9.02,8.95
CRESSY RESEARCH STATION,17/05/2022,1.9,0.0, ,13.8,5.2,90,56,7.52,8.85
CRESSY RESEARCH STATION,18/05/2022, ,0.0, , ,5.6,95,48,6.63,7.49
CRESSY RESEARCH STATION,19/05/2022, , , ,16.0, ,88,44,3.72,8.42
CRESSY RESEARCH STATION,20/05/2022,0.8,0.0, ,13.9,-1.7,100,49,1.17,8.60
CRESSY RESEARCH STATION,21/05/2022,0.7,0.0, ,14.1,-1.5,100,58,1.03,8.52
CRESSY RESEARCH STATION,22/05/2022,0.9,0.0, ,12.7,1.2,100,52,1.77,7.99
CRESSY RESEARCH STATION,23/05/2022,0.4,0.2, ,13.4,-0.9,100,60,0.32,8.33
CRESSY RESEARCH STATION,24/05/2022,0.5,0.0, ,12.5,-1.7,100,62,0.64,7.40
CRESSY RESEARCH STATION,25/05/2022,0.8,0.2, ,16.4,-1.1,100,65,1.65,7.93
CRESSY RESEARCH STATION,26/05/2022,0.5,0.0, ,14.6,1.5,100,86,1.12,5.48
CRESSY RESEARCH STATION,27/05/2022,0.8,1.8, ,15.9,4.5,100,67,2.02,6.95
CRESSY RESEARCH STATION,28/05/2022,0.5,0.0, ,12.4,1.4,100,63,0.86,6.12
CRESSY RESEARCH STATION,29/05/2022,0.6,0.2, ,12.3,2.7,100,58,0.95,5.85
CRESSY RESEARCH STATION,30/05/2022,0.3,0.0, ,9.7,4.1,100,96,1.14,6.34
CRESSY RESEARCH STATION,31/05/2022,0.5,2.8, ,9.0,2.5,100,84,2.01,3.12
Totals:,,30,25.2, ,,,,,, 
