'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/06/2022,1.2,5.0, ,13.3,4.2,100,53,3.54,6.92
CRESSY RESEARCH STATION,02/06/2022,0.7,0.2, ,10.2,-2.0,100,58,2.12,7.72
CRESSY RESEARCH STATION,03/06/2022,0.7,0.0, ,11.2,1.0,100,76,4.01,4.23
CRESSY RESEARCH STATION,04/06/2022,0.8,5.0, ,11.9,4.8,100,72,4.42,6.47
CRESSY RESEARCH STATION,05/06/2022,0.8,25.8, ,9.7,4.5,100,76,5.81,3.12
CRESSY RESEARCH STATION,06/06/2022,1.4,4.8, ,12.2,5.3,100,48,4.55,3.80
CRESSY RESEARCH STATION,07/06/2022,1.1,0.2, ,10.3,-0.7,100,45,3.18,6.44
CRESSY RESEARCH STATION,08/06/2022,1.4,0.0, ,10.5,2.0,84,49,4.25,6.30
CRESSY RESEARCH STATION,09/06/2022,1.7,0.0, ,12.0,5.8,84,47,5.40,6.63
CRESSY RESEARCH STATION,10/06/2022,2.1,0.0, ,11.0,4.9,66,43,5.86,6.78
CRESSY RESEARCH STATION,11/06/2022,2.2,0.0, ,12.0,4.0,79,41,6.94,6.48
CRESSY RESEARCH STATION,12/06/2022,1.6,0.0, ,9.3,5.6,74,42,4.68,6.77
CRESSY RESEARCH STATION,13/06/2022,0.5,0.0, ,9.8,-2.9,100,55,1.54,7.43
CRESSY RESEARCH STATION,14/06/2022,0.3,0.0, ,8.4,-4.1,100,71,1.10,7.13
CRESSY RESEARCH STATION,15/06/2022,0.3,0.0, ,11.1,-2.2,100,99,3.18,2.01
CRESSY RESEARCH STATION,16/06/2022,0.7,9.2, ,14.1,5.7,100,68,2.39,6.81
CRESSY RESEARCH STATION,17/06/2022,0.3,0.2, ,10.9,-0.3,100,87,0.94,5.54
CRESSY RESEARCH STATION,18/06/2022,0.4,0.8, ,11.7,1.2,100,90,2.16,4.04
CRESSY RESEARCH STATION,19/06/2022,0.7,2.0, ,14.7,3.1,100,67,2.12,5.79
CRESSY RESEARCH STATION,20/06/2022,0.3,0.0, ,11.5,5.2,100,100,1.43,2.16
CRESSY RESEARCH STATION,21/06/2022,0.7,5.6, ,13.3,6.2,100,76,3.65,6.48
CRESSY RESEARCH STATION,22/06/2022,0.3,0.2, ,11.9,-0.1,100,82,1.17,7.13
CRESSY RESEARCH STATION,23/06/2022,0.5,0.6, ,13.5,2.0,100,90,7.57,3.43
CRESSY RESEARCH STATION,24/06/2022,1.7,2.8, ,13.4,9.2,100,45,6.62,7.45
CRESSY RESEARCH STATION,25/06/2022,1.3,0.0, ,13.3,5.6,96,69,9.26,7.34
CRESSY RESEARCH STATION,26/06/2022,1.5,0.0, ,11.5,4.2,99,35,4.30,7.24
CRESSY RESEARCH STATION,27/06/2022,0.6,0.0, ,9.8,-0.3,100,57,1.81,7.47
CRESSY RESEARCH STATION,28/06/2022,0.6,0.0, ,11.7,-0.6,100,87,5.82,3.15
CRESSY RESEARCH STATION,29/06/2022,1.0,0.0, ,11.7,5.1,100,67,6.19,7.02
CRESSY RESEARCH STATION,30/06/2022,0.7,0.0, ,11.3,1.2,100,68,3.52,7.27
Totals:,,28.1,62.4, ,,,,,, 
