'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/07/2022,0.4,0.0, ,11.0,-1.8,100,56,1.10,7.58
CRESSY RESEARCH STATION,02/07/2022,0.2,0.0, ,8.7,-2.8,100,90,0.83,6.36
CRESSY RESEARCH STATION,03/07/2022,0.2,0.0, ,9.1,-3.2,100,74,0.50,7.04
CRESSY RESEARCH STATION,04/07/2022,0.2,0.2, ,5.1,-3.2,100,100,0.90,5.32
CRESSY RESEARCH STATION,05/07/2022,0.3,0.4, ,12.6,-1.7,100,73,0.65,7.33
CRESSY RESEARCH STATION,06/07/2022,0.4,0.2, ,11.2,-1.1,100,84,1.82,4.65
CRESSY RESEARCH STATION,07/07/2022,0.7,0.6, ,11.6,4.5,100,67,2.96,6.37
CRESSY RESEARCH STATION,08/07/2022,1.3,0.2, ,12.1,1.8,100,57,5.70,5.94
CRESSY RESEARCH STATION,09/07/2022,1.0,0.0, ,11.8,5.7,96,69,5.51,6.82
CRESSY RESEARCH STATION,10/07/2022,0.8,0.0, ,11.5,1.6,100,58,2.43,6.77
CRESSY RESEARCH STATION,11/07/2022,0.9,0.0, ,11.8,3.6,100,71,4.15,4.06
CRESSY RESEARCH STATION,12/07/2022,0.8,0.4, ,12.4,7.3,100,66,2.92,6.33
CRESSY RESEARCH STATION,13/07/2022,1.0,0.2, ,11.0,2.5,100,58,3.79,7.60
CRESSY RESEARCH STATION,14/07/2022,0.7,0.0, ,11.6,-3.1,100,59,1.62,7.56
CRESSY RESEARCH STATION,15/07/2022,0.8,0.0, ,12.8,-0.5,100,67,2.58,7.37
CRESSY RESEARCH STATION,16/07/2022,0.6,1.6, ,10.7,-0.5,100,85,4.41,3.87
CRESSY RESEARCH STATION,17/07/2022,1.6,3.6, ,12.0,3.9,100,55,8.17,8.20
CRESSY RESEARCH STATION,18/07/2022,1.5,0.0, ,8.2,3.8,84,46,5.17,7.58
CRESSY RESEARCH STATION,19/07/2022,0.7,0.0, ,9.8,-3.5,100,56,1.73,7.37
CRESSY RESEARCH STATION,20/07/2022,0.6,0.0, ,11.1,-3.3,100,62,1.26,8.65
CRESSY RESEARCH STATION,21/07/2022,0.8,0.0, ,13.6,0.0,100,52,1.43,7.27
CRESSY RESEARCH STATION,22/07/2022,0.9,0.0, ,13.7,-0.5,100,61,1.98,7.62
CRESSY RESEARCH STATION,23/07/2022,0.8,0.0, ,14.5,3.7,100,65,1.81,6.07
CRESSY RESEARCH STATION,24/07/2022,0.6,0.2, ,14.3,7.7,100,80,0.90,5.86
CRESSY RESEARCH STATION,25/07/2022, ,0.2, , ,4.2,100,72,1.61,7.89
CRESSY RESEARCH STATION,26/07/2022,0.9, , ,13.9,5.7,100,68,2.42,9.05
CRESSY RESEARCH STATION,27/07/2022,1.1,0.4, ,14.3,0.5,100,59,2.74,8.72
CRESSY RESEARCH STATION,28/07/2022,1.1,0.0, ,11.4,1.7,100,52,2.55,7.44
CRESSY RESEARCH STATION,29/07/2022,1.2,0.0, ,11.3,2.0,100,46,2.72,8.61
CRESSY RESEARCH STATION,30/07/2022,0.9,0.0, ,9.8,-3.8,100,62,2.88,7.69
CRESSY RESEARCH STATION,31/07/2022,1.4,0.0, ,12.3,-2.2,100,60,5.13,4.74
Totals:,,24.4,8.2, ,,,,,, 
