'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/08/2022,1.4,7.8, ,11.3,7.2,100,63,7.83,8.12
CRESSY RESEARCH STATION,02/08/2022,1.8,1.2, ,13.8,5.2,100,52,6.52,8.18
CRESSY RESEARCH STATION,03/08/2022,1.1,6.6, ,12.3,6.6,100,74,6.87,1.95
CRESSY RESEARCH STATION,04/08/2022,1.3,23.4, ,14.1,6.7,100,70,5.51,9.63
CRESSY RESEARCH STATION,05/08/2022,1.1,4.4, ,13.4,7.1,100,75,7.29,6.66
CRESSY RESEARCH STATION,06/08/2022,1.2,0.6, ,11.5,1.4,100,64,4.59,10.39
CRESSY RESEARCH STATION,07/08/2022,1.1,0.0, ,10.5,-0.8,100,62,3.39,9.55
CRESSY RESEARCH STATION,08/08/2022,1.1,0.0, ,11.5,-2.0,100,49,1.98,2.55
CRESSY RESEARCH STATION,09/08/2022,1.0,0.2, ,13.0,-3.1,100,55,1.51,10.77
CRESSY RESEARCH STATION,10/08/2022,1.1,0.2, ,11.2,-3.4,100,53,1.85,10.38
CRESSY RESEARCH STATION,11/08/2022,0.9,0.0, ,13.6,0.2,100,72,1.84,7.88
CRESSY RESEARCH STATION,12/08/2022,0.9,8.6, ,13.5,5.0,100,68,1.46,8.32
CRESSY RESEARCH STATION,13/08/2022,1.7,0.2, ,14.6,3.0,100,56,4.95,10.48
CRESSY RESEARCH STATION,14/08/2022,1.6,5.6, ,14.7,9.0,100,69,10.38,6.46
CRESSY RESEARCH STATION,15/08/2022,1.4,5.2, ,13.8,9.7,100,69,5.79,6.85
CRESSY RESEARCH STATION,16/08/2022,1.8,0.0, ,16.6,5.5,100,48,2.98,10.36
CRESSY RESEARCH STATION,17/08/2022,1.0,0.0, ,12.8,1.6,100,76,4.17,6.22
CRESSY RESEARCH STATION,18/08/2022,1.3,3.6, ,13.4,6.2,100,74,8.92,5.37
CRESSY RESEARCH STATION,19/08/2022,1.7,1.0, ,12.1,5.0,97,64,7.36,11.76
CRESSY RESEARCH STATION,20/08/2022,1.8,0.2, ,10.7,5.3,97,44,4.85,11.55
CRESSY RESEARCH STATION,21/08/2022,1.4,0.0, ,10.3,-0.8,100,64,6.00,9.98
CRESSY RESEARCH STATION,22/08/2022,1.0,3.0, ,9.0,3.7,100,76,8.05,4.24
CRESSY RESEARCH STATION,23/08/2022,1.8,8.2, ,11.0,-0.9,100,39,3.95,11.73
CRESSY RESEARCH STATION,24/08/2022,1.7,0.0, ,13.7,3.0,100,53,4.24,6.91
CRESSY RESEARCH STATION,25/08/2022,1.7,0.0, ,16.2,4.6,100,54,2.43,12.85
CRESSY RESEARCH STATION,26/08/2022,1.4,0.0, ,15.8,0.7,100,65,1.86,11.62
CRESSY RESEARCH STATION,27/08/2022,0.9,0.6, ,11.3,4.3,100,80,2.75,5.24
CRESSY RESEARCH STATION,28/08/2022,1.6,0.0, ,17.7,5.2,100,58,1.36,12.53
CRESSY RESEARCH STATION,29/08/2022,1.4,0.4, ,17.4,6.7,100,68,1.82,9.03
CRESSY RESEARCH STATION,30/08/2022,1.6,3.6, ,14.8,7.5,100,56,3.46,5.45
CRESSY RESEARCH STATION,31/08/2022,2.2,0.2, ,15.9,6.1,98,60,6.54,13.66
Totals:,,43,84.8, ,,,,,, 
