'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CRESSY RESEARCH STATION Tasmania for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CRESSY RESEARCH STATION,01/09/2022,1.7,0.0, ,14.5,8.8,100,69,6.19,12.06
CRESSY RESEARCH STATION,02/09/2022,2.2,0.6, ,13.8,1.2,97,41,3.54,14.50
CRESSY RESEARCH STATION,03/09/2022,1.8,0.0, ,14.0,1.5,100,50,2.13,14.67
CRESSY RESEARCH STATION,04/09/2022,1.8,0.0, ,13.5,1.0,100,49,2.50,14.79
CRESSY RESEARCH STATION,05/09/2022,1.8,0.4, ,14.1,2.6,100,61,3.67,13.18
CRESSY RESEARCH STATION,06/09/2022,1.9,1.2, ,13.9,-0.4,100,43,1.94,15.13
CRESSY RESEARCH STATION,07/09/2022,1.9,0.4, ,14.6,3.8,100,48,2.22,14.09
CRESSY RESEARCH STATION,08/09/2022,1.7,0.0, ,16.6,5.0,100,64,2.80,9.47
CRESSY RESEARCH STATION,09/09/2022,1.9,3.0, ,18.3,10.5,100,63,3.08,10.80
CRESSY RESEARCH STATION,10/09/2022,1.8,3.2, ,14.6,10.2,100,47,3.41,6.86
CRESSY RESEARCH STATION,11/09/2022,3.0,1.4, ,15.1,5.4,91,41,6.45,15.30
CRESSY RESEARCH STATION,12/09/2022,2.5,0.0, ,11.9,1.4,87,38,4.76,15.03
CRESSY RESEARCH STATION,13/09/2022,2.0,0.0, ,12.7,-2.6,99,39,1.94,16.63
CRESSY RESEARCH STATION,14/09/2022,2.2,0.2, ,13.5,-2.0,100,37,2.83,14.71
CRESSY RESEARCH STATION,15/09/2022,1.0,0.0, ,12.2,0.1,100,86,1.10,8.20
CRESSY RESEARCH STATION,16/09/2022,0.6,2.2, ,11.7,5.7,100,100,3.59,5.16
CRESSY RESEARCH STATION,17/09/2022,1.4,11.2, ,13.4,6.9,100,77,5.91,10.01
CRESSY RESEARCH STATION,18/09/2022,2.1,6.0, ,15.2,5.9,100,62,5.73,11.24
CRESSY RESEARCH STATION,19/09/2022,2.6,0.0, ,16.3,2.6,100,36,2.42,17.17
CRESSY RESEARCH STATION,20/09/2022,2.1,0.0, ,15.4,-0.5,100,59,3.50,14.67
CRESSY RESEARCH STATION,21/09/2022,2.4,0.0, ,19.5,7.0,100,50,2.35,13.78
CRESSY RESEARCH STATION,22/09/2022,2.9,0.0, ,20.3,6.2,100,48,3.12,17.02
CRESSY RESEARCH STATION,23/09/2022,2.8,0.0, ,19.7,6.7,100,54,4.14,14.46
CRESSY RESEARCH STATION,24/09/2022,1.7,10.4, ,11.9,6.8,100,67,6.37,9.82
CRESSY RESEARCH STATION,25/09/2022,1.6,0.2, ,14.1,0.5,100,71,3.22,11.13
CRESSY RESEARCH STATION,26/09/2022,2.0,0.0, ,15.0,2.6,100,65,2.81,14.61
CRESSY RESEARCH STATION,27/09/2022,2.4,0.6, ,16.6,6.5,100,56,2.90,14.91
CRESSY RESEARCH STATION,28/09/2022,2.9,0.0, ,18.4,2.8,100,49,3.33,18.99
CRESSY RESEARCH STATION,29/09/2022,2.5,0.0, ,13.8,6.4,100,61,7.03,18.70
CRESSY RESEARCH STATION,30/09/2022,2.6,0.0, ,14.4,3.0,100,48,4.46,15.46
Totals:,,61.8,41, ,,,,,, 
