'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAUNCESTON AIRPORT Tasmania for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAUNCESTON AIRPORT,01/10/2022,2.8, , ,15.6,0.0,95,41,2.58,20.42
LAUNCESTON AIRPORT,02/10/2022,3.1,0.0, ,17.4,3.0,93,48,3.63,20.11
LAUNCESTON AIRPORT,03/10/2022,2.6,0.0, ,16.4,3.3,97,46,3.18,14.66
LAUNCESTON AIRPORT,04/10/2022,3.4,0.0, ,13.8,3.4,90,37,6.27,20.94
LAUNCESTON AIRPORT,05/10/2022,3.0,0.0, ,14.5,0.6,89,43,4.69,18.15
LAUNCESTON AIRPORT,06/10/2022,2.1,0.0, ,14.6,5.9,88,61,4.37,8.54
LAUNCESTON AIRPORT,07/10/2022,2.4,8.0, ,18.7,10.9,98,63,5.82,9.99
LAUNCESTON AIRPORT,08/10/2022,3.0,0.4, ,14.9,3.7,94,44,4.88,17.17
LAUNCESTON AIRPORT,09/10/2022,3.0,0.4, ,14.7,-1.6,99,30,2.37,21.58
LAUNCESTON AIRPORT,10/10/2022,3.0,0.2, ,17.1,-0.3,98,48,3.12,20.32
LAUNCESTON AIRPORT,11/10/2022,3.0,0.0, ,17.7,5.1,97,46,2.66,18.77
LAUNCESTON AIRPORT,12/10/2022,2.3,0.0, ,17.5,9.0,83,64,4.51,8.38
LAUNCESTON AIRPORT,13/10/2022,1.5,4.8, ,15.4,13.6,95,76,7.08,2.93
LAUNCESTON AIRPORT,14/10/2022,2.5,24.2, ,15.7,8.1,97,70,7.57,16.69
LAUNCESTON AIRPORT,15/10/2022,3.5,1.2, ,16.4,5.5,96,42,5.98,18.76
LAUNCESTON AIRPORT,16/10/2022,3.2,0.4, ,15.9,5.8,93,38,3.14,19.31
LAUNCESTON AIRPORT,17/10/2022,3.2,0.2, ,16.8,1.9,93,47,3.09,20.88
LAUNCESTON AIRPORT,18/10/2022,3.3,0.8, ,17.5,6.0,99,48,3.85,20.65
LAUNCESTON AIRPORT,19/10/2022,3.8,0.0, ,19.8,3.3,98,50,4.15,23.73
LAUNCESTON AIRPORT,20/10/2022,4.9,0.2, ,22.6,6.5,98,25,3.78,24.36
LAUNCESTON AIRPORT,21/10/2022,1.7,0.0, ,18.6,5.0,98,70,2.54,7.82
LAUNCESTON AIRPORT,22/10/2022,1.6,0.6, ,19.5,11.0,98,77,3.54,6.58
LAUNCESTON AIRPORT,23/10/2022,2.6,19.6, ,13.6,9.1,88,63,8.61,12.28
LAUNCESTON AIRPORT,24/10/2022,3.0,0.4, ,14.8,8.0,87,63,10.59,16.79
LAUNCESTON AIRPORT,25/10/2022,2.0,2.4, ,18.0,10.2,93,76,7.11,8.39
LAUNCESTON AIRPORT,26/10/2022,3.4,4.4, ,20.1,11.9,91,64,9.41,15.12
LAUNCESTON AIRPORT,27/10/2022,1.7,0.2, ,15.7,12.4,97,76,5.36,7.50
LAUNCESTON AIRPORT,28/10/2022,2.1,6.4, ,15.5,10.9,96,73,6.05,11.82
LAUNCESTON AIRPORT,29/10/2022,3.8,5.0, ,16.6,7.9,97,40,5.02,21.73
LAUNCESTON AIRPORT,30/10/2022,4.3,0.2, ,17.8,2.0,85,32,4.03,26.30
LAUNCESTON AIRPORT,31/10/2022,2.7,11.2, ,17.0,9.0,94,63,9.17,10.49
Totals:,,88.5,91.2, ,,,,,, 
