'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAUNCESTON AIRPORT Tasmania for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAUNCESTON AIRPORT,01/11/2022,3.4,1.6, ,15.9,3.6,97,45,4.09,21.53
LAUNCESTON AIRPORT,02/11/2022,3.3,0.0, ,14.8,0.9,91,43,4.16,20.53
LAUNCESTON AIRPORT,03/11/2022,4.5,0.0, ,19.4,1.7,85,39,4.13,27.09
LAUNCESTON AIRPORT,04/11/2022,4.5,0.0, ,20.6,3.1,93,39,3.38,27.32
LAUNCESTON AIRPORT,05/11/2022,4.2,0.0, ,18.9,5.3,93,49,4.07,27.44
LAUNCESTON AIRPORT,06/11/2022,4.6,0.0, ,22.4,8.1,97,45,4.52,24.86
LAUNCESTON AIRPORT,07/11/2022,5.6,0.0, ,23.9,8.7,99,32,4.76,27.66
LAUNCESTON AIRPORT,08/11/2022,5.7,0.0, ,25.1,8.1,93,26,3.46,28.05
LAUNCESTON AIRPORT,09/11/2022,5.8,0.0, ,26.3,9.0,91,35,3.88,27.65
LAUNCESTON AIRPORT,10/11/2022,4.7,0.0, ,24.6,10.4,91,56,4.85,23.76
LAUNCESTON AIRPORT,11/11/2022,3.9,1.0, ,22.6,14.6,95,63,5.99,20.07
LAUNCESTON AIRPORT,12/11/2022, ,1.6, ,18.5,10.9,93,52,5.08, 
LAUNCESTON AIRPORT,13/11/2022,1.3,4.0, ,13.8,6.9,96,83,5.38,5.89
LAUNCESTON AIRPORT,14/11/2022,2.2,20.6, ,17.1,9.2,98,50,2.66,8.45
LAUNCESTON AIRPORT,15/11/2022,2.8,11.6, ,14.2,3.7,89,50,4.21,15.19
LAUNCESTON AIRPORT,16/11/2022,3.4,0.2, ,14.3,3.5,84,38,4.12,19.05
LAUNCESTON AIRPORT,17/11/2022,3.8,0.0, ,17.9,4.0,86,43,2.76,23.91
LAUNCESTON AIRPORT,18/11/2022,4.7,0.0, ,20.1,6.4,88,40,3.54,27.68
LAUNCESTON AIRPORT,19/11/2022,3.5,0.0, ,19.2,6.6,92,50,4.58,16.61
LAUNCESTON AIRPORT,20/11/2022,4.8,10.8, ,18.4,12.1,97,38,7.65,25.72
LAUNCESTON AIRPORT,21/11/2022,3.8,1.2, ,13.7,4.7,81,39,6.51,21.09
LAUNCESTON AIRPORT,22/11/2022,5.4,0.2, ,19.1,0.9,84,34,8.08,28.86
LAUNCESTON AIRPORT,23/11/2022,5.3,0.0, ,19.6,3.6,78,27,4.61,29.03
LAUNCESTON AIRPORT,24/11/2022,3.8,0.0, ,20.6,7.9,90,54,4.66,18.51
LAUNCESTON AIRPORT,25/11/2022,3.6,0.0, ,18.6,9.3,79,47,3.58,16.68
LAUNCESTON AIRPORT,26/11/2022,3.6,0.6, ,19.2,5.3,92,50,4.13,19.02
LAUNCESTON AIRPORT,27/11/2022,4.4,2.0, ,17.3,11.3,91,45,7.90,23.07
LAUNCESTON AIRPORT,28/11/2022,3.6,1.0, ,16.6,2.7,88,53,7.03,20.13
LAUNCESTON AIRPORT,29/11/2022,4.7,1.6, ,18.5,4.0,85,33,4.81,25.12
LAUNCESTON AIRPORT,30/11/2022,5.5,0.2, ,23.0,3.6,93,37,4.84,29.04
Totals:,,120.4,58.2, ,,,,,, 
