'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAUNCESTON AIRPORT Tasmania for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAUNCESTON AIRPORT,01/12/2022,3.8,0.0, ,20.0,6.9,94,44,3.25,20.01
LAUNCESTON AIRPORT,02/12/2022,4.2,5.4, ,20.0,9.5,95,50,3.40,24.61
LAUNCESTON AIRPORT,03/12/2022,5.5,0.0, ,22.7,8.5,96,43,5.44,30.75
LAUNCESTON AIRPORT,04/12/2022,6.4,0.0, ,27.5,10.3,97,21,3.54,27.87
LAUNCESTON AIRPORT,05/12/2022,3.1,0.2, ,16.3,13.0,94,60,9.65,14.55
LAUNCESTON AIRPORT,06/12/2022,4.6,0.0, ,17.1,7.0,84,43,6.97,25.77
LAUNCESTON AIRPORT,07/12/2022,5.3,0.2, ,20.7,4.6,88,35,4.56,30.66
LAUNCESTON AIRPORT,08/12/2022,5.3,0.6, ,17.1,8.2,87,28,6.11,30.41
LAUNCESTON AIRPORT,09/12/2022,4.5,0.2, ,19.5,2.6,86,35,4.24,22.70
LAUNCESTON AIRPORT,10/12/2022,4.0,0.0, ,19.8,6.4,92,49,4.44,21.83
LAUNCESTON AIRPORT,11/12/2022,1.9,0.0, ,15.9,5.2,96,62,2.67,8.23
LAUNCESTON AIRPORT,12/12/2022,2.3,4.4, ,18.4,12.3,96,59,2.92,9.45
LAUNCESTON AIRPORT,13/12/2022,3.6,7.8, ,16.3,8.0,94,50,6.26,19.30
LAUNCESTON AIRPORT,14/12/2022,4.2,17.8, ,16.3,5.4,94,46,7.51,25.72
LAUNCESTON AIRPORT,15/12/2022,3.5,0.0, ,15.2,5.2,86,52,7.63,18.33
LAUNCESTON AIRPORT,16/12/2022,4.2,0.0, ,19.2,8.0,89,49,6.82,19.93
LAUNCESTON AIRPORT,17/12/2022,4.6,0.0, ,17.9,8.1,88,48,6.64,27.97
LAUNCESTON AIRPORT,18/12/2022,6.1,0.0, ,22.4,6.8,91,30,5.25,32.11
LAUNCESTON AIRPORT,19/12/2022,5.5,0.0, ,22.4,6.7,93,41,4.20,31.41
LAUNCESTON AIRPORT,20/12/2022,4.8,0.0, ,20.2,11.2,86,45,3.96,26.29
LAUNCESTON AIRPORT,21/12/2022,4.4,0.0, ,20.9,10.7,87,44,3.01,23.12
LAUNCESTON AIRPORT,22/12/2022,4.6,0.0, ,21.7,10.3,84,42,2.67,24.79
LAUNCESTON AIRPORT,23/12/2022,6.2,0.0, ,26.4,8.7,92,34,3.50,31.11
LAUNCESTON AIRPORT,24/12/2022,6.0,0.0, ,23.5,12.8,88,43,6.15,30.14
LAUNCESTON AIRPORT,25/12/2022,6.2,0.0, ,23.3,11.6,91,41,6.42,32.07
LAUNCESTON AIRPORT,26/12/2022,6.9,0.0, ,30.6,9.8,95,23,2.83,31.39
LAUNCESTON AIRPORT,27/12/2022,7.6,0.0, ,32.2,11.4,95,32,4.12,31.93
LAUNCESTON AIRPORT,28/12/2022,5.8,0.0, ,23.5,16.5,85,31,7.10,18.23
LAUNCESTON AIRPORT,29/12/2022,5.0,0.6, ,22.0,8.2,69,34,4.15,21.16
LAUNCESTON AIRPORT,30/12/2022,3.8,0.0, ,22.4,9.0,86,49,5.08,12.29
LAUNCESTON AIRPORT,31/12/2022,6.4,0.0, ,27.5,13.6,91,33,4.46,27.66
Totals:,,150.3,37.2, ,,,,,, 
