'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/02/2020,3.2,0.0, ,27.9,19.0,99,39,5.00,0.67
FRIENDLY BEACHES,02/02/2020,5.8,9.6, ,24.4,11.3,99,32,4.89,27.68
FRIENDLY BEACHES,03/02/2020,4.9,0.0, ,18.9,11.7,68,28,5.42,17.80
FRIENDLY BEACHES,04/02/2020,4.8,0.0, ,20.6,6.8,87,34,3.29,27.48
FRIENDLY BEACHES,05/02/2020,4.7,0.0, ,22.7,9.3,86,42,3.93,23.03
FRIENDLY BEACHES,06/02/2020,3.8,0.2, ,23.1,11.9,99,49,2.67,19.11
FRIENDLY BEACHES,07/02/2020,1.7,0.0, ,19.1,14.8,93,76,3.81,5.30
FRIENDLY BEACHES,08/02/2020,2.1,0.0, ,19.4,13.4,94,69,3.88,8.15
FRIENDLY BEACHES,09/02/2020,4.6,0.2, ,22.6,12.6,80,47,5.19,19.13
FRIENDLY BEACHES,10/02/2020,1.9,0.0, ,20.0,15.8,96,72,5.67,5.23
FRIENDLY BEACHES,11/02/2020,2.5,39.6, ,23.1,16.8,100,74,2.85,12.00
FRIENDLY BEACHES,12/02/2020,1.9,0.4, ,20.0,16.0,99,79,3.83,8.66
FRIENDLY BEACHES,13/02/2020,2.5,0.6, ,20.4,12.9,99,63,2.37,12.13
FRIENDLY BEACHES,14/02/2020,2.8,7.8, ,23.8,15.4,100,82,3.18,16.73
FRIENDLY BEACHES,15/02/2020,2.3,0.2, ,18.7,15.9,98,65,4.83,9.02
FRIENDLY BEACHES,16/02/2020,4.1,0.2, ,20.4,11.9,74,51,5.16,18.19
FRIENDLY BEACHES,17/02/2020,3.3,0.0, ,20.9,11.7,84,42,2.25,15.27
FRIENDLY BEACHES,18/02/2020,3.4,0.0, ,22.3,9.6,96,51,3.09,16.43
FRIENDLY BEACHES,19/02/2020,1.7,17.0, ,13.8,11.1,98,65,6.71,4.55
FRIENDLY BEACHES,20/02/2020,4.1,7.0, ,20.5,10.7,82,47,3.90,21.45
FRIENDLY BEACHES,21/02/2020,4.1,0.0, ,20.0,10.2,77,38,4.14,18.61
FRIENDLY BEACHES,22/02/2020,4.0,0.0, ,22.8,7.4,95,56,3.64,24.34
FRIENDLY BEACHES,23/02/2020,4.1,0.0, ,24.9,12.3,93,60,3.56,22.79
FRIENDLY BEACHES,24/02/2020,1.9,0.0, ,20.1,15.0,94,72,2.79,7.58
FRIENDLY BEACHES,25/02/2020,4.5,0.0, ,28.8,13.2,100,42,3.44,18.13
FRIENDLY BEACHES,26/02/2020,2.6,0.0, ,16.8,14.6,99,43,4.29,8.52
FRIENDLY BEACHES,27/02/2020,4.5,9.8, ,22.2,9.1,65,44,5.40,16.50
FRIENDLY BEACHES,28/02/2020,4.4,0.0, ,21.5,10.1,91,29,3.39,22.23
FRIENDLY BEACHES,29/02/2020,3.8,0.0, ,23.7,12.1,95,50,2.33,21.80
Totals:,,100,92.6, ,,,,,, 
