'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/03/2020,1.5,0.0, ,21.4,11.7,100,51,1.74,2.67
FRIENDLY BEACHES,02/03/2020,3.6,12.0, ,19.4,10.1,98,40,4.17,17.81
FRIENDLY BEACHES,03/03/2020,3.8,0.0, ,21.1,8.4,82,45,2.88,22.09
FRIENDLY BEACHES,04/03/2020,2.0,0.0, ,18.8,13.0,93,64,2.65,8.37
FRIENDLY BEACHES,05/03/2020,1.0,30.6, ,20.3,15.7,100,85,7.20,1.42
FRIENDLY BEACHES,06/03/2020,3.5,39.2, ,21.1,15.2,98,60,5.88,19.35
FRIENDLY BEACHES,07/03/2020,2.4,0.2, ,17.1,11.5,95,64,4.99,12.24
FRIENDLY BEACHES,08/03/2020,2.0,1.0, ,17.2,9.6,98,57,3.32,7.79
FRIENDLY BEACHES,09/03/2020,2.7,0.0, ,17.9,10.8,82,51,2.67,12.97
FRIENDLY BEACHES,10/03/2020,3.1,0.0, ,20.1,10.1,90,56,2.79,18.62
FRIENDLY BEACHES,11/03/2020,3.6,0.0, ,21.9,9.1,96,55,4.35,20.29
FRIENDLY BEACHES,12/03/2020,4.6,0.0, ,27.3,14.7,85,48,4.44,19.82
FRIENDLY BEACHES,13/03/2020,2.5,0.0, ,22.8,18.4,95,47,4.87,1.44
FRIENDLY BEACHES,14/03/2020,3.2,3.0, ,17.4,7.0,77,45,4.52,14.82
FRIENDLY BEACHES,15/03/2020,3.3,0.0, ,20.3,9.6,84,48,3.33,18.37
FRIENDLY BEACHES,16/03/2020,3.1,0.0, ,20.0,11.2,78,57,2.89,18.37
FRIENDLY BEACHES,17/03/2020,3.5,0.0, ,24.5,9.7,87,51,3.30,17.09
FRIENDLY BEACHES,18/03/2020,1.9,0.0, ,22.2,16.5,84,51,2.70,0.69
FRIENDLY BEACHES,19/03/2020,2.2,0.0, ,21.4,12.5,100,66,3.31,11.01
FRIENDLY BEACHES,20/03/2020,2.8,8.2, ,22.0,13.1,99,48,3.72,10.62
FRIENDLY BEACHES,21/03/2020,2.3,1.6, ,20.0,12.7,97,62,3.06,12.47
FRIENDLY BEACHES,22/03/2020,2.2,3.0, ,16.9,10.7,99,57,3.83,11.41
FRIENDLY BEACHES,23/03/2020,2.7,0.0, ,19.1,8.4,95,49,2.88,15.72
FRIENDLY BEACHES,24/03/2020,2.5,0.0, ,18.1,6.8,97,56,2.67,17.10
FRIENDLY BEACHES,25/03/2020,3.3,0.0, ,21.1,9.4,98,40,4.15,15.35
FRIENDLY BEACHES,26/03/2020,2.8,0.0, ,18.1,7.0,84,50,3.19,16.88
FRIENDLY BEACHES,27/03/2020,2.5,0.0, ,21.4,7.7,93,53,2.42,13.66
FRIENDLY BEACHES,28/03/2020,3.0,0.0, ,23.3,13.6,98,61,4.89,15.74
FRIENDLY BEACHES,29/03/2020,2.9,0.0, ,24.0,16.5,88,65,4.62,11.68
FRIENDLY BEACHES,30/03/2020,1.9,0.4, ,19.4,14.3,90,53,2.62,4.55
FRIENDLY BEACHES,31/03/2020,2.7,0.0, ,21.4,8.1,83,46,2.38,14.90
Totals:,,85.1,99.2, ,,,,,, 
