'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/04/2020,2.3,0.0, ,21.9,11.5,92,58,2.16,13.30
FRIENDLY BEACHES,02/04/2020,0.6,4.0, ,17.6,12.9,100,94,4.54,0.80
FRIENDLY BEACHES,03/04/2020,2.3,52.0, ,21.6,13.5,98,56,2.69,12.16
FRIENDLY BEACHES,04/04/2020,1.4,4.8, ,14.8,14.1,98,60,4.22,1.94
FRIENDLY BEACHES,05/04/2020,1.5,6.0, ,13.3,5.7,100,56,3.05,5.98
FRIENDLY BEACHES,06/04/2020,2.6,17.8, ,17.7,5.7,77,44,3.19,14.40
FRIENDLY BEACHES,07/04/2020,2.1,0.0, ,17.4,5.9,90,51,2.42,14.38
FRIENDLY BEACHES,08/04/2020,2.3,0.0, ,17.8,9.2,93,53,3.39,12.88
FRIENDLY BEACHES,09/04/2020,2.1,0.2, ,19.5,4.2,100,58,3.00,14.02
FRIENDLY BEACHES,10/04/2020,2.7,0.0, ,23.3,9.6,90,50,3.56,10.10
FRIENDLY BEACHES,11/04/2020,1.8,3.8, ,14.4,10.4,100,57,4.86,7.59
FRIENDLY BEACHES,12/04/2020,2.5,0.0, ,18.6,8.2,94,50,4.22,12.52
FRIENDLY BEACHES,13/04/2020,1.4,0.0, ,17.0,7.8,98,64,2.12,8.58
FRIENDLY BEACHES,14/04/2020,2.0,0.0, ,21.6,9.4,98,52,1.94,12.28
FRIENDLY BEACHES,15/04/2020,1.1,0.2, ,18.2,14.3,96,69,2.04,2.32
FRIENDLY BEACHES,16/04/2020,2.5,4.4, ,19.8,13.8,74,47,3.52,7.37
FRIENDLY BEACHES,17/04/2020,2.8,0.0, ,15.0,9.0,78,41,5.46,11.69
FRIENDLY BEACHES,18/04/2020,2.6,0.0, ,16.0,8.6,76,43,4.24,11.91
FRIENDLY BEACHES,19/04/2020,1.8,0.0, ,17.4,6.8,83,54,2.54,9.15
FRIENDLY BEACHES,20/04/2020,2.4,0.2, ,18.8,11.6,90,43,4.43,4.04
FRIENDLY BEACHES,21/04/2020,1.7,0.2, ,17.7,8.4,80,47,2.06,7.12
FRIENDLY BEACHES,22/04/2020,2.5,0.0, ,17.7,10.6,78,38,3.44,11.42
FRIENDLY BEACHES,23/04/2020,2.1,0.0, ,18.3,8.1,77,48,2.97,10.63
FRIENDLY BEACHES,24/04/2020,2.4,0.0, ,18.9,12.0,86,46,3.76,11.20
FRIENDLY BEACHES,25/04/2020,1.5,0.0, ,18.3,12.0,76,63,2.12,4.48
FRIENDLY BEACHES,26/04/2020,2.7,0.0, ,18.1,14.6,81,36,4.25,9.05
FRIENDLY BEACHES,27/04/2020,2.5,0.0, ,20.0,8.7,71,48,3.84,10.39
FRIENDLY BEACHES,28/04/2020,2.2,0.0, ,19.7,12.3,78,44,2.99,8.23
FRIENDLY BEACHES,29/04/2020,1.9,0.0, ,21.9,12.8,100,58,3.57,8.85
FRIENDLY BEACHES,30/04/2020,0.8,17.8, ,14.1,10.3,100,73,1.95,2.64
Totals:,,61.1,111.4, ,,,,,, 
