'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/05/2020,1.3,0.0, ,15.0,7.5,92,61,2.36,8.26
FRIENDLY BEACHES,02/05/2020,1.9,1.0, ,13.5,8.4,93,57,7.13,3.84
FRIENDLY BEACHES,03/05/2020,1.8,4.2, ,14.5,7.8,82,52,3.63,8.41
FRIENDLY BEACHES,04/05/2020,1.5,0.0, ,17.6,7.5,98,54,2.51,9.21
FRIENDLY BEACHES,05/05/2020,1.1,0.2, ,16.3,5.2,100,66,2.13,9.93
FRIENDLY BEACHES,06/05/2020,1.7,0.0, ,15.7,8.8,88,55,3.87,2.70
FRIENDLY BEACHES,07/05/2020,1.9,0.0, ,19.1,12.3,83,52,3.33,2.02
FRIENDLY BEACHES,08/05/2020,2.0,0.0, ,18.8,13.2,78,45,2.89,9.22
FRIENDLY BEACHES,09/05/2020,1.1,0.0, ,16.0,11.2,96,70,3.21,2.21
FRIENDLY BEACHES,10/05/2020,1.6,5.4, ,13.6,6.4,90,47,3.53,8.84
FRIENDLY BEACHES,11/05/2020,1.1,0.0, ,16.3,7.0,86,65,2.19,4.37
FRIENDLY BEACHES,12/05/2020,1.7,0.0, ,18.5,11.9,80,56,2.99,0.74
FRIENDLY BEACHES,13/05/2020,1.4,0.0, ,13.5,5.6,92,44,2.89,8.73
FRIENDLY BEACHES,14/05/2020,1.2,0.0, ,16.4,3.9,84,52,1.77,8.54
FRIENDLY BEACHES,15/05/2020,1.0,0.0, ,16.9,5.5,98,62,2.11,8.84
FRIENDLY BEACHES,16/05/2020,1.5,0.0, ,17.3,8.7,89,53,3.22,8.74
FRIENDLY BEACHES,17/05/2020,1.1,0.0, ,17.8,6.9,95,60,2.11,7.90
FRIENDLY BEACHES,18/05/2020,1.1,0.0, ,17.1,5.9,100,66,2.79,7.89
FRIENDLY BEACHES,19/05/2020,1.4,0.0, ,18.4,9.5,88,61,3.18,6.77
FRIENDLY BEACHES,20/05/2020,1.6,0.0, ,17.4,12.4,89,56,3.83,6.13
FRIENDLY BEACHES,21/05/2020,1.2,0.2, ,14.3,5.5,94,48,2.57,8.04
FRIENDLY BEACHES,22/05/2020,1.1,0.0, ,13.4,3.8,92,54,2.65,8.24
FRIENDLY BEACHES,23/05/2020,0.9,0.2, ,12.7,4.4,93,71,3.60,6.14
FRIENDLY BEACHES,24/05/2020,0.9,2.4, ,12.2,6.7,99,71,4.40,5.74
FRIENDLY BEACHES,25/05/2020,0.7,0.2, ,10.2,7.0,97,74,2.45,3.71
FRIENDLY BEACHES,26/05/2020,1.0,0.0, ,15.1,6.8,92,65,2.85,7.72
FRIENDLY BEACHES,27/05/2020,1.1,0.0, ,17.3,5.2,98,68,3.32,7.06
FRIENDLY BEACHES,28/05/2020,1.2,0.0, ,17.5,8.6,90,58,2.69,7.86
FRIENDLY BEACHES,29/05/2020,1.4,0.0, ,18.6,9.7,82,60,2.62,3.90
FRIENDLY BEACHES,30/05/2020,1.7,0.0, ,18.0,10.4,76,49,3.09,6.69
FRIENDLY BEACHES,31/05/2020,1.5,0.0, ,16.1,10.5,79,51,2.93,5.79
Totals:,,41.7,13.8, ,,,,,, 
