'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/06/2020,1.0,0.0, ,16.7,8.7,90,62,2.24,6.89
FRIENDLY BEACHES,02/06/2020,1.3,0.0, ,17.3,6.5,94,52,2.93,7.28
FRIENDLY BEACHES,03/06/2020,1.6,0.0, ,11.3,7.2,81,54,5.48,5.97
FRIENDLY BEACHES,04/06/2020,1.1,0.0, ,15.3,3.0,91,47,2.28,7.50
FRIENDLY BEACHES,05/06/2020,1.0,0.0, ,13.5,2.2,98,66,3.22,3.42
FRIENDLY BEACHES,06/06/2020,0.8,2.4, ,11.0,2.4,96,59,2.74,6.80
FRIENDLY BEACHES,07/06/2020,0.9,0.0, ,13.2,2.7,87,53,2.35,7.18
FRIENDLY BEACHES,08/06/2020,0.8,0.0, ,12.9,2.9,96,53,2.13,6.51
FRIENDLY BEACHES,09/06/2020,0.9,0.0, ,13.3,-0.7,98,56,2.50,7.36
FRIENDLY BEACHES,10/06/2020,1.1,0.4, ,12.7,4.0,89,57,3.32,4.83
FRIENDLY BEACHES,11/06/2020,1.1,0.2, ,11.8,9.8,88,61,3.56,4.63
FRIENDLY BEACHES,12/06/2020,0.7,0.2, ,12.9,6.2,100,78,2.87,2.59
FRIENDLY BEACHES,13/06/2020,1.0,7.0, ,17.2,6.6,99,69,3.41,5.75
FRIENDLY BEACHES,14/06/2020,1.2,0.0, ,16.2,9.8,94,59,3.50,5.61
FRIENDLY BEACHES,15/06/2020,1.9,0.0, ,16.6,11.8,71,60,4.95,5.93
FRIENDLY BEACHES,16/06/2020,2.1,0.0, ,16.2,13.1,91,50,7.15,7.22
FRIENDLY BEACHES,17/06/2020,1.0,0.4, ,13.5,3.5,98,44,2.55,7.25
FRIENDLY BEACHES,18/06/2020,1.2,0.0, ,15.1,1.3,82,52,2.87,6.78
FRIENDLY BEACHES,19/06/2020,1.0,0.0, ,16.4,6.8,95,59,2.66,6.12
FRIENDLY BEACHES,20/06/2020,0.3,0.2, ,14.4,6.3,100,90,1.34,5.64
FRIENDLY BEACHES,21/06/2020,0.4,5.6, ,11.4,8.1,100,95,2.60,2.90
FRIENDLY BEACHES,22/06/2020,0.4,9.8, ,12.9,9.2,100,96,1.17,2.81
FRIENDLY BEACHES,23/06/2020,0.4,8.2, ,13.1,8.8,100,95,8.00,2.07
FRIENDLY BEACHES,24/06/2020,0.3,7.6, ,13.3,11.5,100,99,5.27,3.73
FRIENDLY BEACHES,25/06/2020,0.6,4.8, ,16.1,9.2,100,72,1.81,7.03
FRIENDLY BEACHES,26/06/2020,1.0,0.0, ,11.4,6.5,87,55,3.11,7.08
FRIENDLY BEACHES,27/06/2020,0.9,0.0, ,13.6,3.3,99,54,2.50,6.86
FRIENDLY BEACHES,28/06/2020,0.8,0.2, ,12.5,1.9,99,58,2.66,7.38
FRIENDLY BEACHES,29/06/2020,0.7,0.4, ,14.6,2.0,99,67,2.15,6.73
FRIENDLY BEACHES,30/06/2020,0.8,0.2, ,14.8,1.3,100,67,2.67,6.68
Totals:,,28.3,47.6, ,,,,,, 
