'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/07/2020,1.2,0.0, ,15.7,4.7,91,60,3.57,7.46
FRIENDLY BEACHES,02/07/2020,1.2,2.8, ,13.9,8.6,98,58,4.02,5.71
FRIENDLY BEACHES,03/07/2020,1.1,0.2, ,11.9,6.0,86,57,3.30,5.58
FRIENDLY BEACHES,04/07/2020,0.9,0.0, ,13.1,4.8,91,64,2.70,5.10
FRIENDLY BEACHES,05/07/2020,1.1,0.0, ,15.2,7.4,97,57,3.19,7.62
FRIENDLY BEACHES,06/07/2020,1.2,0.0, ,14.7,6.9,85,58,3.39,6.48
FRIENDLY BEACHES,07/07/2020,0.9,0.0, ,10.1,3.1,88,61,3.37,7.47
FRIENDLY BEACHES,08/07/2020,0.7,0.0, ,11.4,-0.2,99,63,2.25,7.06
FRIENDLY BEACHES,09/07/2020,0.6,0.0, ,13.8,2.5,99,71,1.90,6.41
FRIENDLY BEACHES,10/07/2020,0.6,0.2, ,14.8,1.1,100,74,2.10,6.50
FRIENDLY BEACHES,11/07/2020,1.1,0.0, ,14.4,3.0,93,56,2.76,6.80
FRIENDLY BEACHES,12/07/2020,0.7,1.0, ,12.6,7.0,98,78,2.89,5.37
FRIENDLY BEACHES,13/07/2020,0.8,1.8, ,12.9,6.2,100,69,2.44,5.11
FRIENDLY BEACHES,14/07/2020,0.8,0.2, ,12.1,7.3,99,66,2.84,4.75
FRIENDLY BEACHES,15/07/2020,0.6,2.0, ,11.8,8.0,99,78,2.74,4.64
FRIENDLY BEACHES,16/07/2020,0.5,1.4, ,11.5,7.4,100,84,2.88,5.40
FRIENDLY BEACHES,17/07/2020,0.8,0.8, ,13.6,5.2,98,69,2.41,7.56
FRIENDLY BEACHES,18/07/2020,1.1,0.2, ,13.8,3.8,95,64,3.38,6.05
FRIENDLY BEACHES,19/07/2020,1.5,0.0, ,15.7,8.5,81,55,3.08,4.91
FRIENDLY BEACHES,20/07/2020,1.8,0.6, ,11.7,7.6,73,50,5.12,8.38
FRIENDLY BEACHES,21/07/2020,1.5,0.0, ,15.1,4.1,84,48,3.28,8.61
FRIENDLY BEACHES,22/07/2020,1.2,0.0, ,14.8,3.6,89,48,2.35,8.70
FRIENDLY BEACHES,23/07/2020,1.3,0.0, ,14.8,3.3,88,51,2.78,8.47
FRIENDLY BEACHES,24/07/2020,1.1,0.0, ,13.4,2.7,97,55,2.57,8.87
FRIENDLY BEACHES,25/07/2020,1.1,0.0, ,13.9,4.4,95,51,2.29,8.36
FRIENDLY BEACHES,26/07/2020,1.1,0.0, ,14.8,2.4,98,62,3.02,8.34
FRIENDLY BEACHES,27/07/2020,0.9,7.8, ,12.6,3.2,100,72,3.24,6.72
FRIENDLY BEACHES,28/07/2020,0.8,0.2, ,13.4,8.2,100,79,3.10,5.74
FRIENDLY BEACHES,29/07/2020,1.0,1.0, ,14.9,6.3,100,64,2.47,7.89
FRIENDLY BEACHES,30/07/2020,1.3,0.2, ,13.8,5.9,86,45,2.36,9.50
FRIENDLY BEACHES,31/07/2020,1.1,0.2, ,15.4,2.7,96,58,1.96,9.23
Totals:,,31.6,20.6, ,,,,,, 
