'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/08/2020,1.8,0.0, ,17.5,6.9,79,49,3.02,6.91
FRIENDLY BEACHES,02/08/2020,2.0,0.0, ,14.9,9.6,70,47,3.67,9.22
FRIENDLY BEACHES,03/08/2020,1.9,0.0, ,13.8,7.8,82,40,3.73,9.87
FRIENDLY BEACHES,04/08/2020,0.6,1.8, ,7.7,2.8,100,82,2.99,2.02
FRIENDLY BEACHES,05/08/2020,0.7,15.6, ,8.2,2.5,100,82,7.06,2.74
FRIENDLY BEACHES,06/08/2020,1.1,14.8, ,10.6,5.4,98,68,5.04,7.88
FRIENDLY BEACHES,07/08/2020,1.0,0.0, ,11.6,3.4,100,68,3.04,9.21
FRIENDLY BEACHES,08/08/2020,1.0,0.6, ,12.7,5.7,93,63,2.01,6.75
FRIENDLY BEACHES,09/08/2020,1.1,0.0, ,13.4,2.5,100,64,2.60,10.70
FRIENDLY BEACHES,10/08/2020,1.1,0.2, ,13.1,2.4,100,67,2.88,10.79
FRIENDLY BEACHES,11/08/2020,1.1,0.2, ,13.2,0.5,100,63,1.88,10.74
FRIENDLY BEACHES,12/08/2020,1.2,0.0, ,14.6,4.7,100,49,1.62,6.19
FRIENDLY BEACHES,13/08/2020,1.4,0.6, ,15.1,4.7,100,43,2.00,9.44
FRIENDLY BEACHES,14/08/2020,1.2,20.2, ,14.2,7.8,100,42,1.58,4.15
FRIENDLY BEACHES,15/08/2020,1.5,41.0, ,14.9,9.7,100,43,2.49,6.26
FRIENDLY BEACHES,16/08/2020,2.1,11.2, ,13.4,10.6,100,42,6.97,3.77
FRIENDLY BEACHES,17/08/2020,1.6,16.8, ,16.0,10.6,100,44,2.28,8.37
FRIENDLY BEACHES,18/08/2020,1.4,0.2, ,15.2,7.6,100,50,1.99,7.74
FRIENDLY BEACHES,19/08/2020,1.5,0.0, ,14.6,7.0,90,54,2.30,8.53
FRIENDLY BEACHES,20/08/2020,2.0,0.0, ,15.3,6.4,89,46,3.44,10.80
FRIENDLY BEACHES,21/08/2020,1.7,0.0, ,12.8,4.6,87,45,2.91,9.33
FRIENDLY BEACHES,22/08/2020,0.7,0.0, ,9.1,2.0,100,82,4.19,2.98
FRIENDLY BEACHES,23/08/2020,1.0,16.0, ,11.6,4.0,100,80,4.14,7.97
FRIENDLY BEACHES,24/08/2020,1.7,3.0, ,13.5,4.0,97,53,3.38,11.76
FRIENDLY BEACHES,25/08/2020,1.7,0.6, ,13.9,2.6,97,50,2.48,12.45
FRIENDLY BEACHES,26/08/2020,1.6,0.0, ,16.0,5.3,91,51,1.78,10.81
FRIENDLY BEACHES,27/08/2020,2.0,0.0, ,15.4,7.5,85,55,4.73,5.75
FRIENDLY BEACHES,28/08/2020,3.3,0.0, ,18.1,7.0,70,31,4.53,13.11
FRIENDLY BEACHES,29/08/2020,1.7,0.0, ,18.4,9.2,88,51,1.62,8.45
FRIENDLY BEACHES,30/08/2020,3.6,0.0, ,22.9,10.6,76,34,4.14,12.11
FRIENDLY BEACHES,31/08/2020,1.9,1.4, ,12.9,5.7,100,48,4.28,11.14
Totals:,,48.2,144.2, ,,,,,, 
