'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/09/2020,1.7,0.0, ,13.9,0.1,100,53,2.39,13.04
FRIENDLY BEACHES,02/09/2020,2.2,0.0, ,17.6,5.9,97,56,4.65,9.88
FRIENDLY BEACHES,03/09/2020,2.7,0.0, ,18.7,9.4,83,42,4.10,9.11
FRIENDLY BEACHES,04/09/2020,3.0,0.0, ,16.6,9.4,72,44,4.36,14.07
FRIENDLY BEACHES,05/09/2020,2.7,0.0, ,17.7,8.0,93,38,3.40,14.67
FRIENDLY BEACHES,06/09/2020,2.3,0.0, ,17.3,6.4,94,47,2.63,14.36
FRIENDLY BEACHES,07/09/2020,3.4,0.0, ,20.5,9.6,79,40,4.55,12.54
FRIENDLY BEACHES,08/09/2020,3.2,0.0, ,19.7,12.8,76,37,4.52,6.89
FRIENDLY BEACHES,09/09/2020,2.4,0.0, ,17.5,5.6,99,49,3.24,14.42
FRIENDLY BEACHES,10/09/2020,2.2,0.0, ,16.1,6.8,100,60,3.89,15.01
FRIENDLY BEACHES,11/09/2020,1.7,0.0, ,17.1,6.2,89,60,2.90,6.17
FRIENDLY BEACHES,12/09/2020,0.9,5.2, ,11.8,8.1,100,79,2.03,4.28
FRIENDLY BEACHES,13/09/2020,2.7,1.2, ,17.0,6.8,100,40,3.38,16.07
FRIENDLY BEACHES,14/09/2020,3.5,0.0, ,16.9,7.3,72,35,5.13,15.18
FRIENDLY BEACHES,15/09/2020,3.1,0.0, ,19.9,9.8,70,44,3.10,14.43
FRIENDLY BEACHES,16/09/2020,3.1,0.0, ,18.1,8.5,76,47,4.61,12.82
FRIENDLY BEACHES,17/09/2020,2.5,0.2, ,13.4,7.3,100,44,4.14,16.25
FRIENDLY BEACHES,18/09/2020,2.2,0.0, ,15.9,0.8,100,60,3.13,17.53
FRIENDLY BEACHES,19/09/2020,2.2,0.0, ,18.0,8.0,100,67,4.59,14.16
FRIENDLY BEACHES,20/09/2020,2.4,0.4, ,22.4,13.0,100,67,4.28,11.68
FRIENDLY BEACHES,21/09/2020,2.8,0.2, ,20.2,11.9,93,43,3.35,10.96
FRIENDLY BEACHES,22/09/2020,2.6,0.4, ,17.6,10.0,88,54,4.24,11.54
FRIENDLY BEACHES,23/09/2020,3.0,0.0, ,18.3,9.4,95,49,5.11,13.82
FRIENDLY BEACHES,24/09/2020,2.2,1.8, ,14.9,4.3,100,51,2.31,16.09
FRIENDLY BEACHES,25/09/2020,1.7,0.2, ,15.0,2.1,100,58,2.47,8.36
FRIENDLY BEACHES,26/09/2020,2.9,3.2, ,15.9,6.5,100,45,5.44,15.71
FRIENDLY BEACHES,27/09/2020,2.9,1.2, ,15.1,4.2,87,44,4.07,17.47
FRIENDLY BEACHES,28/09/2020,2.9,0.0, ,18.7,5.2,99,50,3.05,18.12
FRIENDLY BEACHES,29/09/2020,2.8,0.0, ,18.1,6.2,96,59,3.52,18.44
FRIENDLY BEACHES,30/09/2020,2.3,0.0, ,17.6,9.8,90,53,4.12,6.04
Totals:,,76.2,14, ,,,,,, 
