'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/10/2020,3.5,0.0, ,18.5,9.1,84,36,3.67,16.90
FRIENDLY BEACHES,02/10/2020,5.2,0.0, ,23.3,11.1,64,40,5.91,20.45
FRIENDLY BEACHES,03/10/2020,4.6,0.0, ,26.5,13.1,88,36,4.10,17.08
FRIENDLY BEACHES,04/10/2020,2.2,2.6, ,16.6,12.8,100,39,1.75,10.83
FRIENDLY BEACHES,05/10/2020,1.8,14.4, ,12.9,6.5,100,53,3.20,8.58
FRIENDLY BEACHES,06/10/2020,2.9,4.0, ,15.2,4.0,100,40,2.43,21.21
FRIENDLY BEACHES,07/10/2020,2.7,0.0, ,17.0,4.3,100,66,3.49,20.92
FRIENDLY BEACHES,08/10/2020,2.3,2.2, ,13.7,10.1,100,41,6.72,2.80
FRIENDLY BEACHES,09/10/2020,2.6,62.0, ,16.6,10.6,100,40,2.43,13.81
FRIENDLY BEACHES,10/10/2020,3.0,8.2, ,18.4,10.2,100,45,3.34,15.73
FRIENDLY BEACHES,11/10/2020,3.0,0.0, ,17.9,8.3,100,50,2.56,19.38
FRIENDLY BEACHES,12/10/2020,3.7,0.0, ,21.7,6.7,100,37,2.99,19.64
FRIENDLY BEACHES,13/10/2020,3.6,0.0, ,16.5,9.7,96,48,5.10,22.77
FRIENDLY BEACHES,14/10/2020,3.2,0.0, ,17.5,4.7,100,57,4.09,22.17
FRIENDLY BEACHES,15/10/2020,3.5,0.0, ,21.6,11.6,96,54,5.91,14.58
FRIENDLY BEACHES,16/10/2020,3.2,0.2, ,15.9,5.4,88,40,3.65,18.26
FRIENDLY BEACHES,17/10/2020,1.3,0.0, ,11.7,7.9,100,64,3.57,3.57
FRIENDLY BEACHES,18/10/2020,2.9,25.4, ,17.3,8.3,100,57,3.20,19.05
FRIENDLY BEACHES,19/10/2020,3.3,0.0, ,17.9,6.4,100,52,2.67,22.90
FRIENDLY BEACHES,20/10/2020,3.4,0.0, ,19.0,8.4,100,60,2.75,23.97
FRIENDLY BEACHES,21/10/2020,2.4,0.0, ,16.6,10.4,100,44,1.86,12.19
FRIENDLY BEACHES,22/10/2020, ,0.0, , ,10.3,100,67,2.48,13.10
FRIENDLY BEACHES,23/10/2020, , , ,16.4, ,99,70,1.73,7.85
FRIENDLY BEACHES,24/10/2020,2.0,8.2, ,17.4,11.6,100,72,3.88,10.14
FRIENDLY BEACHES,25/10/2020,3.7,2.8, ,14.9,5.8,78,45,4.90,22.61
FRIENDLY BEACHES,26/10/2020,3.0,0.0, ,17.0,8.8,79,56,4.53,13.31
FRIENDLY BEACHES,27/10/2020,2.2,0.0, ,15.4,9.8,96,63,5.07,9.31
FRIENDLY BEACHES,28/10/2020,2.5,0.8, ,16.5,9.6,96,70,3.82,15.56
FRIENDLY BEACHES,29/10/2020,3.8,2.6, ,18.5,9.2,95,52,2.15,25.88
FRIENDLY BEACHES,30/10/2020,3.4,0.0, ,19.8,8.3,97,60,2.87,21.65
FRIENDLY BEACHES,31/10/2020,4.1,0.0, ,22.6,11.0,93,47,3.45,20.97
Totals:,,89,133.4, ,,,,,, 
