'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/11/2020,2.2,0.6, ,17.8,11.8,100,72,2.93,12.61
FRIENDLY BEACHES,02/11/2020,4.2,0.6, ,23.8,11.3,99,51,2.80,23.26
FRIENDLY BEACHES,03/11/2020,5.2,0.0, ,26.0,14.4,77,38,3.72,21.51
FRIENDLY BEACHES,04/11/2020,4.3,0.0, ,26.0,14.5,97,43,4.51,14.74
FRIENDLY BEACHES,05/11/2020,4.1,4.0, ,17.8,7.1,96,38,3.42,25.66
FRIENDLY BEACHES,06/11/2020,3.2,0.0, ,19.4,6.4,98,44,3.69,13.47
FRIENDLY BEACHES,07/11/2020,3.6,2.0, ,16.4,6.0,82,43,3.80,19.88
FRIENDLY BEACHES,08/11/2020,3.9,0.0, ,17.8,5.3,98,53,2.76,28.00
FRIENDLY BEACHES,09/11/2020,4.4,0.0, ,21.0,7.6,100,55,5.39,28.17
FRIENDLY BEACHES,10/11/2020, ,0.0, , ,12.2,97,55,4.06,26.75
FRIENDLY BEACHES,11/11/2020,4.8, , ,24.5,13.5,95,61,5.51,26.70
FRIENDLY BEACHES,12/11/2020,5.5,0.0, ,27.4,15.7,96,34,5.22,18.93
FRIENDLY BEACHES,13/11/2020,5.9,0.0, ,25.4,14.1,98,32,3.92,28.80
FRIENDLY BEACHES,14/11/2020,3.0,0.0, ,21.6,11.6,100,49,1.88,14.68
FRIENDLY BEACHES,15/11/2020,3.0,0.0, ,19.3,11.2,94,53,2.38,15.10
FRIENDLY BEACHES,16/11/2020,5.4,2.8, ,25.2,12.7,99,40,4.57,25.62
FRIENDLY BEACHES,17/11/2020,5.3,0.0, ,22.7,10.3,90,30,4.02,25.81
FRIENDLY BEACHES,18/11/2020,4.6,0.0, ,23.1,10.1,91,50,2.89,25.88
FRIENDLY BEACHES,19/11/2020,4.2,0.0, ,24.3,12.9,100,46,1.97,22.36
FRIENDLY BEACHES,20/11/2020,4.7,0.0, ,23.3,12.7,100,48,4.29,24.53
FRIENDLY BEACHES,21/11/2020,4.5,0.0, ,20.5,7.6,96,49,4.34,27.30
FRIENDLY BEACHES,22/11/2020,2.9,0.2, ,22.2,13.5,97,66,2.42,14.81
FRIENDLY BEACHES,23/11/2020,4.0,0.4, ,20.4,12.4,98,64,3.64,25.30
FRIENDLY BEACHES,24/11/2020,2.8,0.0, ,21.9,11.9,95,61,2.49,12.47
FRIENDLY BEACHES,25/11/2020,6.2,0.0, ,29.4,13.0,92,41,3.74,27.92
FRIENDLY BEACHES,26/11/2020,6.1,0.0, ,24.0,12.0,84,33,4.21,30.24
FRIENDLY BEACHES,27/11/2020,5.0,0.0, ,22.9,13.2,97,52,5.78,27.37
FRIENDLY BEACHES,28/11/2020,1.9,0.2, ,19.8,13.7,100,80,3.26,9.43
FRIENDLY BEACHES,29/11/2020,3.4,14.0, ,20.0,12.7,100,55,4.19,17.00
FRIENDLY BEACHES,30/11/2020,4.4,2.2, ,20.9,9.0,88,65,5.60,28.24
Totals:,,122.7,27, ,,,,,, 
