'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/12/2020,6.6,0.0, ,29.1,15.1,92,36,7.41,19.86
FRIENDLY BEACHES,02/12/2020,6.3,0.0, ,21.7,9.6,72,31,5.71,31.16
FRIENDLY BEACHES,03/12/2020,4.5,0.0, ,21.0,8.1,82,40,3.22,23.69
FRIENDLY BEACHES,04/12/2020,5.1,0.0, ,23.0,11.3,92,33,4.11,23.06
FRIENDLY BEACHES,05/12/2020,2.4,0.0, ,18.7,11.6,100,63,5.00,8.88
FRIENDLY BEACHES,06/12/2020,5.1,3.6, ,19.3,12.5,96,35,6.44,26.80
FRIENDLY BEACHES,07/12/2020,4.6,0.0, ,21.7,9.5,96,33,4.51,19.47
FRIENDLY BEACHES,08/12/2020,5.1,1.0, ,21.6,6.9,75,37,3.75,25.93
FRIENDLY BEACHES,09/12/2020,6.3,0.0, ,25.0,11.9,83,34,3.99,31.07
FRIENDLY BEACHES,10/12/2020,5.1,0.6, ,18.2,9.2,93,38,5.62,31.54
FRIENDLY BEACHES,11/12/2020,5.0,0.0, ,20.9,7.0,93,44,3.10,31.59
FRIENDLY BEACHES,12/12/2020,4.8,0.0, ,21.2,7.8,98,54,3.55,31.45
FRIENDLY BEACHES,13/12/2020,5.4,0.0, ,22.9,12.9,88,51,6.08,27.76
FRIENDLY BEACHES,14/12/2020,5.7,0.0, ,25.7,15.2,95,59,6.79,31.07
FRIENDLY BEACHES,15/12/2020,2.3,0.0, ,23.6,15.6,97,70,3.36,7.91
FRIENDLY BEACHES,16/12/2020,1.7,0.8, ,15.2,11.2,99,67,4.12,6.09
FRIENDLY BEACHES,17/12/2020,3.0,15.6, ,20.5,10.6,100,71,2.46,17.23
FRIENDLY BEACHES,18/12/2020,1.8,7.4, ,19.9,13.3,100,75,3.15,7.41
FRIENDLY BEACHES,19/12/2020,3.5,17.8, ,19.7,8.5,99,50,3.72,18.10
FRIENDLY BEACHES,20/12/2020,4.1,0.0, ,20.9,10.9,88,51,3.95,20.84
FRIENDLY BEACHES,21/12/2020,3.7,0.0, ,20.5,8.1,98,56,2.44,22.42
FRIENDLY BEACHES,22/12/2020,1.9,42.4, ,19.2,13.9,100,74,3.09,8.31
FRIENDLY BEACHES,23/12/2020,4.2,11.8, ,21.9,13.5,98,60,3.12,24.39
FRIENDLY BEACHES,24/12/2020,3.9,2.0, ,20.3,10.0,98,41,3.65,18.59
FRIENDLY BEACHES,25/12/2020,5.1,2.8, ,20.0,6.7,84,44,3.67,31.91
FRIENDLY BEACHES,26/12/2020,4.4,0.0, ,22.4,9.7,100,50,4.41,22.95
FRIENDLY BEACHES,27/12/2020,2.9,2.4, ,23.7,14.4,98,72,6.14,12.86
FRIENDLY BEACHES,28/12/2020,4.3,7.6, ,18.8,7.2,97,45,3.87,26.10
FRIENDLY BEACHES,29/12/2020,4.7,0.0, ,24.1,9.3,93,45,3.01,24.04
FRIENDLY BEACHES,30/12/2020,3.4,0.0, ,22.5,12.8,100,65,2.85,18.59
FRIENDLY BEACHES,31/12/2020,2.5,11.6, ,16.6,12.6,100,35,3.67,6.14
Totals:,,129.4,127.4, ,,,,,, 
