'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/01/2021,2.8,7.2, ,19.5,12.4,99,63,2.93,13.82
FRIENDLY BEACHES,02/01/2021,4.8,0.0, ,22.0,12.6,94,56,3.51,28.13
FRIENDLY BEACHES,03/01/2021,2.5,0.0, ,22.3,12.9,99,65,2.47,11.06
FRIENDLY BEACHES,04/01/2021,1.6,25.8, ,18.4,13.1,99,80,3.42,6.94
FRIENDLY BEACHES,05/01/2021,3.8,2.6, ,22.3,12.8,96,62,3.22,20.50
FRIENDLY BEACHES,06/01/2021,4.0,0.2, ,22.1,11.6,98,53,3.64,20.92
FRIENDLY BEACHES,07/01/2021,5.0,0.0, ,21.6,9.8,88,50,2.99,30.82
FRIENDLY BEACHES,08/01/2021,4.5,0.0, ,23.7,12.6,93,59,2.21,25.96
FRIENDLY BEACHES,09/01/2021,5.3,0.0, ,25.3,15.4,89,60,3.15,28.80
FRIENDLY BEACHES,10/01/2021,4.2,0.0, ,25.4,15.6,93,56,3.42,19.49
FRIENDLY BEACHES,11/01/2021,6.9,0.0, ,33.1,14.4,97,34,3.91,26.28
FRIENDLY BEACHES,12/01/2021,6.0,0.2, ,23.6,18.1,86,44,4.44,30.42
FRIENDLY BEACHES,13/01/2021,5.1,0.0, ,23.4,13.3,92,56,5.20,27.96
FRIENDLY BEACHES,14/01/2021,5.1,0.0, ,24.1,15.5,98,41,4.06,24.12
FRIENDLY BEACHES,15/01/2021,2.4,0.8, ,19.4,9.5,99,58,2.41,11.21
FRIENDLY BEACHES,16/01/2021,4.6,14.8, ,21.3,9.9,98,45,5.56,23.69
FRIENDLY BEACHES,17/01/2021,4.5,3.0, ,21.1,8.1,75,46,4.01,22.31
FRIENDLY BEACHES,18/01/2021,5.8,0.0, ,24.4,13.6,76,34,6.05,19.22
FRIENDLY BEACHES,19/01/2021,5.4,0.0, ,19.2,9.0,64,38,5.77,27.52
FRIENDLY BEACHES,20/01/2021,4.7,0.0, ,20.4,7.2,88,46,2.52,30.17
FRIENDLY BEACHES,21/01/2021,4.2,0.0, ,24.3,8.4,99,49,2.30,22.70
FRIENDLY BEACHES,22/01/2021,5.2,0.0, ,28.4,14.5,100,30,3.29,19.81
FRIENDLY BEACHES,23/01/2021,5.5,0.0, ,24.8,13.4,100,38,2.99,29.30
FRIENDLY BEACHES,24/01/2021,4.4,0.0, ,26.6,16.1,100,31,2.87,16.37
FRIENDLY BEACHES,25/01/2021,6.1,0.0, ,37.5,17.2,98,17,2.86,15.41
FRIENDLY BEACHES,26/01/2021,4.0,7.6, ,22.9,15.8,100,34,3.73,14.90
FRIENDLY BEACHES,27/01/2021,3.8,6.2, ,18.1,9.8,78,54,4.97,19.33
FRIENDLY BEACHES,28/01/2021,3.0,0.0, ,18.2,12.0,76,56,4.45,10.28
FRIENDLY BEACHES,29/01/2021,2.3,0.0, ,19.4,13.4,100,66,7.67,7.17
FRIENDLY BEACHES,30/01/2021,4.4,20.4, ,27.7,15.3,100,47,3.59,17.77
FRIENDLY BEACHES,31/01/2021,3.9,0.0, ,21.7,12.7,93,51,3.44,19.20
Totals:,,135.8,88.8, ,,,,,, 
