'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/02/2021,2.0,0.4, ,20.9,15.3,98,81,3.88,9.66
FRIENDLY BEACHES,02/02/2021,4.6,6.2, ,21.1,11.8,88,52,4.26,26.74
FRIENDLY BEACHES,03/02/2021,3.6,0.2, ,20.3,13.3,100,50,4.53,17.76
FRIENDLY BEACHES,04/02/2021,3.3,20.4, ,23.9,12.7,100,71,4.59,18.11
FRIENDLY BEACHES,05/02/2021,1.2,0.4, ,21.7,17.3,100,92,4.69,5.39
FRIENDLY BEACHES,06/02/2021,4.7,13.2, ,26.6,18.2,100,44,5.71,16.43
FRIENDLY BEACHES,07/02/2021,4.2,0.4, ,21.9,13.4,91,55,3.92,22.52
FRIENDLY BEACHES,08/02/2021,3.8,0.0, ,21.5,10.6,80,44,3.53,15.90
FRIENDLY BEACHES,09/02/2021,2.5,0.2, ,18.0,10.0,92,56,3.74,9.23
FRIENDLY BEACHES,10/02/2021,4.2,0.2, ,20.3,9.1,85,44,3.16,23.93
FRIENDLY BEACHES,11/02/2021,3.5,0.0, ,22.5,9.5,99,58,4.80,16.88
FRIENDLY BEACHES,12/02/2021,5.2,13.4, ,26.4,16.3,100,42,4.34,24.14
FRIENDLY BEACHES,13/02/2021,4.3,0.0, ,23.0,12.7,83,47,3.25,21.17
FRIENDLY BEACHES,14/02/2021,4.5,0.0, ,24.5,12.7,99,56,3.11,25.79
FRIENDLY BEACHES,15/02/2021,1.7,2.0, ,19.0,14.2,98,75,2.48,7.80
FRIENDLY BEACHES,16/02/2021,4.3,1.0, ,23.1,13.1,95,56,3.02,24.77
FRIENDLY BEACHES,17/02/2021,4.3,0.0, ,23.9,13.8,89,59,4.91,22.30
FRIENDLY BEACHES,18/02/2021,5.0,0.0, ,24.3,16.2,87,51,5.99,22.95
FRIENDLY BEACHES,19/02/2021,4.8,0.0, ,26.1,17.6,88,64,6.19,23.95
FRIENDLY BEACHES,20/02/2021,3.6,0.8, ,26.9,16.8,96,63,2.71,16.96
FRIENDLY BEACHES,21/02/2021,1.7,0.0, ,21.4,17.0,100,79,1.51,8.02
FRIENDLY BEACHES,22/02/2021,3.3,0.4, ,23.6,13.8,100,37,2.90,12.29
FRIENDLY BEACHES,23/02/2021,3.6,0.0, ,19.6,9.4,83,42,3.06,18.39
FRIENDLY BEACHES,24/02/2021,4.1,0.0, ,21.8,9.1,85,48,3.42,23.22
FRIENDLY BEACHES,25/02/2021,1.8,0.0, ,18.8,11.8,98,58,3.04,4.95
FRIENDLY BEACHES,26/02/2021,3.2,5.2, ,19.9,10.5,81,60,4.70,14.85
FRIENDLY BEACHES,27/02/2021,3.0,0.0, ,21.0,12.6,95,58,3.17,15.55
FRIENDLY BEACHES,28/02/2021,3.6,0.0, ,22.6,12.3,97,58,2.59,21.38
Totals:,,99.6,64.4, ,,,,,, 
