'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/03/2021,3.4,0.0, ,24.6,14.2,93,47,3.51,11.71
FRIENDLY BEACHES,02/03/2021,3.9,4.4, ,17.4,11.1,82,49,6.75,19.47
FRIENDLY BEACHES,03/03/2021,3.5,0.0, ,20.6,8.3,78,46,2.80,18.68
FRIENDLY BEACHES,04/03/2021,5.8,0.0, ,25.4,12.4,72,25,5.67,17.80
FRIENDLY BEACHES,05/03/2021,3.8,0.0, ,17.7,10.3,81,46,6.45,17.25
FRIENDLY BEACHES,06/03/2021,3.4,0.0, ,19.2,11.3,79,49,4.25,15.29
FRIENDLY BEACHES,07/03/2021,3.3,0.0, ,23.4,10.4,90,52,2.38,18.09
FRIENDLY BEACHES,08/03/2021,1.7,0.0, ,20.3,13.6,97,70,1.50,7.82
FRIENDLY BEACHES,09/03/2021,2.9,0.4, ,21.2,12.4,96,46,2.98,12.40
FRIENDLY BEACHES,10/03/2021,3.5,0.0, ,21.0,9.4,88,48,3.31,19.71
FRIENDLY BEACHES,11/03/2021,3.7,0.0, ,24.1,12.8,96,59,4.15,20.32
FRIENDLY BEACHES,12/03/2021,3.5,0.0, ,26.0,14.6,99,66,4.35,18.33
FRIENDLY BEACHES,13/03/2021,3.9,0.0, ,28.7,16.9,98,41,5.02,6.66
FRIENDLY BEACHES,14/03/2021,3.4,0.2, ,19.0,8.5,87,38,3.43,17.05
FRIENDLY BEACHES,15/03/2021,4.3,0.2, ,25.1,11.4,78,40,4.15,16.58
FRIENDLY BEACHES,16/03/2021,2.9,0.0, ,20.4,12.7,77,57,2.25,15.56
FRIENDLY BEACHES,17/03/2021,3.1,0.0, ,21.2,13.8,81,54,3.63,12.92
FRIENDLY BEACHES,18/03/2021,2.2,0.4, ,22.0,14.0,96,66,3.05,9.10
FRIENDLY BEACHES,19/03/2021,3.0,0.2, ,23.4,15.4,92,50,3.31,11.96
FRIENDLY BEACHES,20/03/2021,3.0,0.0, ,22.3,15.6,83,54,3.52,11.11
FRIENDLY BEACHES,21/03/2021,2.7,0.0, ,23.0,15.8,85,65,4.33,9.61
FRIENDLY BEACHES,22/03/2021,3.0,0.0, ,22.7,16.3,91,65,5.29,13.36
FRIENDLY BEACHES,23/03/2021,2.0,1.0, ,22.4,15.7,98,74,5.21,8.26
FRIENDLY BEACHES,24/03/2021, ,8.0, ,17.5,15.9,100,91,9.82, 
FRIENDLY BEACHES,25/03/2021,2.0,105.2, ,20.4,14.8,100,60,3.61,6.76
FRIENDLY BEACHES,26/03/2021,2.8,1.2, ,21.4,10.7,87,53,2.69,15.73
FRIENDLY BEACHES,27/03/2021,1.8,3.6, ,20.1,12.4,97,58,2.35,6.94
FRIENDLY BEACHES,28/03/2021,2.6,0.6, ,20.6,10.5,87,50,3.19,10.64
FRIENDLY BEACHES,29/03/2021,3.0,0.0, ,18.1,10.9,82,47,4.27,14.10
FRIENDLY BEACHES,30/03/2021,2.3,0.0, ,20.8,8.8,88,49,1.55,13.74
FRIENDLY BEACHES,31/03/2021,2.5,0.0, ,21.8,10.5,96,58,2.17,15.17
Totals:,,92.9,125.4, ,,,,,, 
