'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/04/2021,2.9,0.0, ,26.7,13.3,95,36,2.46,8.52
FRIENDLY BEACHES,02/04/2021, ,1.2, , ,13.0,100,34,3.70,10.52
FRIENDLY BEACHES,03/04/2021, , , ,29.8, ,78,23,4.25,15.21
FRIENDLY BEACHES,04/04/2021,2.6,0.0, ,21.9,12.8,97,44,2.19,14.80
FRIENDLY BEACHES,05/04/2021, ,0.0, , ,9.3,99,44,2.75,14.82
FRIENDLY BEACHES,06/04/2021,2.4, , ,21.3,9.7,100,45,2.21,14.23
FRIENDLY BEACHES,07/04/2021,2.4,0.0, ,23.1,11.2,100,42,1.62,14.31
FRIENDLY BEACHES,08/04/2021,2.4,0.0, ,23.3,13.8,84,47,2.00,10.79
FRIENDLY BEACHES,09/04/2021,2.3,0.2, ,16.5,10.5,88,49,3.76,11.54
FRIENDLY BEACHES,10/04/2021,2.1,0.0, ,17.8,6.3,91,53,3.65,7.43
FRIENDLY BEACHES,11/04/2021,2.4,1.4, ,14.0,5.9,92,50,6.67,10.15
FRIENDLY BEACHES,12/04/2021,2.0,2.4, ,15.9,7.4,90,58,4.59,9.55
FRIENDLY BEACHES,13/04/2021,1.9,0.0, ,18.9,5.1,99,61,3.56,8.95
FRIENDLY BEACHES,14/04/2021,3.6,0.2, ,20.3,13.0,79,43,6.29,12.96
FRIENDLY BEACHES,15/04/2021,2.9,0.0, ,18.8,9.9,80,40,4.31,11.44
FRIENDLY BEACHES,16/04/2021,2.1,0.0, ,16.7,5.7,84,45,2.76,12.62
FRIENDLY BEACHES,17/04/2021,2.2,0.0, ,20.4,4.8,88,46,2.54,10.64
FRIENDLY BEACHES,18/04/2021,1.8,0.0, ,19.4,8.9,89,56,1.97,11.06
FRIENDLY BEACHES,19/04/2021,2.8,0.0, ,19.5,10.4,79,47,4.58,12.24
FRIENDLY BEACHES,20/04/2021,1.2,3.2, ,10.8,10.7,97,59,4.00,1.93
FRIENDLY BEACHES,21/04/2021,2.0,15.8, ,15.0,3.3,90,40,3.05,11.92
FRIENDLY BEACHES,22/04/2021,2.5,0.0, ,17.8,7.5,75,47,4.00,10.47
FRIENDLY BEACHES,23/04/2021,1.8,0.0, ,16.5,8.3,71,47,2.29,7.79
FRIENDLY BEACHES,24/04/2021,2.0,0.0, ,17.6,8.5,77,49,2.96,5.46
FRIENDLY BEACHES,25/04/2021,1.7,0.0, ,16.6,7.0,79,50,2.24,7.94
FRIENDLY BEACHES,26/04/2021,2.1,0.0, ,19.8,11.9,80,51,2.88,8.15
FRIENDLY BEACHES,27/04/2021,1.6,0.0, ,18.1,6.3,94,51,2.12,11.02
FRIENDLY BEACHES,28/04/2021,1.3,0.0, ,18.3,6.9,97,57,1.52,10.43
FRIENDLY BEACHES,29/04/2021,1.1,0.0, ,18.9,8.0,96,64,1.34,5.43
FRIENDLY BEACHES,30/04/2021,1.5,0.2, ,19.4,10.3,99,65,2.44,10.61
Totals:,,57.6,24.6, ,,,,,, 
