'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/05/2021,1.2,0.0, ,21.7,10.0,99,65,1.38,7.74
FRIENDLY BEACHES,02/05/2021,1.5,0.2, ,21.6,10.1,100,45,1.50,8.74
FRIENDLY BEACHES,03/05/2021,1.5,0.0, ,20.1,13.2,100,59,3.11,5.10
FRIENDLY BEACHES,04/05/2021,1.4,9.2, ,15.3,5.8,99,52,2.50,10.05
FRIENDLY BEACHES,05/05/2021,1.2,0.0, ,17.7,4.1,99,61,2.05,9.95
FRIENDLY BEACHES,06/05/2021, ,0.0, , ,6.3,99,82,2.87,3.89
FRIENDLY BEACHES,07/05/2021, , , ,19.7, ,99,84,3.68,7.93
FRIENDLY BEACHES,08/05/2021,1.6,0.0, ,19.9,12.6,93,57,2.78,5.83
FRIENDLY BEACHES,09/05/2021,1.8,0.4, ,17.2,6.2,85,50,3.48,8.01
FRIENDLY BEACHES,10/05/2021,1.6,0.0, ,16.4,11.6,98,57,4.69,1.48
FRIENDLY BEACHES,11/05/2021,1.3,5.6, ,12.9,5.8,95,56,3.66,6.60
FRIENDLY BEACHES,12/05/2021,1.1,0.2, ,16.3,7.0,99,69,2.81,4.68
FRIENDLY BEACHES,13/05/2021,1.1,6.4, ,15.5,8.6,99,68,3.36,1.97
FRIENDLY BEACHES,14/05/2021,1.3,1.4, ,12.7,4.2,83,56,2.91,7.41
FRIENDLY BEACHES,15/05/2021,1.2,0.2, ,11.9,3.0,88,58,3.16,8.18
FRIENDLY BEACHES,16/05/2021,1.7,0.0, ,15.4,4.5,78,53,3.56,5.96
FRIENDLY BEACHES,17/05/2021,1.6,0.2, ,13.1,4.4,79,49,3.77,8.67
FRIENDLY BEACHES,18/05/2021,1.2,0.0, ,18.0,3.5,87,48,1.74,8.58
FRIENDLY BEACHES,19/05/2021,1.7,0.0, ,17.9,9.1,79,54,3.18,4.82
FRIENDLY BEACHES,20/05/2021,2.4,0.0, ,16.6,13.2,75,42,4.56,6.23
FRIENDLY BEACHES,21/05/2021,1.2,0.0, ,15.9,2.8,85,47,2.03,8.33
FRIENDLY BEACHES,22/05/2021,1.4,0.0, ,18.2,5.3,76,49,2.22,8.25
FRIENDLY BEACHES,23/05/2021, ,0.0, , ,6.9,99,60,1.81,7.52
FRIENDLY BEACHES,24/05/2021,1.1, , ,17.8,5.2,100,72,3.80,5.84
FRIENDLY BEACHES,25/05/2021,1.3,0.8, ,16.4,13.5,95,70,4.87,3.13
FRIENDLY BEACHES,26/05/2021,1.7,0.0, ,15.3,9.7,80,49,3.90,7.34
FRIENDLY BEACHES,27/05/2021,1.6,0.0, ,12.5,6.8,82,49,4.21,6.48
FRIENDLY BEACHES,28/05/2021,1.5,0.0, ,10.2,5.9,79,62,6.12,5.97
FRIENDLY BEACHES,29/05/2021,1.2,0.2, ,10.0,4.8,76,60,3.13,4.01
FRIENDLY BEACHES,30/05/2021,1.2,0.0, ,14.9,4.3,86,57,2.95,6.81
FRIENDLY BEACHES,31/05/2021,1.0,0.0, ,15.2,3.0,94,55,2.27,7.70
Totals:,,39.6,24.8, ,,,,,, 
