'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/06/2021,1.5,0.0, ,16.1,5.7,77,44,2.47,4.15
FRIENDLY BEACHES,02/06/2021,1.5,0.0, ,16.8,9.5,74,35,2.16,6.20
FRIENDLY BEACHES,03/06/2021,1.3,0.0, ,18.9,10.8,78,54,2.41,7.34
FRIENDLY BEACHES,04/06/2021,1.3,0.4, ,11.4,8.6,96,42,3.88,7.51
FRIENDLY BEACHES,05/06/2021,1.4,0.0, ,15.0,2.8,76,57,3.07,1.94
FRIENDLY BEACHES,06/06/2021,1.0,0.0, ,14.4,4.7,94,53,2.35,5.95
FRIENDLY BEACHES,07/06/2021,1.8,0.8, ,18.5,6.7,84,56,4.43,5.23
FRIENDLY BEACHES,08/06/2021,1.2,0.0, ,17.1,11.8,96,52,2.59,4.31
FRIENDLY BEACHES,09/06/2021,1.1,0.6, ,13.8,9.3,97,76,7.85,3.47
FRIENDLY BEACHES,10/06/2021,0.6,4.2, ,13.9,10.5,99,91,10.78,1.26
FRIENDLY BEACHES,11/06/2021,0.3,8.4, ,14.2,12.2,100,98,7.25,2.41
FRIENDLY BEACHES,12/06/2021,0.5,21.8, ,14.5,11.8,100,91,3.61,3.43
FRIENDLY BEACHES,13/06/2021,0.6,3.2, ,13.2,11.6,97,88,4.27,3.72
FRIENDLY BEACHES,14/06/2021,0.5,0.2, ,14.5,9.0,100,71,1.45,5.91
FRIENDLY BEACHES,15/06/2021,0.5,0.2, ,13.9,8.2,100,81,1.72,4.99
FRIENDLY BEACHES,16/06/2021,0.3,4.2, ,13.2,8.4,100,95,1.74,4.46
FRIENDLY BEACHES,17/06/2021,0.3,41.4, ,12.9,9.1,100,98,3.18,3.71
FRIENDLY BEACHES,18/06/2021,1.0,36.8, ,14.3,10.8,99,68,5.01,5.51
FRIENDLY BEACHES,19/06/2021,0.5,3.2, ,11.5,8.3,98,86,2.98,4.42
FRIENDLY BEACHES,20/06/2021,0.6,2.4, ,12.7,4.9,100,71,2.37,6.83
FRIENDLY BEACHES,21/06/2021,0.6,0.2, ,12.8,3.3,99,73,2.18,5.67
FRIENDLY BEACHES,22/06/2021,0.8,0.0, ,14.4,3.7,96,60,2.19,5.59
FRIENDLY BEACHES,23/06/2021,0.9,0.0, ,12.9,6.0,91,64,2.41,2.38
FRIENDLY BEACHES,24/06/2021,0.8,0.0, ,15.7,6.8,95,67,2.16,5.83
FRIENDLY BEACHES,25/06/2021,0.6,0.2, ,14.6,6.5,100,75,2.55,6.78
FRIENDLY BEACHES,26/06/2021,0.6,0.2, ,14.1,6.4,100,67,2.18,7.32
FRIENDLY BEACHES,27/06/2021,1.2,0.0, ,13.6,5.9,82,53,3.21,7.33
FRIENDLY BEACHES,28/06/2021,0.7,0.0, ,15.1,1.5,100,67,2.12,7.37
FRIENDLY BEACHES,29/06/2021,0.7,0.2, ,14.2,3.4,99,62,2.16,7.39
FRIENDLY BEACHES,30/06/2021,1.0,0.0, ,16.9,5.3,97,63,3.04,7.15
Totals:,,25.7,128.6, ,,,,,, 
