'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/07/2021,1.4,0.0, ,18.2,10.6,84,53,3.14,7.47
FRIENDLY BEACHES,02/07/2021,1.1,0.0, ,16.8,8.6,94,64,3.64,6.67
FRIENDLY BEACHES,03/07/2021,0.8,4.2, ,15.3,9.4,99,58,1.97,7.04
FRIENDLY BEACHES,04/07/2021,0.9,0.0, ,12.4,4.7,88,57,2.57,7.10
FRIENDLY BEACHES,05/07/2021,0.8,1.2, ,14.1,4.2,92,53,1.91,7.62
FRIENDLY BEACHES,06/07/2021,0.7,0.0, ,11.4,4.3,99,67,2.62,4.94
FRIENDLY BEACHES,07/07/2021,0.7,0.4, ,9.3,0.8,99,57,2.33,7.62
FRIENDLY BEACHES,08/07/2021,0.8,0.0, ,10.1,1.3,91,56,2.19,6.81
FRIENDLY BEACHES,09/07/2021,0.7,0.0, ,11.6,1.6,99,67,2.75,7.81
FRIENDLY BEACHES,10/07/2021,0.8,0.4, ,13.6,2.8,99,61,2.71,7.87
FRIENDLY BEACHES,11/07/2021,0.8,0.2, ,14.6,1.4,100,67,2.77,7.92
FRIENDLY BEACHES,12/07/2021,1.0,0.0, ,15.2,3.6,91,69,2.93,4.84
FRIENDLY BEACHES,13/07/2021,1.1,0.0, ,15.3,8.5,85,62,2.70,8.03
FRIENDLY BEACHES,14/07/2021,0.7,0.0, ,13.3,7.8,97,74,1.80,3.16
FRIENDLY BEACHES,15/07/2021,1.3,0.2, ,16.0,4.0,100,47,2.67,5.14
FRIENDLY BEACHES,16/07/2021,0.9,4.6, ,15.8,8.7,96,65,2.51,6.88
FRIENDLY BEACHES,17/07/2021,0.7,0.0, ,13.9,4.0,100,67,2.11,7.99
FRIENDLY BEACHES,18/07/2021,1.3,0.0, ,13.8,6.9,82,54,3.28,8.39
FRIENDLY BEACHES,19/07/2021,0.9,0.0, ,13.9,6.8,83,66,1.92,7.40
FRIENDLY BEACHES,20/07/2021,1.4,0.0, ,12.0,8.3,89,60,4.74,5.43
FRIENDLY BEACHES,21/07/2021,1.3,0.2, ,15.5,3.4,79,53,2.65,8.62
FRIENDLY BEACHES,22/07/2021,1.0,0.0, ,14.9,5.2,90,50,1.87,8.40
FRIENDLY BEACHES,23/07/2021,1.1,0.0, ,15.4,7.5,83,52,1.96,7.45
FRIENDLY BEACHES,24/07/2021,1.5,0.0, ,15.8,4.9,91,55,3.54,6.47
FRIENDLY BEACHES,25/07/2021,1.6,0.8, ,9.9,5.8,73,48,4.21,8.72
FRIENDLY BEACHES,26/07/2021,1.3,0.0, ,16.4,3.5,82,59,2.78,7.01
FRIENDLY BEACHES,27/07/2021,2.1,0.0, ,16.9,7.8,80,47,4.25,6.72
FRIENDLY BEACHES,28/07/2021,2.3,0.0, ,16.5,11.7,77,43,4.61,8.64
FRIENDLY BEACHES,29/07/2021,1.5,0.0, ,13.9,6.0,78,52,3.26,9.37
FRIENDLY BEACHES,30/07/2021,1.6,0.0, ,16.3,6.7,80,54,3.07,8.47
FRIENDLY BEACHES,31/07/2021,2.0,0.0, ,18.1,9.5,90,49,4.25,7.90
Totals:,,36.1,12.2, ,,,,,, 
