'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/08/2021,1.6,0.0, ,14.0,7.0,78,49,3.00,9.52
FRIENDLY BEACHES,02/08/2021,1.3,0.0, ,15.6,0.9,89,51,2.33,9.09
FRIENDLY BEACHES,03/08/2021,0.8,0.0, ,11.9,6.2,97,71,2.28,5.80
FRIENDLY BEACHES,04/08/2021,1.8,1.2, ,14.6,6.5,91,49,4.59,8.49
FRIENDLY BEACHES,05/08/2021,1.3,0.0, ,14.7,5.9,86,56,2.41,7.84
FRIENDLY BEACHES,06/08/2021,1.5,0.0, ,17.3,6.6,88,54,2.54,9.41
FRIENDLY BEACHES,07/08/2021,1.3,0.0, ,14.5,7.7,100,67,4.44,8.05
FRIENDLY BEACHES,08/08/2021,1.3,3.8, ,13.8,-0.8,100,53,2.66,10.36
FRIENDLY BEACHES,09/08/2021,1.3,0.0, ,15.7,5.3,91,59,2.46,9.50
FRIENDLY BEACHES,10/08/2021,2.0,0.0, ,18.6,7.5,85,50,3.48,9.49
FRIENDLY BEACHES,11/08/2021,2.3,0.0, ,17.0,11.9,88,49,5.27,6.95
FRIENDLY BEACHES,12/08/2021,2.3,0.4, ,16.5,8.8,75,48,4.09,10.82
FRIENDLY BEACHES,13/08/2021,2.1,0.0, ,16.8,9.2,92,49,4.55,10.38
FRIENDLY BEACHES,14/08/2021,1.7,0.8, ,17.0,4.8,97,55,3.43,11.21
FRIENDLY BEACHES,15/08/2021,2.3,0.0, ,16.7,10.8,98,54,6.96,10.88
FRIENDLY BEACHES,16/08/2021,2.1,3.8, ,11.8,4.0,81,48,5.77,10.05
FRIENDLY BEACHES,17/08/2021,1.8,0.0, ,13.8,6.4,89,49,3.54,10.71
FRIENDLY BEACHES,18/08/2021,1.4,0.0, ,14.4,0.4,96,51,2.05,10.89
FRIENDLY BEACHES,19/08/2021,1.5,0.0, ,16.3,5.2,100,61,2.55,11.79
FRIENDLY BEACHES,20/08/2021,1.5,0.0, ,15.3,4.4,100,62,4.26,5.93
FRIENDLY BEACHES,21/08/2021,2.4,0.2, ,17.3,9.7,88,48,4.27,11.79
FRIENDLY BEACHES,22/08/2021,2.1,0.0, ,18.5,10.6,100,45,3.48,8.71
FRIENDLY BEACHES,23/08/2021,1.8,1.0, ,15.0,10.3,100,46,3.48,7.92
FRIENDLY BEACHES,24/08/2021,1.8,2.2, ,13.4,1.9,100,45,2.95,12.78
FRIENDLY BEACHES,25/08/2021,1.7,0.0, ,11.8,5.5,94,55,5.29,6.81
FRIENDLY BEACHES,26/08/2021,1.3,2.0, ,12.0,6.2,99,63,3.64,5.98
FRIENDLY BEACHES,27/08/2021,1.2,2.6, ,11.8,7.2,99,69,3.86,5.11
FRIENDLY BEACHES,28/08/2021,1.1,4.6, ,12.0,6.6,100,76,1.99,9.31
FRIENDLY BEACHES,29/08/2021,1.3,0.0, ,13.4,6.0,98,68,3.06,7.36
FRIENDLY BEACHES,30/08/2021,1.9,0.6, ,17.9,6.3,100,54,2.65,11.88
FRIENDLY BEACHES,31/08/2021,2.5,0.0, ,18.1,10.3,90,52,6.17,5.78
Totals:,,52.3,23.2, ,,,,,, 
