'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/09/2021,2.5,0.0, ,18.8,7.9,96,48,3.60,13.97
FRIENDLY BEACHES,02/09/2021,3.4,0.0, ,24.0,8.1,100,39,4.01,14.28
FRIENDLY BEACHES,03/09/2021,1.4,0.0, ,16.5,12.1,100,47,2.00,3.53
FRIENDLY BEACHES,04/09/2021,1.9,12.6, ,15.0,8.1,100,50,2.52,12.26
FRIENDLY BEACHES,05/09/2021,1.9,0.0, ,14.6,4.8,99,50,2.69,13.63
FRIENDLY BEACHES,06/09/2021,3.0,2.2, ,17.2,7.1,77,43,4.36,14.77
FRIENDLY BEACHES,07/09/2021,2.8,0.0, ,16.0,9.7,84,44,4.39,14.26
FRIENDLY BEACHES,08/09/2021,2.6,0.0, ,18.1,4.6,77,51,3.77,12.33
FRIENDLY BEACHES,09/09/2021,3.5,0.0, ,19.5,11.3,96,45,8.21,12.82
FRIENDLY BEACHES,10/09/2021,3.0,1.6, ,16.0,7.5,71,36,3.91,13.59
FRIENDLY BEACHES,11/09/2021,4.6,0.0, ,21.4,8.0,57,25,4.91,15.73
FRIENDLY BEACHES,12/09/2021,2.8,0.0, ,16.0,6.2,67,36,3.35,11.68
FRIENDLY BEACHES,13/09/2021,2.5,2.2, ,12.0,5.1,70,45,4.13,13.86
FRIENDLY BEACHES,14/09/2021,2.3,0.2, ,14.6,3.6,76,40,2.43,14.32
FRIENDLY BEACHES,15/09/2021,1.9,0.0, ,14.3,6.6,63,41,1.84,7.99
FRIENDLY BEACHES,16/09/2021,2.4,0.0, ,15.8,2.7,80,36,2.14,13.83
FRIENDLY BEACHES,17/09/2021,3.0,0.0, ,15.8,5.2,69,35,3.91,12.95
FRIENDLY BEACHES,18/09/2021,4.1,0.4, ,17.1,10.3,60,32,5.26,17.20
FRIENDLY BEACHES,19/09/2021,4.7,0.0, ,18.5,7.1,58,29,6.96,15.65
FRIENDLY BEACHES,20/09/2021,4.0,0.2, ,15.0,9.3,62,37,6.62,16.81
FRIENDLY BEACHES,21/09/2021,3.2,0.0, ,18.7,4.9,70,36,3.45,13.98
FRIENDLY BEACHES,22/09/2021,4.4,0.0, ,23.9,8.8,51,22,3.09,18.25
FRIENDLY BEACHES,23/09/2021,4.9,0.0, ,20.2,11.0,50,27,5.21,16.40
FRIENDLY BEACHES,24/09/2021,4.0,0.0, ,16.0,9.6,74,35,6.63,17.68
FRIENDLY BEACHES,25/09/2021,3.0,0.0, ,13.9,3.6,76,40,4.68,16.65
FRIENDLY BEACHES,26/09/2021,3.0,0.0, ,15.3,2.6,82,36,3.15,19.15
FRIENDLY BEACHES,27/09/2021,3.1,0.0, ,18.3,2.6,82,31,2.39,18.98
FRIENDLY BEACHES,28/09/2021,2.9,0.0, ,18.7,6.5,63,30,1.75,15.64
FRIENDLY BEACHES,29/09/2021,2.6,0.0, ,13.1,9.2,52,41,3.65,4.98
FRIENDLY BEACHES,30/09/2021,3.6,0.0, ,14.5,10.3,48,41,6.17,4.40
Totals:,,93,19.4, ,,,,,, 
